"","date","WW"
"1","2007-01-03",52.970001
"2","2007-01-04",53.25
"3","2007-01-05",52.75
"4","2007-01-08",52.490002
"5","2007-01-09",52.419998
"6","2007-01-10",52.540001
"7","2007-01-11",52.599998
"8","2007-01-12",53.18
"9","2007-01-16",53.439999
"10","2007-01-17",53.59
"11","2007-01-18",53.689999
"12","2007-01-19",54.84
"13","2007-01-22",54
"14","2007-01-23",53.91
"15","2007-01-24",53.740002
"16","2007-01-25",53.439999
"17","2007-01-26",52.990002
"18","2007-01-29",53.73
"19","2007-01-30",53.580002
"20","2007-01-31",54.029999
"21","2007-02-01",55.16
"22","2007-02-02",55.049999
"23","2007-02-05",55.150002
"24","2007-02-06",55.509998
"25","2007-02-07",55.130001
"26","2007-02-08",54.759998
"27","2007-02-09",54.889999
"28","2007-02-12",53.950001
"29","2007-02-13",53.68
"30","2007-02-14",49.610001
"31","2007-02-15",48.240002
"32","2007-02-16",48.279999
"33","2007-02-20",48.029999
"34","2007-02-21",48.040001
"35","2007-02-22",48.299999
"36","2007-02-23",48.07
"37","2007-02-26",48.099998
"38","2007-02-27",47.009998
"39","2007-02-28",47.25
"40","2007-03-01",47.59
"41","2007-03-02",46.990002
"42","2007-03-05",47
"43","2007-03-06",46.98
"44","2007-03-07",47.209999
"45","2007-03-08",47.540001
"46","2007-03-09",47.700001
"47","2007-03-12",48.040001
"48","2007-03-13",47.41
"49","2007-03-14",47.240002
"50","2007-03-15",47.490002
"51","2007-03-16",47.259998
"52","2007-03-19",47.240002
"53","2007-03-20",47.470001
"54","2007-03-21",47.91
"55","2007-03-22",47.939999
"56","2007-03-23",47.459999
"57","2007-03-26",46.990002
"58","2007-03-27",46.009998
"59","2007-03-28",46.110001
"60","2007-03-29",45.540001
"61","2007-03-30",46.09
"62","2007-04-02",47.02
"63","2007-04-03",47.060001
"64","2007-04-04",47.02
"65","2007-04-05",46.779999
"66","2007-04-09",47.080002
"67","2007-04-10",47.09
"68","2007-04-11",47.040001
"69","2007-04-12",47.509998
"70","2007-04-13",47.32
"71","2007-04-16",47.68
"72","2007-04-17",47.790001
"73","2007-04-18",47.119999
"74","2007-04-19",48.09
"75","2007-04-20",47.700001
"76","2007-04-23",47.950001
"77","2007-04-24",48.240002
"78","2007-04-25",48.02
"79","2007-04-26",48.700001
"80","2007-04-27",48.529999
"81","2007-04-30",47.990002
"82","2007-05-01",48.060001
"83","2007-05-02",49.259998
"84","2007-05-03",50.220001
"85","2007-05-04",50.009998
"86","2007-05-07",50.639999
"87","2007-05-08",51.389999
"88","2007-05-09",51.75
"89","2007-05-10",51.5
"90","2007-05-11",51.740002
"91","2007-05-14",52.220001
"92","2007-05-15",52.139999
"93","2007-05-16",51.919998
"94","2007-05-17",51.5
"95","2007-05-18",51.240002
"96","2007-05-21",51.470001
"97","2007-05-22",52.110001
"98","2007-05-23",52.900002
"99","2007-05-24",51.810001
"100","2007-05-25",51.57
"101","2007-05-29",51.84
"102","2007-05-30",51.619999
"103","2007-05-31",52.220001
"104","2007-06-01",51.810001
"105","2007-06-04",52.330002
"106","2007-06-05",51.400002
"107","2007-06-06",51.32
"108","2007-06-07",50.720001
"109","2007-06-08",50.849998
"110","2007-06-11",50.869999
"111","2007-06-12",49.900002
"112","2007-06-13",50.060001
"113","2007-06-14",51.099998
"114","2007-06-15",52.099998
"115","2007-06-18",51.689999
"116","2007-06-19",51.32
"117","2007-06-20",50.889999
"118","2007-06-21",51
"119","2007-06-22",50.450001
"120","2007-06-25",50.040001
"121","2007-06-26",50.32
