"","date","MAC"
"1","2007-01-03",80.570122
"2","2007-01-04",80.755295
"3","2007-01-05",79.403511
"4","2007-01-08",79.588684
"5","2007-01-09",81.079353
"6","2007-01-10",82.977409
"7","2007-01-11",84.116241
"8","2007-01-12",83.838478
"9","2007-01-16",85.106934
"10","2007-01-17",84.255119
"11","2007-01-18",84.255119
"12","2007-01-19",85.625427
"13","2007-01-22",84.579178
"14","2007-01-23",83.921806
"15","2007-01-24",84.792137
"16","2007-01-25",86.245766
"17","2007-01-26",86.532791
"18","2007-01-29",86.85685
"19","2007-01-30",87.773468
"20","2007-01-31",88.449364
"21","2007-02-01",89.143768
"22","2007-02-02",89.440056
"23","2007-02-05",90.088173
"24","2007-02-06",93.476891
"25","2007-02-07",95.661972
"26","2007-02-08",94.458328
"27","2007-02-09",92.680634
"28","2007-02-12",90.875168
"29","2007-02-13",92.180656
"30","2007-02-14",90.902946
"31","2007-02-15",91.81031
"32","2007-02-16",90.967758
"33","2007-02-20",91.634392
"34","2007-02-21",91.588097
"35","2007-02-22",90.671478
"36","2007-02-23",89.106735
"37","2007-02-26",88.782677
"38","2007-02-27",86.375389
"39","2007-02-28",86.662415
"40","2007-03-01",86.449463
"41","2007-03-02",85.143967
"42","2007-03-05",81.894127
"43","2007-03-06",84.838425
"44","2007-03-07",83.329239
"45","2007-03-08",85.199524
"46","2007-03-09",86.236504
"47","2007-03-12",86.014297
"48","2007-03-13",84.634735
"49","2007-03-14",84.403267
"50","2007-03-15",84.856949
"51","2007-03-16",83.949585
"52","2007-03-19",84.458817
"53","2007-03-20",84.708801
"54","2007-03-21",86.014297
"55","2007-03-22",86.292061
"56","2007-03-23",86.505013
"57","2007-03-26",85.403214
"58","2007-03-27",84.255119
"59","2007-03-28",84.097725
"60","2007-03-29",84.19957
"61","2007-03-30",85.51432
"62","2007-04-02",86.486496
"63","2007-04-03",87.060539
"64","2007-04-04",86.801292
"65","2007-04-05",86.995728
"66","2007-04-09",87.097572
"67","2007-04-10",87.995682
"68","2007-04-11",86.792038
"69","2007-04-12",86.292061
"70","2007-04-13",87.292007
"71","2007-04-16",87.208679
"72","2007-04-17",88.9123
"73","2007-04-18",88.653053
"74","2007-04-19",88.097527
"75","2007-04-20",88.690094
"76","2007-04-23",90.449265
"77","2007-04-24",90.023361
"78","2007-04-25",89.541901
