"","date","GMLP"
"1","2011-04-08",24.85
"2","2011-04-11",25.16
"3","2011-04-12",24.799999
"4","2011-04-13",24.629999
"5","2011-04-14",24.5
"6","2011-04-15",24.65
"7","2011-04-18",24.950001
"8","2011-04-19",24.969999
"9","2011-04-20",25.799999
"10","2011-04-21",27.25
"11","2011-04-25",26.700001
"12","2011-04-26",26.549999
"13","2011-04-27",26.5
"14","2011-04-28",26.35
"15","2011-04-29",26.799999
"16","2011-05-02",27
"17","2011-05-03",26.860001
"18","2011-05-04",25.459999
"19","2011-05-05",24.02
"20","2011-05-06",24.01
"21","2011-05-09",25.200001
"22","2011-05-10",25.879999
"23","2011-05-11",25.9
"24","2011-05-12",25.709999
"25","2011-05-13",25.6
"26","2011-05-16",25.1
"27","2011-05-17",24.23
"28","2011-05-18",25.32
"29","2011-05-19",25.889999
"30","2011-05-20",27.120001
"31","2011-05-23",26.99
"32","2011-05-24",27
"33","2011-05-25",26.889999
"34","2011-05-26",27.35
"35","2011-05-27",27.4
"36","2011-05-31",27.68
"37","2011-06-01",27.34
"38","2011-06-02",27.32
"39","2011-06-03",26.860001
"40","2011-06-06",26.85
"41","2011-06-07",26.98
"42","2011-06-08",26.9
"43","2011-06-09",26.879999
"44","2011-06-10",26.93
"45","2011-06-13",26
"46","2011-06-14",26.459999
"47","2011-06-15",26.559999
"48","2011-06-16",26.299999
"49","2011-06-17",26.049999
"50","2011-06-20",26.280001
"51","2011-06-21",26.85
"52","2011-06-22",27.700001
"53","2011-06-23",27.9
"54","2011-06-24",27.93
"55","2011-06-27",28.049999
"56","2011-06-28",28.280001
"57","2011-06-29",28.5
"58","2011-06-30",28.5
"59","2011-07-01",29.1
"60","2011-07-05",28.889999
"61","2011-07-06",28.860001
"62","2011-07-07",28.77
"63","2011-07-08",28.77
"64","2011-07-11",28.5
"65","2011-07-12",28.620001
"66","2011-07-13",28.559999
"67","2011-07-14",28.049999
"68","2011-07-15",27.92
"69","2011-07-18",27.700001
"70","2011-07-19",27.6
"71","2011-07-20",27.809999
"72","2011-07-21",28.030001
"73","2011-07-22",28.08
"74","2011-07-25",28.75
"75","2011-07-26",28.889999
"76","2011-07-27",28.379999
"77","2011-07-28",28.68
"78","2011-07-29",28.700001
"79","2011-08-01",28.700001
"80","2011-08-02",28.25
"81","2011-08-03",27.74
"82","2011-08-04",25.84
"83","2011-08-05",25.040001
"84","2011-08-08",23.200001
"85","2011-08-09",24.4
"86","2011-08-10",24.65
"87","2011-08-11",25.82
"88","2011-08-12",25.950001
"89","2011-08-15",25.85
"90","2011-08-16",25.85
"91","2011-08-17",26.040001
"92","2011-08-18",25.629999
"93","2011-08-19",25.530001
"94","2011-08-22",24.9
"95","2011-08-23",25.07
"96","2011-08-24",24.940001
"97","2011-08-25",25.110001
"98","2011-08-26",24.74
"99","2011-08-29",25.01
"100","2011-08-30",25.41
"101","2011-08-31",25.709999
"102","2011-09-01",25.790001
