"","date","MRNS"
"1","2014-07-31",32
"2","2014-08-01",32
"3","2014-08-04",32
"4","2014-08-05",32.360001
"5","2014-08-06",32.16
"6","2014-08-07",32.16
"7","2014-08-08",32.080002
"8","2014-08-11",32.200001
"9","2014-08-12",32.299999
"10","2014-08-13",32
"11","2014-08-14",32.279999
"12","2014-08-15",32.080002
"13","2014-08-18",32
"14","2014-08-19",32.040001
"15","2014-08-20",32
"16","2014-08-21",32
"17","2014-08-22",32.16
"18","2014-08-25",32.16
"19","2014-08-26",32.119999
"20","2014-08-27",32
"21","2014-08-28",32.279999
"22","2014-08-29",32.080002
"23","2014-09-02",30.360001
"24","2014-09-03",29.52
"25","2014-09-04",29.32
"26","2014-09-05",33.52
"27","2014-09-08",35.68
"28","2014-09-09",33.959999
"29","2014-09-10",32.279999
"30","2014-09-11",32
"31","2014-09-12",31.799999
"32","2014-09-15",30.6
"33","2014-09-16",29.76
"34","2014-09-17",29.879999
"35","2014-09-18",29.639999
"36","2014-09-19",25.040001
"37","2014-09-22",25.040001
"38","2014-09-23",26.84
"39","2014-09-24",27.639999
"40","2014-09-25",27.24
"41","2014-09-26",28
"42","2014-09-29",27.959999
"43","2014-09-30",25.879999
"44","2014-10-01",23.34
"45","2014-10-02",23.48
"46","2014-10-03",25
"47","2014-10-06",27.76
"48","2014-10-07",24.68
"49","2014-10-08",25.08
"50","2014-10-09",24.959999
"51","2014-10-10",25.799999
"52","2014-10-13",25.559999
"53","2014-10-14",25
"54","2014-10-15",25
"55","2014-10-16",27.76
"56","2014-10-17",27.4
"57","2014-10-20",27.4
"58","2014-10-21",26.040001
"59","2014-10-22",24.84
"60","2014-10-23",25.940001
"61","2014-10-24",28.120001
"62","2014-10-27",26.639999
"63","2014-10-28",29.84
"64","2014-10-29",30
"65","2014-10-30",30.16
"66","2014-10-31",30
"67","2014-11-03",29.6
"68","2014-11-04",27.24
"69","2014-11-05",28.040001
"70","2014-11-06",28
"71","2014-11-07",28.040001
"72","2014-11-10",28.040001
"73","2014-11-11",27.639999
"74","2014-11-12",26
"75","2014-11-13",25.440001
"76","2014-11-14",25.719999
"77","2014-11-17",26.16
"78","2014-11-18",24.799999
"79","2014-11-19",27.16
"80","2014-11-20",26.280001
"81","2014-11-21",28.4
"82","2014-11-24",27.639999
"83","2014-11-25",27.040001
"84","2014-11-26",27.639999
"85","2014-11-28",27.200001
"86","2014-12-01",30
"87","2014-12-02",30
"88","2014-12-03",29.4
"89","2014-12-04",28.879999
"90","2014-12-05",28.92
"91","2014-12-08",29
"92","2014-12-09",30.559999
"93","2014-12-10",31.959999
"94","2014-12-11",32.52
"95","2014-12-12",30.52
"96","2014-12-15",32.720001
"97","2014-12-16",31.6
"98","2014-12-17",30.440001
"99","2014-12-18",33.599998
"100","2014-12-19",34.599998
"101","2014-12-22",34.799999
"102","2014-12-23",32.84
"103","2014-12-24",35
"104","2014-12-26",38
"105","2014-12-29",37.200001
"106","2014-12-30",44
"107","2014-12-31",42.279999
"108","2015-01-02",46
"109","2015-01-05",48.52
"110","2015-01-06",47.799999
"111","2015-01-07",46.279999
"112","2015-01-08",47.599998
"113","2015-01-09",49
"114","2015-01-12",56
"115","2015-01-13",57.880001
"116","2015-01-14",56.32
"117","2015-01-15",53.599998
"118","2015-01-16",48.84
"119","2015-01-20",45.400002
"120","2015-01-21",43.84
"121","2015-01-22",44
"122","2015-01-23",43.959999
"123","2015-01-26",44.639999
"124","2015-01-27",45.68
"125","2015-01-28",44.919998
"126","2015-01-29",44.119999
"127","2015-01-30",44.400002
"128","2015-02-02",44.400002
"129","2015-02-03",44.560001
"130","2015-02-04",43.919998
"131","2015-02-05",47.799999
"132","2015-02-06",43.919998
"133","2015-02-09",45.959999
"134","2015-02-10",43.52
"135","2015-02-11",43.919998
"136","2015-02-12",44
"137","2015-02-13",43.759998
"138","2015-02-17",43.68
"139","2015-02-18",43.959999
"140","2015-02-19",44.639999
"141","2015-02-20",46.599998
"142","2015-02-23",45.360001
"143","2015-02-24",44.919998
"144","2015-02-25",44.639999
"145","2015-02-26",44.48
"146","2015-02-27",45.84
"147","2015-03-02",43.759998
"148","2015-03-03",42.880001
"149","2015-03-04",43.439999
"150","2015-03-05",41.799999
"151","2015-03-06",41.880001
"152","2015-03-09",42.360001
"153","2015-03-10",41.919998
"154","2015-03-11",40
"155","2015-03-12",41.639999
"156","2015-03-13",37.040001
"157","2015-03-16",36.040001
"158","2015-03-17",36.759998
"159","2015-03-18",36.919998
"160","2015-03-19",37.535999
"161","2015-03-20",39.200001
"162","2015-03-23",38.599998
"163","2015-03-24",39.759998
"164","2015-03-25",39.599998
"165","2015-03-26",37.799999
"166","2015-03-27",36.799999
"167","2015-03-30",38.119999
"168","2015-03-31",35.959999
"169","2015-04-01",35.588001
"170","2015-04-02",36.360001
"171","2015-04-06",35.759998
"172","2015-04-07",35.560001
"173","2015-04-08",36.32
"174","2015-04-09",35.888
"175","2015-04-10",36.259998
"176","2015-04-13",36.040001
"177","2015-04-14",36.959999
"178","2015-04-15",36.400002
"179","2015-04-16",36.639999
"180","2015-04-17",36.959999
