"","date","JHX"
"1","2007-01-03",7.618
"2","2007-01-04",7.518
"3","2007-01-05",7.462
"4","2007-01-08",7.78
"5","2007-01-09",7.636
"6","2007-01-10",7.474
"7","2007-01-11",7.53
"8","2007-01-12",7.606
"9","2007-01-16",7.742
"10","2007-01-17",7.8
"11","2007-01-18",7.694
"12","2007-01-19",7.646
"13","2007-01-22",7.57
"14","2007-01-23",7.614
"15","2007-01-24",7.59
"16","2007-01-25",7.452
"17","2007-01-26",7.392
"18","2007-01-29",7.214
"19","2007-01-30",7.35
"20","2007-01-31",7.38
"21","2007-02-01",7.362
"22","2007-02-02",7.346
"23","2007-02-05",7.58
"24","2007-02-06",7.738
"25","2007-02-07",7.6
"26","2007-02-08",7.6
"27","2007-02-09",7.74
"28","2007-02-12",7.65
"29","2007-02-13",7.932
"30","2007-02-14",7.932
"31","2007-02-15",8.038
"32","2007-02-16",7.826
"33","2007-02-20",7.94
"34","2007-02-21",7.74
"35","2007-02-22",7.542
"36","2007-02-23",7.74
"37","2007-02-26",7.82
"38","2007-02-27",7.466
"39","2007-02-28",7.512
"40","2007-03-01",7.388
"41","2007-03-02",7.072
"42","2007-03-05",6.97
"43","2007-03-06",6.838
"44","2007-03-07",7.14
"45","2007-03-08",7.162
"46","2007-03-09",7.09
"47","2007-03-12",7.178
"48","2007-03-13",6.87
"49","2007-03-14",6.774
"50","2007-03-15",6.896
"51","2007-03-16",6.91
"52","2007-03-19",6.958
"53","2007-03-20",6.772
"54","2007-03-21",6.73
"55","2007-03-22",6.852
"56","2007-03-23",6.918
"57","2007-03-26",6.95
"58","2007-03-27",6.706
"59","2007-03-28",6.546
"60","2007-03-29",6.542
"61","2007-03-30",6.756
"62","2007-04-02",6.738
"63","2007-04-03",6.676
"64","2007-04-04",6.812
"65","2007-04-05",6.734
"66","2007-04-09",6.734
"67","2007-04-10",7.148
"68","2007-04-11",7.148
"69","2007-04-12",7.102
"70","2007-04-13",7
"71","2007-04-16",7.152
"72","2007-04-17",7.042
"73","2007-04-18",7.042
"74","2007-04-19",7.768
"75","2007-04-20",7.824
"76","2007-04-23",7.656
"77","2007-04-24",7.578
"78","2007-04-25",7.688
"79","2007-04-26",7.618
"80","2007-04-27",7.626
"81","2007-04-30",7.366
"82","2007-05-01",7.278
"83","2007-05-02",7.4
"84","2007-05-03",7.45
"85","2007-05-04",7.42
"86","2007-05-07",7.646
"87","2007-05-08",7.47
"88","2007-05-09",7.6
"89","2007-05-10",7.668
"90","2007-05-11",7.646
"91","2007-05-14",7.65
"92","2007-05-15",7.582
"93","2007-05-16",7.358
"94","2007-05-17",7.408
"95","2007-05-18",7.41
"96","2007-05-21",7.49
"97","2007-05-22",7.32
"98","2007-05-23",7.256
"99","2007-05-24",7.12
"100","2007-05-25",7.33
"101","2007-05-29",7.702
"102","2007-05-30",7.648
"103","2007-05-31",7.696
"104","2007-06-01",7.738
"105","2007-06-04",7.822
"106","2007-06-05",7.836
"107","2007-06-06",7.92
"108","2007-06-07",8
"109","2007-06-08",7.884
"110","2007-06-11",7.78
"111","2007-06-12",7.614
"112","2007-06-13",7.6
"113","2007-06-14",7.736
"114","2007-06-15",7.826
"115","2007-06-18",8.008
"116","2007-06-19",7.902
"117","2007-06-20",7.77
"118","2007-06-21",7.684
"119","2007-06-22",7.64
"120","2007-06-25",7.6
"121","2007-06-26",7.452
"122","2007-06-27",7.22
"123","2007-06-28",7.362
"124","2007-06-29",7.362
"125","2007-07-02",7.586
"126","2007-07-03",7.61
"127","2007-07-05",7.732
"128","2007-07-06",7.832
"129","2007-07-09",7.816
"130","2007-07-10",7.76
"131","2007-07-11",7.806
"132","2007-07-12",7.864
"133","2007-07-13",7.66
"134","2007-07-16",7.826
"135","2007-07-17",7.798
"136","2007-07-18",7.662
"137","2007-07-19",7.834
"138","2007-07-20",7.712
"139","2007-07-23",7.66
"140","2007-07-24",7.454
"141","2007-07-25",7.296
"142","2007-07-26",6.874
"143","2007-07-27",6.52
"144","2007-07-30",6.57
"145","2007-07-31",6.394
