"","date","CMPS"
"1","2020-09-18",29
"2","2020-09-21",28.83
"3","2020-09-22",38.389999
"4","2020-09-23",36.75
"5","2020-09-24",39.939999
"6","2020-09-25",43.169998
"7","2020-09-28",37
"8","2020-09-29",35.610001
"9","2020-09-30",34.900002
"10","2020-10-01",33.799999
"11","2020-10-02",36.82
"12","2020-10-05",40.099998
"13","2020-10-06",39.599998
"14","2020-10-07",42.450001
"15","2020-10-08",38.099998
"16","2020-10-09",34.610001
"17","2020-10-12",35.16
"18","2020-10-13",38.82
"19","2020-10-14",38.650002
"20","2020-10-15",37.959999
"21","2020-10-16",38.830002
"22","2020-10-19",36.830002
"23","2020-10-20",37.93
"24","2020-10-21",35.169998
"25","2020-10-22",34.200001
"26","2020-10-23",38.389999
"27","2020-10-26",35.700001
"28","2020-10-27",35.619999
"29","2020-10-28",32.810001
"30","2020-10-29",33.130001
"31","2020-10-30",32
"32","2020-11-02",32.580002
"33","2020-11-03",32.990002
"34","2020-11-04",35.939999
"35","2020-11-05",39.849998
"36","2020-11-06",38.709999
"37","2020-11-09",37.110001
"38","2020-11-10",35.310001
"39","2020-11-11",35.799999
"40","2020-11-12",34.810001
"41","2020-11-13",35.73
"42","2020-11-16",35.990002
"43","2020-11-17",36.310001
"44","2020-11-18",34.290001
"45","2020-11-19",33.939999
"46","2020-11-20",33.830002
"47","2020-11-23",35.73
"48","2020-11-24",37.299999
"49","2020-11-25",40.830002
"50","2020-11-27",47.450001
