"","date","ZAGG"
"1","2007-09-04",1.05
"2","2007-09-05",1.05
"3","2007-09-06",1.05
"4","2007-09-07",1.02
"5","2007-09-10",0.95
"6","2007-09-11",0.86
"7","2007-09-12",0.85
"8","2007-09-13",0.85
"9","2007-09-14",0.95
"10","2007-09-17",0.85
"11","2007-09-18",0.95
"12","2007-09-19",0.75
"13","2007-09-20",0.89
"14","2007-09-21",0.9
"15","2007-09-24",0.85
"16","2007-09-25",0.85
"17","2007-09-26",0.85
"18","2007-09-27",0.85
"19","2007-09-28",0.85
"20","2007-10-01",0.85
"21","2007-10-02",0.85
"22","2007-10-03",0.85
"23","2007-10-04",0.85
"24","2007-10-05",0.85
"25","2007-10-08",0.8
"26","2007-10-09",0.86
"27","2007-10-10",0.85
"28","2007-10-11",0.76
"29","2007-10-12",0.85
"30","2007-10-15",0.76
"31","2007-10-16",0.76
"32","2007-10-17",0.8
"33","2007-10-18",0.8
"34","2007-10-19",0.8
"35","2007-10-22",0.75
"36","2007-10-23",0.8
"37","2007-10-24",0.8
"38","2007-10-25",0.8
"39","2007-10-26",0.8
"40","2007-10-29",0.8
"41","2007-10-30",0.75
"42","2007-10-31",0.8
"43","2007-11-01",0.75
"44","2007-11-02",0.75
"45","2007-11-05",0.75
"46","2007-11-06",0.75
"47","2007-11-07",0.75
"48","2007-11-08",0.75
"49","2007-11-09",0.73
"50","2007-11-12",0.75
"51","2007-11-13",0.75
"52","2007-11-14",0.75
"53","2007-11-15",0.75
"54","2007-11-16",0.8
"55","2007-11-19",0.75
"56","2007-11-20",0.71
"57","2007-11-21",0.76
"58","2007-11-23",0.75
"59","2007-11-26",0.75
"60","2007-11-27",0.7
"61","2007-11-28",0.74
"62","2007-11-29",0.74
"63","2007-11-30",0.82
"64","2007-12-03",0.84
"65","2007-12-04",0.85
"66","2007-12-05",0.82
"67","2007-12-06",0.83
"68","2007-12-07",0.85
"69","2007-12-10",0.85
"70","2007-12-11",0.82
"71","2007-12-12",0.84
"72","2007-12-13",0.8
"73","2007-12-14",0.77
"74","2007-12-17",0.75
"75","2007-12-18",0.75
"76","2007-12-19",0.75
"77","2007-12-20",0.75
"78","2007-12-21",0.75
"79","2007-12-24",0.75
"80","2007-12-26",0.75
"81","2007-12-27",0.75
"82","2007-12-28",0.75
"83","2007-12-31",0.75
"84","2008-01-02",0.75
"85","2008-01-03",0.75
"86","2008-01-04",0.72
"87","2008-01-07",0.73
"88","2008-01-08",0.7
"89","2008-01-09",0.7
"90","2008-01-10",0.7
"91","2008-01-11",0.7
"92","2008-01-14",0.85
"93","2008-01-15",0.84
