"","date","TCRR"
"1","2019-02-14",15.07
"2","2019-02-15",15.01
"3","2019-02-19",15.05
"4","2019-02-20",15.31
"5","2019-02-21",15.13
"6","2019-02-22",16.030001
"7","2019-02-25",16.389999
"8","2019-02-26",16.59
"9","2019-02-27",19.15
"10","2019-02-28",21.41
"11","2019-03-01",22
"12","2019-03-04",22.15
"13","2019-03-05",20.209999
"14","2019-03-06",19.209999
"15","2019-03-07",18.02
"16","2019-03-08",15.64
"17","2019-03-11",16.549999
"18","2019-03-12",17.51
"19","2019-03-13",19.08
"20","2019-03-14",18.24
"21","2019-03-15",17.35
"22","2019-03-18",18.049999
"23","2019-03-19",18.950001
"24","2019-03-20",18.6
"25","2019-03-21",18.91
"26","2019-03-22",17.530001
"27","2019-03-25",16.75
"28","2019-03-26",18.15
"29","2019-03-27",17.200001
"30","2019-03-28",17.15
"31","2019-03-29",17.43
"32","2019-04-01",16.719999
"33","2019-04-02",16.559999
"34","2019-04-03",17.09
"35","2019-04-04",16.74
"36","2019-04-05",16.610001
"37","2019-04-08",16.530001
"38","2019-04-09",17.77
"39","2019-04-10",16.83
"40","2019-04-11",16.110001
"41","2019-04-12",16.440001
"42","2019-04-15",16.200001
"43","2019-04-16",18.389999
"44","2019-04-17",17.42
"45","2019-04-18",18.35
"46","2019-04-22",20.969999
"47","2019-04-23",18.780001
"48","2019-04-24",16.209999
"49","2019-04-25",16.98
"50","2019-04-26",16.65
"51","2019-04-29",18.1
"52","2019-04-30",16.629999
"53","2019-05-01",16.9
"54","2019-05-02",16.790001
"55","2019-05-03",16.92
"56","2019-05-06",16.110001
"57","2019-05-07",16.43
"58","2019-05-08",16.360001
"59","2019-05-09",15.06
"60","2019-05-10",15.43
"61","2019-05-13",16.25
"62","2019-05-14",15.62
"63","2019-05-15",16.17
"64","2019-05-16",14.83
"65","2019-05-17",14.08
"66","2019-05-20",14.05
"67","2019-05-21",14.23
"68","2019-05-22",13.85
"69","2019-05-23",14.08
"70","2019-05-24",13.97
"71","2019-05-28",14.38
"72","2019-05-29",15
"73","2019-05-30",14.6
"74","2019-05-31",15
"75","2019-06-03",15.31
"76","2019-06-04",16.299999
"77","2019-06-05",15.6
"78","2019-06-06",15
"79","2019-06-07",15.4
"80","2019-06-10",16.4
"81","2019-06-11",16.34
"82","2019-06-12",16.219999
"83","2019-06-13",15.36
"84","2019-06-14",13.64
"85","2019-06-17",14.61
"86","2019-06-18",16.24
"87","2019-06-19",16.719999
"88","2019-06-20",15.59
"89","2019-06-21",15.36
"90","2019-06-24",14.59
"91","2019-06-25",14.67
"92","2019-06-26",14.83
"93","2019-06-27",14.48
"94","2019-06-28",14.31
"95","2019-07-01",13.8
"96","2019-07-02",13.62
"97","2019-07-03",13.8
"98","2019-07-05",14.17
"99","2019-07-08",13.37
"100","2019-07-09",13.03
"101","2019-07-10",13.62
"102","2019-07-11",13.19
"103","2019-07-12",13
"104","2019-07-15",12.87
"105","2019-07-16",12.63
"106","2019-07-17",12.63
"107","2019-07-18",11.49
"108","2019-07-19",10.79
"109","2019-07-22",10.53
"110","2019-07-23",10.82
"111","2019-07-24",10.15
"112","2019-07-25",13
"113","2019-07-26",13.67
"114","2019-07-29",15.12
"115","2019-07-30",15.74
"116","2019-07-31",15.54
"117","2019-08-01",17.9
"118","2019-08-02",17.690001
"119","2019-08-05",16.4
"120","2019-08-06",15.96
"121","2019-08-07",15.3
"122","2019-08-08",15.7
"123","2019-08-09",15.28
"124","2019-08-12",16.084999
"125","2019-08-13",15.25
"126","2019-08-14",15.17
"127","2019-08-15",15.17
"128","2019-08-16",15.94
"129","2019-08-19",17.07
"130","2019-08-20",15.72
"131","2019-08-21",17.040001
"132","2019-08-22",15.82
"133","2019-08-23",16.83
"134","2019-08-26",17
"135","2019-08-27",16.99
"136","2019-08-28",17
"137","2019-08-29",17
"138","2019-08-30",16.860001
"139","2019-09-03",16.969999
"140","2019-09-04",18.879999
"141","2019-09-05",19.530001
"142","2019-09-06",19.23
"143","2019-09-09",19.370001
"144","2019-09-10",18.5
"145","2019-09-11",19.25
"146","2019-09-12",17.93
"147","2019-09-13",17.959999
"148","2019-09-16",16.93
"149","2019-09-17",16.940001
"150","2019-09-18",17.07
"151","2019-09-19",17
"152","2019-09-20",17.959999
"153","2019-09-23",16.780001
"154","2019-09-24",16.309999
"155","2019-09-25",17.4
"156","2019-09-26",16.68
"157","2019-09-27",15.48
"158","2019-09-30",15.03
"159","2019-10-01",14.22
"160","2019-10-02",14.04
"161","2019-10-03",15.74
"162","2019-10-04",15.49
"163","2019-10-07",15.52
"164","2019-10-08",14.94
"165","2019-10-09",14.65
"166","2019-10-10",14.81
"167","2019-10-11",15.61
"168","2019-10-14",14.76
"169","2019-10-15",15.14
"170","2019-10-16",15.09
"171","2019-10-17",16.030001
"172","2019-10-18",14.79
"173","2019-10-21",15.59
"174","2019-10-22",14.91
"175","2019-10-23",12.8
"176","2019-10-24",12.83
"177","2019-10-25",13.39
"178","2019-10-28",13.24
"179","2019-10-29",12.17
"180","2019-10-30",12.64
"181","2019-10-31",12.43
"182","2019-11-01",13.83
"183","2019-11-04",14.19
"184","2019-11-05",14.65
"185","2019-11-06",14.81
"186","2019-11-07",13.91
"187","2019-11-08",14.54
"188","2019-11-11",14.78
"189","2019-11-12",14.9
"190","2019-11-13",15.5
"191","2019-11-14",14.87
"192","2019-11-15",15.31
"193","2019-11-18",15.29
"194","2019-11-19",15.87
"195","2019-11-20",16.389999
"196","2019-11-21",16.120001
"197","2019-11-22",16.450001
"198","2019-11-25",16.690001
