"","date","AMTBB"
"1","2018-10-18",25.5
"2","2018-10-19",26.43
"3","2018-10-22",25.5
"4","2018-10-23",24.6
"5","2018-10-24",26
"6","2018-10-25",26
"7","2018-10-26",19.809999
"8","2018-10-29",19.809999
"9","2018-10-30",19.809999
"10","2018-10-31",21
"11","2018-11-01",21
"12","2018-11-02",19.5
"13","2018-11-05",19.5
"14","2018-11-06",17.639999
"15","2018-11-07",19.01
"16","2018-11-08",17.6
"17","2018-11-09",17.6
"18","2018-11-12",17.6
"19","2018-11-13",17.309999
"20","2018-11-14",16.75
"21","2018-11-15",15.75
"22","2018-11-16",14.5
"23","2018-11-19",15.75
"24","2018-11-20",16.25
"25","2018-11-21",16
"26","2018-11-23",15.5
"27","2018-11-26",12
"28","2018-11-27",14
"29","2018-11-28",14.1
"30","2018-11-29",14.5
"31","2018-11-30",14.5
"32","2018-12-03",14.3
"33","2018-12-04",14
"34","2018-12-06",13.93
"35","2018-12-07",13.93
"36","2018-12-10",13.93
"37","2018-12-11",13
"38","2018-12-12",13
"39","2018-12-13",13.17
"40","2018-12-14",11.9
"41","2018-12-17",11.9
"42","2018-12-18",11.5
"43","2018-12-19",11.05
"44","2018-12-20",10
"45","2018-12-21",10
"46","2018-12-24",10
"47","2018-12-26",10
"48","2018-12-27",10.02
"49","2018-12-28",10.02
"50","2018-12-31",10.02
"51","2019-01-02",13.95
"52","2019-01-03",13
"53","2019-01-04",12.1
"54","2019-01-07",11
"55","2019-01-08",10
"56","2019-01-09",12.19
"57","2019-01-10",12.02
"58","2019-01-11",10.8
"59","2019-01-14",12.22
"60","2019-01-15",12.5
"61","2019-01-16",12
"62","2019-01-17",12.21
"63","2019-01-18",12.4
"64","2019-01-22",11.56
"65","2019-01-23",11.56
"66","2019-01-24",11.23
"67","2019-01-25",11.23
"68","2019-01-28",11.5
"69","2019-01-29",11.5
"70","2019-01-30",12.5
"71","2019-01-31",12.5
"72","2019-02-01",12.5
"73","2019-02-04",12.5
"74","2019-02-05",11.35
"75","2019-02-06",11.35
"76","2019-02-07",11.11
"77","2019-02-08",11.85
"78","2019-02-11",11.5
"79","2019-02-12",11.68
"80","2019-02-13",11.75
"81","2019-02-14",12
"82","2019-02-15",11.95
"83","2019-02-19",12.05
