"","date","CIH"
"1","2019-06-13",2.96
"2","2019-06-14",3.3
"3","2019-06-17",3.41
"4","2019-06-18",3.49
"5","2019-06-19",3.4
"6","2019-06-20",3.32
"7","2019-06-21",3.4
"8","2019-06-24",3.52
"9","2019-06-25",3.48
"10","2019-06-26",3.49
"11","2019-06-27",3.45
"12","2019-06-28",3.55
"13","2019-07-01",3.6
"14","2019-07-02",3.54
"15","2019-07-03",3.22
"16","2019-07-05",2.72
"17","2019-07-08",3
"18","2019-07-09",2.97
"19","2019-07-10",2.774
"20","2019-07-11",2.88
"21","2019-07-12",3
"22","2019-07-15",3.07
"23","2019-07-16",3.04
"24","2019-07-17",3.015
"25","2019-07-18",3.035
"26","2019-07-19",3.05
"27","2019-07-22",2.99
"28","2019-07-23",3
"29","2019-07-24",2.96
"30","2019-07-25",2.94
"31","2019-07-26",2.96
"32","2019-07-29",3
"33","2019-07-30",2.97
"34","2019-07-31",2.88
"35","2019-08-01",2.85
"36","2019-08-02",2.78
"37","2019-08-05",2.67
"38","2019-08-06",2.49
"39","2019-08-07",2.3
"40","2019-08-08",2.43
"41","2019-08-09",2.3
"42","2019-08-12",2.27
"43","2019-08-13",2.05
"44","2019-08-14",2.07
"45","2019-08-15",2.35
"46","2019-08-16",2.1
"47","2019-08-19",2.2
"48","2019-08-20",2.33
"49","2019-08-21",2.28
"50","2019-08-22",2.46
"51","2019-08-23",3.06
"52","2019-08-26",2.9
"53","2019-08-27",2.95
"54","2019-08-28",2.91
"55","2019-08-29",3.1
"56","2019-08-30",3.17
"57","2019-09-03",3
"58","2019-09-04",2.93
"59","2019-09-05",3.4
"60","2019-09-06",3.58
"61","2019-09-09",3.5
"62","2019-09-10",3.54
"63","2019-09-11",3.89
"64","2019-09-12",4.1
"65","2019-09-13",4.34
"66","2019-09-16",5.04
"67","2019-09-17",5.07
"68","2019-09-18",4.93
"69","2019-09-19",5.01
"70","2019-09-20",4.88
"71","2019-09-23",4.85
"72","2019-09-24",4.766
"73","2019-09-25",4.5
"74","2019-09-26",4.35
"75","2019-09-27",4.01
"76","2019-09-30",3.9
"77","2019-10-01",3.765
"78","2019-10-02",3.78
"79","2019-10-03",3.98
"80","2019-10-04",3.97
"81","2019-10-07",4.1
"82","2019-10-08",4.21
"83","2019-10-09",4.17
"84","2019-10-10",4.03
"85","2019-10-11",3.99
"86","2019-10-14",4.53
"87","2019-10-15",4.17
"88","2019-10-16",4.25
"89","2019-10-17",4.05
"90","2019-10-18",3.85
"91","2019-10-21",3.73
"92","2019-10-22",3.68
"93","2019-10-23",3.63
"94","2019-10-24",3.47
"95","2019-10-25",3.55
"96","2019-10-28",3.8
"97","2019-10-29",3.51
"98","2019-10-30",3.41
"99","2019-10-31",3.26
"100","2019-11-01",3.3
"101","2019-11-04",3.2
"102","2019-11-05",3.16
"103","2019-11-06",3.21
"104","2019-11-07",3.52
"105","2019-11-08",3.45
"106","2019-11-11",3.57
"107","2019-11-12",3.5
"108","2019-11-13",3.5
"109","2019-11-14",3.55
"110","2019-11-15",3.4
"111","2019-11-18",3.3
"112","2019-11-19",3.47
"113","2019-11-20",3.2
"114","2019-11-21",3.38
"115","2019-11-22",3.47
"116","2019-11-25",3.7
"117","2019-11-26",3.45
"118","2019-11-27",3.45
"119","2019-11-29",3.51
"120","2019-12-02",3.61
"121","2019-12-03",3.42
"122","2019-12-04",3.45
"123","2019-12-05",3.36
"124","2019-12-06",3.18
"125","2019-12-09",3.04
"126","2019-12-10",3.03
"127","2019-12-11",3.03
"128","2019-12-12",3.03
"129","2019-12-13",3.1
"130","2019-12-16",3.2
"131","2019-12-17",3.08
"132","2019-12-18",3.03
"133","2019-12-19",3.05
"134","2019-12-20",2.96
"135","2019-12-23",3.09
"136","2019-12-24",2.97
"137","2019-12-26",3.09
"138","2019-12-27",3.36
"139","2019-12-30",3.39
"140","2019-12-31",3.64
"141","2020-01-02",3.48
"142","2020-01-03",3.34
"143","2020-01-06",3.18
"144","2020-01-07",3.25
"145","2020-01-08",3.19
"146","2020-01-09",3.11
"147","2020-01-10",3.13
"148","2020-01-13",3.13
"149","2020-01-14",3.22
"150","2020-01-15",3.22
"151","2020-01-16",3.13
"152","2020-01-17",3.1
"153","2020-01-21",3.07
"154","2020-01-22",3.21
"155","2020-01-23",3.2
"156","2020-01-24",3.22
"157","2020-01-27",2.97
"158","2020-01-28",3.01
"159","2020-01-29",3.07
"160","2020-01-30",2.93
"161","2020-01-31",3.04
"162","2020-02-03",3.18
"163","2020-02-04",3.08
"164","2020-02-05",3
"165","2020-02-06",3.08
"166","2020-02-07",3.06
"167","2020-02-10",3.075
"168","2020-02-11",3.1
"169","2020-02-12",2.93
"170","2020-02-13",2.7
"171","2020-02-14",2.6
"172","2020-02-18",2.37
"173","2020-02-19",2.45
"174","2020-02-20",2.49
"175","2020-02-21",2.35
"176","2020-02-24",2.37
"177","2020-02-25",2.3
"178","2020-02-26",2.28
"179","2020-02-27",2.27
"180","2020-02-28",2.1
"181","2020-03-02",2.1
"182","2020-03-03",2.07
"183","2020-03-04",2.12
"184","2020-03-05",2.07
"185","2020-03-06",2
"186","2020-03-09",2.09
"187","2020-03-10",2.2
"188","2020-03-11",2.105
"189","2020-03-12",2.37
"190","2020-03-13",2.18
"191","2020-03-16",1.77
"192","2020-03-17",1.87
"193","2020-03-18",1.76
"194","2020-03-19",1.67
"195","2020-03-20",1.66
"196","2020-03-23",1.58
"197","2020-03-24",1.485
"198","2020-03-25",1.66
"199","2020-03-26",1.56
"200","2020-03-27",1.47
"201","2020-03-30",1.43
"202","2020-03-31",1.36
"203","2020-04-01",1.35
"204","2020-04-02",1.43
"205","2020-04-03",1.34
"206","2020-04-06",1.32
"207","2020-04-07",1.33
"208","2020-04-08",1.37
"209","2020-04-09",1.39
"210","2020-04-13",1.42
"211","2020-04-14",1.55
"212","2020-04-15",1.41
"213","2020-04-16",1.41
"214","2020-04-17",1.39
"215","2020-04-20",1.4
"216","2020-04-21",1.31
"217","2020-04-22",1.04
"218","2020-04-23",1.2
"219","2020-04-24",1.1
"220","2020-04-27",1.08
"221","2020-04-28",1.1
"222","2020-04-29",1.12
"223","2020-04-30",1.12
"224","2020-05-01",1.05
"225","2020-05-04",1.025
"226","2020-05-05",1.11
"227","2020-05-06",1.11
