"","date","DADA"
"1","2020-06-05",15.99
"2","2020-06-08",17
"3","2020-06-09",16.040001
"4","2020-06-10",15.25
"5","2020-06-11",14.75
"6","2020-06-12",14.75
"7","2020-06-15",15
"8","2020-06-16",16.75
"9","2020-06-17",20.120001
"10","2020-06-18",22.469999
"11","2020-06-19",22.120001
"12","2020-06-22",20.129999
"13","2020-06-23",21.950001
"14","2020-06-24",20.9
"15","2020-06-25",24.59
"16","2020-06-26",24.940001
"17","2020-06-29",21.120001
"18","2020-06-30",22.299999
"19","2020-07-01",23.15
"20","2020-07-02",26.379999
"21","2020-07-06",27.690001
"22","2020-07-07",26.26
"23","2020-07-08",29.780001
"24","2020-07-09",32.419998
"25","2020-07-10",30.84
"26","2020-07-13",27.780001
"27","2020-07-14",26.68
"28","2020-07-15",29.48
"29","2020-07-16",26.6
"30","2020-07-17",26.93
"31","2020-07-20",27.33
"32","2020-07-21",27.889999
"33","2020-07-22",26.99
"34","2020-07-23",25.59
"35","2020-07-24",22.92
"36","2020-07-27",21.889999
"37","2020-07-28",22.77
"38","2020-07-29",23.540001
"39","2020-07-30",23.24
"40","2020-07-31",23.15
"41","2020-08-03",25.700001
"42","2020-08-04",27.700001
"43","2020-08-05",27.940001
"44","2020-08-06",27.34
"45","2020-08-07",24.700001
"46","2020-08-10",24.629999
"47","2020-08-11",25.5
"48","2020-08-12",26.01
"49","2020-08-13",26.049999
"50","2020-08-14",24.809999
"51","2020-08-17",27.02
"52","2020-08-18",27.74
"53","2020-08-19",28.18
"54","2020-08-20",26.379999
"55","2020-08-21",29.26
"56","2020-08-24",29.950001
"57","2020-08-25",26.209999
"58","2020-08-26",26.959999
"59","2020-08-27",26.219999
"60","2020-08-28",25.700001
"61","2020-08-31",22.76
"62","2020-09-01",24.290001
"63","2020-09-02",24.379999
"64","2020-09-03",24.27
"65","2020-09-04",23.450001
"66","2020-09-08",21.52
"67","2020-09-09",22.200001
"68","2020-09-10",22.65
"69","2020-09-11",24.65
"70","2020-09-14",25.799999
"71","2020-09-15",27.5
"72","2020-09-16",27.66
"73","2020-09-17",28.18
"74","2020-09-18",28.629999
"75","2020-09-21",26.92
"76","2020-09-22",26.23
"77","2020-09-23",24.309999
"78","2020-09-24",23.65
"79","2020-09-25",24.68
"80","2020-09-28",26.74
"81","2020-09-29",28.559999
"82","2020-09-30",26.469999
"83","2020-10-01",25.950001
"84","2020-10-02",25.09
"85","2020-10-05",26.1
"86","2020-10-06",27.120001
"87","2020-10-07",27.1
"88","2020-10-08",27.129999
"89","2020-10-09",29.690001
"90","2020-10-12",33.400002
"91","2020-10-13",34.049999
"92","2020-10-14",32.75
"93","2020-10-15",33.709999
"94","2020-10-16",36.91
"95","2020-10-19",35
"96","2020-10-20",35
"97","2020-10-21",35.599998
"98","2020-10-22",34.48
"99","2020-10-23",32.900002
"100","2020-10-26",32.73
"101","2020-10-27",32.68
"102","2020-10-28",33.360001
"103","2020-10-29",34.529999
"104","2020-10-30",33.009998
"105","2020-11-02",32.220001
"106","2020-11-03",30.73
"107","2020-11-04",33.990002
"108","2020-11-05",37.029999
"109","2020-11-06",36.290001
"110","2020-11-09",33.02
"111","2020-11-10",28.040001
"112","2020-11-11",31.120001
"113","2020-11-12",31.959999
"114","2020-11-13",34.32
"115","2020-11-16",33.59
"116","2020-11-17",33.450001
"117","2020-11-18",31.889999
"118","2020-11-19",33.580002
"119","2020-11-20",43.810001
"120","2020-11-23",52.029999
"121","2020-11-24",48
"122","2020-11-25",56.529999
"123","2020-11-27",55.77
