"","date","MPB"
"1","2007-01-03",24.333334
"2","2007-01-04",23.819048
"3","2007-01-05",23.714285
"4","2007-01-08",23.142857
"5","2007-01-09",22.571428
"6","2007-01-10",22.714285
"7","2007-01-11",22.799999
"8","2007-01-12",22.685715
"9","2007-01-16",22.685715
"10","2007-01-17",22.628571
"11","2007-01-18",22.847618
"12","2007-01-19",22.847618
"13","2007-01-22",22.761906
"14","2007-01-23",22.761906
"15","2007-01-24",22.761906
"16","2007-01-25",22.761906
"17","2007-01-26",22.761906
"18","2007-01-29",22.761906
"19","2007-01-30",22.847618
"20","2007-01-31",22.523809
"21","2007-02-01",22.523809
"22","2007-02-02",22.523809
"23","2007-02-05",22.523809
"24","2007-02-06",22.285715
"25","2007-02-07",22.380953
"26","2007-02-08",22.380953
"27","2007-02-09",22.380953
"28","2007-02-12",22.238094
"29","2007-02-13",22.333334
"30","2007-02-14",22.333334
"31","2007-02-15",22.142857
"32","2007-02-16",22.142857
"33","2007-02-20",22.285715
"34","2007-02-21",22.285715
"35","2007-02-22",22.438095
"36","2007-02-23",22.933332
"37","2007-02-26",23.476191
"38","2007-02-27",23.704762
"39","2007-02-28",23.657143
"40","2007-03-01",23.657143
"41","2007-03-02",23.285715
"42","2007-03-05",23.238094
"43","2007-03-06",23.333334
"44","2007-03-07",23.333334
"45","2007-03-08",23.895239
"46","2007-03-09",23.761906
"47","2007-03-12",23.761906
"48","2007-03-13",23.761906
"49","2007-03-14",23.257143
"50","2007-03-15",23.342857
"51","2007-03-16",23.219048
"52","2007-03-19",23.219048
"53","2007-03-20",23.238094
"54","2007-03-21",23.238094
"55","2007-03-22",23.038095
"56","2007-03-23",23.047619
"57","2007-03-26",23
"58","2007-03-27",23.047619
"59","2007-03-28",22.809525
"60","2007-03-29",22.809525
"61","2007-03-30",22.809525
"62","2007-04-02",22.571428
"63","2007-04-03",22.619047
"64","2007-04-04",22.380953
"65","2007-04-05",22.333334
"66","2007-04-09",22.266666
"67","2007-04-10",22.266666
"68","2007-04-11",22.419048
"69","2007-04-12",22.419048
"70","2007-04-13",22.419048
"71","2007-04-16",22.419048
"72","2007-04-17",22.419048
"73","2007-04-18",22.333334
"74","2007-04-19",22.019047
"75","2007-04-20",22
"76","2007-04-23",21.666666
"77","2007-04-24",21.666666
"78","2007-04-25",21.666666
"79","2007-04-26",21.619047
"80","2007-04-27",21.666666
"81","2007-04-30",21.666666
"82","2007-05-01",21.657143
"83","2007-05-02",22.142857
"84","2007-05-03",22.523809
"85","2007-05-04",23.333334
"86","2007-05-07",23
"87","2007-05-08",22.9
"88","2007-05-09",23
"89","2007-05-10",23
"90","2007-05-11",23
"91","2007-05-14",23.299999
"92","2007-05-15",23.450001
"93","2007-05-16",23.450001
"94","2007-05-17",23.75
"95","2007-05-18",23.799999
"96","2007-05-21",23.5
"97","2007-05-22",23.950001
"98","2007-05-23",23.950001
"99","2007-05-24",23.950001
"100","2007-05-25",23.950001
"101","2007-05-29",24.25
"102","2007-05-30",24
"103","2007-05-31",24.049999
"104","2007-06-01",24.25
"105","2007-06-04",24.25
"106","2007-06-05",24.25
"107","2007-06-06",24.25
"108","2007-06-07",24.25
"109","2007-06-08",24.25
"110","2007-06-11",24.15
"111","2007-06-12",24.200001
"112","2007-06-13",24.200001
"113","2007-06-14",24.200001
"114","2007-06-15",24.299999
"115","2007-06-18",24.299999
"116","2007-06-19",24.299999
"117","2007-06-20",26.5
"118","2007-06-21",24.75
"119","2007-06-22",25.25
"120","2007-06-25",25.25
"121","2007-06-26",25.25
"122","2007-06-27",26.5
"123","2007-06-28",26.25
"124","2007-06-29",26.5
"125","2007-07-02",25.01
"126","2007-07-03",25.01
"127","2007-07-05",25.700001
"128","2007-07-06",25.5
"129","2007-07-09",25.5
"130","2007-07-10",25.5
"131","2007-07-11",24.75
"132","2007-07-12",24.75
"133","2007-07-13",24.75
"134","2007-07-16",24.75
"135","2007-07-17",24.5
"136","2007-07-18",24.25
"137","2007-07-19",24.5
"138","2007-07-20",24.01
"139","2007-07-23",24.01
"140","2007-07-24",24.01
"141","2007-07-25",23.700001
"142","2007-07-26",23.700001
"143","2007-07-27",23.700001
"144","2007-07-30",24
"145","2007-07-31",24.25
"146","2007-08-01",25
"147","2007-08-02",25.040001
"148","2007-08-03",25.040001
"149","2007-08-06",24.799999
"150","2007-08-07",24.92
"151","2007-08-08",24.15
"152","2007-08-09",24
"153","2007-08-10",24.450001
"154","2007-08-13",24.25
"155","2007-08-14",24.25
"156","2007-08-15",24.25
"157","2007-08-16",24.25
"158","2007-08-17",24.25
"159","2007-08-20",24.299999
"160","2007-08-21",23.75
"161","2007-08-22",23.85
"162","2007-08-23",23.85
"163","2007-08-24",23.85
"164","2007-08-27",24.5
"165","2007-08-28",24.950001
"166","2007-08-29",25.299999
"167","2007-08-30",25.049999
"168","2007-08-31",25.25
"169","2007-09-04",25.75
"170","2007-09-05",26
"171","2007-09-06",26
"172","2007-09-07",26.25
"173","2007-09-10",26.25
"174","2007-09-11",26.25
"175","2007-09-12",26
"176","2007-09-13",26
"177","2007-09-14",25.75
"178","2007-09-17",26
"179","2007-09-18",26
"180","2007-09-19",26.25
"181","2007-09-20",26.25
"182","2007-09-21",26
"183","2007-09-24",26
"184","2007-09-25",26
"185","2007-09-26",26
"186","2007-09-27",26.24
"187","2007-09-28",26
"188","2007-10-01",25
"189","2007-10-02",24.75
"190","2007-10-03",24.799999
"191","2007-10-04",24.73
"192","2007-10-05",24.75
"193","2007-10-08",24.75
"194","2007-10-09",24.75
"195","2007-10-10",24.75
"196","2007-10-11",24.75
"197","2007-10-12",24.75
"198","2007-10-15",24.75
"199","2007-10-16",24.75
"200","2007-10-17",24.5
"201","2007-10-18",25.25
"202","2007-10-19",25.25
"203","2007-10-22",25.25
"204","2007-10-23",25.25
"205","2007-10-24",25.25
"206","2007-10-25",25.25
"207","2007-10-26",25
"208","2007-10-29",25.25
"209","2007-10-30",25
"210","2007-10-31",23.75
"211","2007-11-01",24.75
"212","2007-11-02",24.75
"213","2007-11-05",24.75
"214","2007-11-06",24.799999
"215","2007-11-07",25.299999
"216","2007-11-08",24.73
"217","2007-11-09",24.6
"218","2007-11-12",24.75
"219","2007-11-13",24.75
"220","2007-11-14",24.799999
"221","2007-11-15",24.6
"222","2007-11-16",24.75
"223","2007-11-19",24.75
