"","date","AU"
"1","2007-01-03",45.650002
"2","2007-01-04",44.889999
"3","2007-01-05",44.459999
"4","2007-01-08",44.400002
"5","2007-01-09",44.450001
"6","2007-01-10",43.82
"7","2007-01-11",44.389999
"8","2007-01-12",45.470001
"9","2007-01-16",45.240002
"10","2007-01-17",45.740002
"11","2007-01-18",45.189999
"12","2007-01-19",45.209999
"13","2007-01-22",45.279999
"14","2007-01-23",47.689999
"15","2007-01-24",48.490002
"16","2007-01-25",47.25
"17","2007-01-26",47.5
"18","2007-01-29",46.169998
"19","2007-01-30",46.290001
"20","2007-01-31",47
"21","2007-02-01",47.470001
"22","2007-02-02",47.169998
"23","2007-02-05",46.830002
"24","2007-02-06",47.139999
"25","2007-02-07",47.299999
"26","2007-02-08",48.790001
"27","2007-02-09",48.310001
"28","2007-02-12",47.73
"29","2007-02-13",47.630001
"30","2007-02-14",47.799999
"31","2007-02-15",47.939999
"32","2007-02-16",47.25
"33","2007-02-20",46.48
"34","2007-02-21",47.869999
"35","2007-02-22",47.330002
"36","2007-02-23",47.02
"37","2007-02-26",47.630001
"38","2007-02-27",43.599998
"39","2007-02-28",44.139999
"40","2007-03-01",43.77
"41","2007-03-02",42.5
"42","2007-03-05",41.73
"43","2007-03-06",43.029999
"44","2007-03-07",42.52
"45","2007-03-08",42.599998
"46","2007-03-09",42.560001
"47","2007-03-12",43.189999
"48","2007-03-13",41.91
"49","2007-03-14",42.279999
"50","2007-03-15",43.41
"51","2007-03-16",43.880001
"52","2007-03-19",44.259998
"53","2007-03-20",44.57
"54","2007-03-21",45.93
"55","2007-03-22",45.98
"56","2007-03-23",45.529999
"57","2007-03-26",45.299999
"58","2007-03-27",44.68
"59","2007-03-28",44.650002
"60","2007-03-29",44.52
"61","2007-03-30",44.59
"62","2007-04-02",45.299999
"63","2007-04-03",45.580002
"64","2007-04-04",46.259998
"65","2007-04-05",46
"66","2007-04-09",45.759998
"67","2007-04-10",46.470001
"68","2007-04-11",46.709999
"69","2007-04-12",46.75
"70","2007-04-13",48.650002
"71","2007-04-16",48.720001
"72","2007-04-17",47.799999
"73","2007-04-18",47.759998
"74","2007-04-19",46.09
"75","2007-04-20",47.360001
"76","2007-04-23",46.299999
"77","2007-04-24",45.77
"78","2007-04-25",46.299999
"79","2007-04-26",45.360001
"80","2007-04-27",45.549999
"81","2007-04-30",44.57
"82","2007-05-01",44.360001
"83","2007-05-02",45.32
"84","2007-05-03",44.849998
"85","2007-05-04",44.200001
"86","2007-05-07",44.950001
"87","2007-05-08",44.060001
"88","2007-05-09",44.360001
"89","2007-05-10",42.799999
"90","2007-05-11",43.139999
"91","2007-05-14",42.869999
"92","2007-05-15",42.59
"93","2007-05-16",42.59
"94","2007-05-17",42.110001
"95","2007-05-18",42.77
"96","2007-05-21",43.220001
"97","2007-05-22",42.529999
"98","2007-05-23",43.029999
"99","2007-05-24",42.009998
"100","2007-05-25",42.259998
"101","2007-05-29",41.389999
"102","2007-05-30",41.290001
"103","2007-05-31",41.720001
"104","2007-06-01",43.130001
"105","2007-06-04",43.470001
"106","2007-06-05",42.75
"107","2007-06-06",42.369999
"108","2007-06-07",40.529999
"109","2007-06-08",40.490002
"110","2007-06-11",40.93
"111","2007-06-12",40.16
"112","2007-06-13",40.279999
"113","2007-06-14",40.389999
"114","2007-06-15",40.889999
"115","2007-06-18",40.700001
"116","2007-06-19",40.959999
"117","2007-06-20",39.779999
"118","2007-06-21",39.669998
"119","2007-06-22",38.970001
"120","2007-06-25",38.130001
"121","2007-06-26",37.700001
"122","2007-06-27",38.040001
"123","2007-06-28",37.41
"124","2007-06-29",37.82
"125","2007-07-02",38.700001
"126","2007-07-03",38.57
"127","2007-07-05",38.709999
"128","2007-07-06",40.880001
"129","2007-07-09",41.330002
"130","2007-07-10",41.119999
"131","2007-07-11",40.919998
"132","2007-07-12",42.720001
"133","2007-07-13",43.130001
"134","2007-07-16",42.869999
"135","2007-07-17",43.049999
"136","2007-07-18",44.290001
"137","2007-07-19",45.169998
"138","2007-07-20",45
"139","2007-07-23",45.369999
"140","2007-07-24",44.610001
"141","2007-07-25",43.810001
"142","2007-07-26",42.09
"143","2007-07-27",41.009998
"144","2007-07-30",42.490002
"145","2007-07-31",42.16
"146","2007-08-01",41.23
"147","2007-08-02",41.509998
"148","2007-08-03",39.880001
"149","2007-08-06",39.119999
"150","2007-08-07",38.689999
"151","2007-08-08",38.470001
"152","2007-08-09",37.450001
"153","2007-08-10",37.950001
"154","2007-08-13",37.650002
"155","2007-08-14",36.82
"156","2007-08-15",35.860001
"157","2007-08-16",33.799999
"158","2007-08-17",36.110001
"159","2007-08-20",35.990002
"160","2007-08-21",36.150002
"161","2007-08-22",37.790001
"162","2007-08-23",37.52
"163","2007-08-24",38.029999
"164","2007-08-27",37.34
"165","2007-08-28",36.59
"166","2007-08-29",37.799999
"167","2007-08-30",37.799999
"168","2007-08-31",39.029999
"169","2007-09-04",40.259998
"170","2007-09-05",39.830002
"171","2007-09-06",41.110001
"172","2007-09-07",41.66
"173","2007-09-10",41.450001
"174","2007-09-11",41.700001
"175","2007-09-12",43.450001
"176","2007-09-13",44.48
"177","2007-09-14",44.16
"178","2007-09-17",44.630001
"179","2007-09-18",46.5
"180","2007-09-19",46
"181","2007-09-20",47.400002
"182","2007-09-21",46.84
"183","2007-09-24",46.900002
"184","2007-09-25",46.529999
"185","2007-09-26",45.740002
"186","2007-09-27",46.490002
"187","2007-09-28",46.889999
"188","2007-10-01",44.860001
"189","2007-10-02",43.32
"190","2007-10-03",42.869999
"191","2007-10-04",44.41
"192","2007-10-05",44.5
"193","2007-10-08",44.110001
"194","2007-10-09",44.209999
"195","2007-10-10",43.810001
"196","2007-10-11",44.470001
"197","2007-10-12",44.919998
"198","2007-10-15",44.400002
"199","2007-10-16",43.490002
"200","2007-10-17",43.32
"201","2007-10-18",44
"202","2007-10-19",43.439999
"203","2007-10-22",42.959999
"204","2007-10-23",44.439999
"205","2007-10-24",44.630001
"206","2007-10-25",45.380001
"207","2007-10-26",45.740002
"208","2007-10-29",45.689999
"209","2007-10-30",44.860001
"210","2007-10-31",46.450001
"211","2007-11-01",43.299999
"212","2007-11-02",42.939999
"213","2007-11-05",42.860001
"214","2007-11-06",45.34
"215","2007-11-07",45.419998
