"","date","SECO"
"1","2017-09-22",10
"2","2017-09-25",10.75
"3","2017-09-26",10.32
"4","2017-09-27",9.37
"5","2017-09-28",8.64
"6","2017-09-29",8.9
"7","2017-10-02",9.02
"8","2017-10-03",9.12
"9","2017-10-04",9.32
"10","2017-10-05",9.3
"11","2017-10-06",8.91
"12","2017-10-09",8.95
"13","2017-10-10",8
"14","2017-10-11",6.78
"15","2017-10-12",6.97
"16","2017-10-13",8.16
"17","2017-10-16",8.3
"18","2017-10-17",7.75
"19","2017-10-18",7.78
"20","2017-10-19",7.37
"21","2017-10-20",7.9
"22","2017-10-23",8
"23","2017-10-24",7.74
"24","2017-10-25",7.18
"25","2017-10-26",7.08
"26","2017-10-27",7.1
"27","2017-10-30",7.06
"28","2017-10-31",7.24
"29","2017-11-01",7.19
"30","2017-11-02",8.01
"31","2017-11-03",7.995
"32","2017-11-06",8.07
"33","2017-11-07",8.1
"34","2017-11-08",8
"35","2017-11-09",8.06
"36","2017-11-10",8.02
"37","2017-11-13",8.9
"38","2017-11-14",8.61
"39","2017-11-15",8.99
"40","2017-11-16",8.22
"41","2017-11-17",8.26
"42","2017-11-20",8.44
"43","2017-11-21",8.2
"44","2017-11-22",8.34
"45","2017-11-24",8.23
"46","2017-11-27",8.65
"47","2017-11-28",8.78
"48","2017-11-29",8.57
"49","2017-11-30",8.69
"50","2017-12-01",8.29
"51","2017-12-04",8.44
"52","2017-12-05",8.515
"53","2017-12-06",8.66
"54","2017-12-07",8.68
"55","2017-12-08",8.8
"56","2017-12-11",8.71
"57","2017-12-12",8.81
"58","2017-12-13",8.77
"59","2017-12-14",8.91
"60","2017-12-15",8.91
"61","2017-12-18",9.4
"62","2017-12-19",9.01
"63","2017-12-20",9.36
"64","2017-12-21",9.44
"65","2017-12-22",9.4
"66","2017-12-26",9.4
"67","2017-12-27",9.54
"68","2017-12-28",9.75
"69","2017-12-29",9.66
"70","2018-01-02",9.44
"71","2018-01-03",9.59
"72","2018-01-04",9.59
"73","2018-01-05",9.88
"74","2018-01-08",9.93
"75","2018-01-09",9.8
"76","2018-01-10",9.91
"77","2018-01-11",10.07
"78","2018-01-12",10.74
"79","2018-01-16",10.42
"80","2018-01-17",10.54
"81","2018-01-18",10.43
"82","2018-01-19",10.78
"83","2018-01-22",11.51
"84","2018-01-23",12.14
"85","2018-01-24",14.14
"86","2018-01-25",14.06
"87","2018-01-26",13.97
"88","2018-01-29",14.27
"89","2018-01-30",14.04
"90","2018-01-31",14.43
"91","2018-02-01",13.93
"92","2018-02-02",13.31
"93","2018-02-05",12.98
"94","2018-02-06",12.745
"95","2018-02-07",13.5
"96","2018-02-08",13.26
"97","2018-02-09",12.41
"98","2018-02-12",13.12
"99","2018-02-13",13.4
"100","2018-02-14",13.28
"101","2018-02-15",13.23
"102","2018-02-16",13.16
"103","2018-02-20",13.41
"104","2018-02-21",13.5
"105","2018-02-22",13.51
