"","date","FCF"
"1","2007-01-03",13.47
"2","2007-01-04",13.58
"3","2007-01-05",13.32
"4","2007-01-08",13.33
"5","2007-01-09",13.38
"6","2007-01-10",13.21
"7","2007-01-11",13.36
"8","2007-01-12",13.56
"9","2007-01-16",13.38
"10","2007-01-17",13.32
"11","2007-01-18",13.27
"12","2007-01-19",13.39
"13","2007-01-22",13.36
"14","2007-01-23",13.4
"15","2007-01-24",13.48
"16","2007-01-25",13.1
"17","2007-01-26",13.24
"18","2007-01-29",13.15
"19","2007-01-30",13.18
"20","2007-01-31",13.15
"21","2007-02-01",13.13
"22","2007-02-02",13.11
"23","2007-02-05",13.04
"24","2007-02-06",13.05
"25","2007-02-07",13.16
"26","2007-02-08",13.14
"27","2007-02-09",13.03
"28","2007-02-12",13.02
"29","2007-02-13",13.12
"30","2007-02-14",13.05
"31","2007-02-15",12.98
"32","2007-02-16",12.99
"33","2007-02-20",13.02
"34","2007-02-21",13.03
"35","2007-02-22",13.09
"36","2007-02-23",12.99
"37","2007-02-26",12.63
"38","2007-02-27",12.37
"39","2007-02-28",12.26
"40","2007-03-01",12.26
"41","2007-03-02",12.02
"42","2007-03-05",11.73
"43","2007-03-06",11.91
"44","2007-03-07",11.78
"45","2007-03-08",11.81
"46","2007-03-09",11.91
"47","2007-03-12",11.86
"48","2007-03-13",11.49
"49","2007-03-14",11.74
"50","2007-03-15",11.95
"51","2007-03-16",11.83
"52","2007-03-19",11.98
"53","2007-03-20",12
"54","2007-03-21",12.28
"55","2007-03-22",12.32
"56","2007-03-23",12.36
"57","2007-03-26",12.36
"58","2007-03-27",12.18
"59","2007-03-28",11.9
"60","2007-03-29",11.94
"61","2007-03-30",11.75
"62","2007-04-02",11.7
"63","2007-04-03",11.76
"64","2007-04-04",11.66
"65","2007-04-05",11.62
"66","2007-04-09",11.52
"67","2007-04-10",11.45
"68","2007-04-11",11.31
"69","2007-04-12",11.37
"70","2007-04-13",11.57
"71","2007-04-16",11.98
"72","2007-04-17",11.69
"73","2007-04-18",11.66
"74","2007-04-19",11.55
"75","2007-04-20",11.54
"76","2007-04-23",11.45
"77","2007-04-24",11.32
"78","2007-04-25",11.31
"79","2007-04-26",11.28
"80","2007-04-27",11.23
"81","2007-04-30",11.13
"82","2007-05-01",11.23
"83","2007-05-02",11.16
"84","2007-05-03",11.23
"85","2007-05-04",11.29
"86","2007-05-07",11.25
"87","2007-05-08",11.17
"88","2007-05-09",11.27
"89","2007-05-10",11
"90","2007-05-11",11.15
"91","2007-05-14",11.02
"92","2007-05-15",10.88
"93","2007-05-16",11.11
"94","2007-05-17",11
"95","2007-05-18",11.05
"96","2007-05-21",11.11
"97","2007-05-22",11.25
"98","2007-05-23",11.37
"99","2007-05-24",11.16
"100","2007-05-25",11.22
"101","2007-05-29",11.33
"102","2007-05-30",11.3
"103","2007-05-31",11.31
"104","2007-06-01",11.36
"105","2007-06-04",11.31
"106","2007-06-05",11.16
"107","2007-06-06",11.12
"108","2007-06-07",10.97
"109","2007-06-08",11.19
"110","2007-06-11",11.12
"111","2007-06-12",10.91
"112","2007-06-13",11.07
"113","2007-06-14",11.08
"114","2007-06-15",11.38
"115","2007-06-18",11.35
"116","2007-06-19",11.34
"117","2007-06-20",11.15
"118","2007-06-21",11.06
"119","2007-06-22",11.03
"120","2007-06-25",10.95
"121","2007-06-26",11.09
"122","2007-06-27",11.12
"123","2007-06-28",11.11
"124","2007-06-29",10.92
"125","2007-07-02",10.92
"126","2007-07-03",10.91
"127","2007-07-05",10.93
"128","2007-07-06",10.98
"129","2007-07-09",10.86
"130","2007-07-10",10.57
"131","2007-07-11",10.55
"132","2007-07-12",10.8
"133","2007-07-13",10.83
"134","2007-07-16",10.71
"135","2007-07-17",10.7
"136","2007-07-18",10.45
"137","2007-07-19",10.52
"138","2007-07-20",10.18
"139","2007-07-23",9.95
"140","2007-07-24",9.57
"141","2007-07-25",9.77
"142","2007-07-26",9.53
"143","2007-07-27",9.45
"144","2007-07-30",9.53
"145","2007-07-31",9.48
"146","2007-08-01",9.41
"147","2007-08-02",9.44
"148","2007-08-03",9.05
"149","2007-08-06",9.49
"150","2007-08-07",9.77
"151","2007-08-08",11.24
"152","2007-08-09",11.4
"153","2007-08-10",11.45
"154","2007-08-13",10.65
"155","2007-08-14",10.02
"156","2007-08-15",10.11
"157","2007-08-16",11.94
"158","2007-08-17",11.93
"159","2007-08-20",11.98
"160","2007-08-21",11.98
"161","2007-08-22",11.81
"162","2007-08-23",11.47
"163","2007-08-24",11.5
"164","2007-08-27",10.81
"165","2007-08-28",10.6
"166","2007-08-29",10.88
"167","2007-08-30",10.73
"168","2007-08-31",11.01
"169","2007-09-04",11.03
"170","2007-09-05",10.93
"171","2007-09-06",11.03
"172","2007-09-07",10.83
"173","2007-09-10",10.74
"174","2007-09-11",10.98
"175","2007-09-12",10.9
"176","2007-09-13",11.03
"177","2007-09-14",11.05
"178","2007-09-17",10.88
"179","2007-09-18",11.63
"180","2007-09-19",11.98
"181","2007-09-20",11.8
"182","2007-09-21",11.71
"183","2007-09-24",11.62
"184","2007-09-25",11.63
"185","2007-09-26",11.53
"186","2007-09-27",11.57
"187","2007-09-28",11.06
"188","2007-10-01",11.41
"189","2007-10-02",11.56
"190","2007-10-03",11.4
"191","2007-10-04",11.54
"192","2007-10-05",11.73
"193","2007-10-08",11.58
"194","2007-10-09",11.77
"195","2007-10-10",11.73
"196","2007-10-11",11.76
"197","2007-10-12",11.64
"198","2007-10-15",11.17
"199","2007-10-16",11.2
"200","2007-10-17",10.8
"201","2007-10-18",10.81
"202","2007-10-19",10.6
"203","2007-10-22",11.08
"204","2007-10-23",10.93
"205","2007-10-24",10.73
"206","2007-10-25",10.85
"207","2007-10-26",11.3
"208","2007-10-29",11.42
"209","2007-10-30",11.36
"210","2007-10-31",11.49
"211","2007-11-01",10.69
"212","2007-11-02",10.17
"213","2007-11-05",10.13
"214","2007-11-06",10.44
"215","2007-11-07",9.9
"216","2007-11-08",10.45
"217","2007-11-09",10.76
"218","2007-11-12",10.95
"219","2007-11-13",11.42
"220","2007-11-14",10.92
"221","2007-11-15",10.44
"222","2007-11-16",10.54
"223","2007-11-19",10.21
"224","2007-11-20",10.23
"225","2007-11-21",10.23
"226","2007-11-23",10.66
"227","2007-11-26",10.19
"228","2007-11-27",10.68
"229","2007-11-28",11.53
"230","2007-11-29",11.23
"231","2007-11-30",11.64
"232","2007-12-03",11.51
"233","2007-12-04",11.58
"234","2007-12-05",11.81
"235","2007-12-06",12.11
"236","2007-12-07",11.86
"237","2007-12-10",11.97
"238","2007-12-11",11.13
"239","2007-12-12",11.18
"240","2007-12-13",11.1
"241","2007-12-14",10.64
"242","2007-12-17",10.53
"243","2007-12-18",10.99
"244","2007-12-19",10.75
"245","2007-12-20",11.15
"246","2007-12-21",11.64
"247","2007-12-24",11.47
"248","2007-12-26",11.69
"249","2007-12-27",10.74
"250","2007-12-28",10.73
"251","2007-12-31",10.65
"252","2008-01-02",10.21
"253","2008-01-03",9.95
"254","2008-01-04",9.56
"255","2008-01-07",10.01
"256","2008-01-08",9.47
"257","2008-01-09",9.57
"258","2008-01-10",9.97
"259","2008-01-11",9.57
"260","2008-01-14",9.38
"261","2008-01-15",9.44
"262","2008-01-16",9.72
"263","2008-01-17",9.36
"264","2008-01-18",9.51
"265","2008-01-22",9.95
"266","2008-01-23",11.13
"267","2008-01-24",11.47
"268","2008-01-25",11.13
"269","2008-01-28",11.51
"270","2008-01-29",11.65
"271","2008-01-30",11.36
"272","2008-01-31",11.6
"273","2008-02-01",11.69
"274","2008-02-04",11.48
"275","2008-02-05",10.67
"276","2008-02-06",10.81
"277","2008-02-07",11.21
"278","2008-02-08",11.38
"279","2008-02-11",11.17
"280","2008-02-12",11.38
"281","2008-02-13",11.39
"282","2008-02-14",10.98
"283","2008-02-15",10.98
"284","2008-02-19",10.79
"285","2008-02-20",11.28
"286","2008-02-21",10.85
"287","2008-02-22",11.1
"288","2008-02-25",11.3
"289","2008-02-26",11.43
"290","2008-02-27",11.34
"291","2008-02-28",10.92
"292","2008-02-29",10.58
"293","2008-03-03",10.66
"294","2008-03-04",10.79
"295","2008-03-05",10.74
"296","2008-03-06",10.44
"297","2008-03-07",10.59
"298","2008-03-10",10.58
"299","2008-03-11",11.31
"300","2008-03-12",11.07
"301","2008-03-13",11.22
"302","2008-03-14",10.9
"303","2008-03-17",11.36
"304","2008-03-18",11.89
"305","2008-03-19",11.7
"306","2008-03-20",12.32
"307","2008-03-24",12.14
"308","2008-03-25",12.28
"309","2008-03-26",12.1
"310","2008-03-27",11.79
"311","2008-03-28",11.51
"312","2008-03-31",11.59
"313","2008-04-01",12.35
"314","2008-04-02",12.46
"315","2008-04-03",12.3
"316","2008-04-04",12.01
"317","2008-04-07",12.01
"318","2008-04-08",11.82
"319","2008-04-09",11.13
"320","2008-04-10",11.32
"321","2008-04-11",10.97
"322","2008-04-14",10.89
"323","2008-04-15",11.71
"324","2008-04-16",12.3
"325","2008-04-17",12.28
"326","2008-04-18",12.65
"327","2008-04-21",12.08
"328","2008-04-22",11.87
"329","2008-04-23",11.79
"330","2008-04-24",12.45
"331","2008-04-25",12.39
"332","2008-04-28",12.62
"333","2008-04-29",12.68
"334","2008-04-30",12.45
"335","2008-05-01",12.76
"336","2008-05-02",12.48
"337","2008-05-05",12.27
"338","2008-05-06",12.27
"339","2008-05-07",11.89
"340","2008-05-08",11.66
"341","2008-05-09",11.52
"342","2008-05-12",11.95
"343","2008-05-13",11.92
"344","2008-05-14",11.7
"345","2008-05-15",11.74
"346","2008-05-16",11.44
"347","2008-05-19",11.33
"348","2008-05-20",11.11
"349","2008-05-21",11.05
"350","2008-05-22",11.15
"351","2008-05-23",11.08
"352","2008-05-27",11.26
"353","2008-05-28",11.05
"354","2008-05-29",11.25
"355","2008-05-30",11.22
"356","2008-06-02",10.7
"357","2008-06-03",10.36
"358","2008-06-04",10.49
"359","2008-06-05",10.59
"360","2008-06-06",10
"361","2008-06-09",10.19
"362","2008-06-10",10.49
"363","2008-06-11",10.05
"364","2008-06-12",10.06
"365","2008-06-13",9.73
"366","2008-06-16",10.26
"367","2008-06-17",10.04
"368","2008-06-18",10.11
"369","2008-06-19",10.36
"370","2008-06-20",10.34
"371","2008-06-23",9.8
"372","2008-06-24",10.05
"373","2008-06-25",10.01
"374","2008-06-26",9.79
"375","2008-06-27",9.89
"376","2008-06-30",9.33
"377","2008-07-01",9.41
"378","2008-07-02",9.28
"379","2008-07-03",9.01
"380","2008-07-07",9.08
"381","2008-07-08",9.52
"382","2008-07-09",9.13
"383","2008-07-10",9.54
"384","2008-07-11",9.79
"385","2008-07-14",9.02
"386","2008-07-15",8.6
"387","2008-07-16",9.5
"388","2008-07-17",10.72
"389","2008-07-18",11.04
"390","2008-07-21",10.36
"391","2008-07-22",11.12
"392","2008-07-23",11.3
"393","2008-07-24",10.95
"394","2008-07-25",10.79
"395","2008-07-28",10.59
"396","2008-07-29",11.65
"397","2008-07-30",11.42
"398","2008-07-31",11.4
"399","2008-08-01",11.71
"400","2008-08-04",11.63
"401","2008-08-05",11.92
"402","2008-08-06",11.77
"403","2008-08-07",11.48
"404","2008-08-08",11.86
"405","2008-08-11",12.23
"406","2008-08-12",11.98
"407","2008-08-13",11.49
"408","2008-08-14",11.4
"409","2008-08-15",11.95
"410","2008-08-18",11.68
"411","2008-08-19",11.32
"412","2008-08-20",10.83
"413","2008-08-21",10.87
"414","2008-08-22",11.3
"415","2008-08-25",10.77
"416","2008-08-26",10.81
"417","2008-08-27",11.15
"418","2008-08-28",11.5
"419","2008-08-29",11.43
"420","2008-09-02",11.52
"421","2008-09-03",11.96
"422","2008-09-04",11.3
"423","2008-09-05",12
"424","2008-09-08",12.59
"425","2008-09-09",12.47
"426","2008-09-10",12.28
"427","2008-09-11",12.09
"428","2008-09-12",12.61
"429","2008-09-15",11.96
"430","2008-09-16",12.73
"431","2008-09-17",12.4
"432","2008-09-18",15
"433","2008-09-19",14.7
"434","2008-09-22",12.2
"435","2008-09-23",12.57
"436","2008-09-24",12.62
"437","2008-09-25",12.63
"438","2008-09-26",12.7
"439","2008-09-29",11.84
"440","2008-09-30",13.47
"441","2008-10-01",14.25
"442","2008-10-02",13.33
"443","2008-10-03",12.68
"444","2008-10-06",13.06
"445","2008-10-07",11.52
"446","2008-10-08",11.48
"447","2008-10-09",10.31
"448","2008-10-10",11.82
"449","2008-10-13",12.24
"450","2008-10-14",12.64
