"","date","TWTR"
"1","2013-11-07",44.900002
"2","2013-11-08",41.650002
"3","2013-11-11",42.900002
"4","2013-11-12",41.900002
"5","2013-11-13",42.599998
"6","2013-11-14",44.689999
"7","2013-11-15",43.98
"8","2013-11-18",41.139999
"9","2013-11-19",41.75
"10","2013-11-20",41.049999
"11","2013-11-21",42.060001
"12","2013-11-22",41
"13","2013-11-25",39.060001
"14","2013-11-26",40.18
"15","2013-11-27",40.900002
"16","2013-11-29",41.57
"17","2013-12-02",40.779999
"18","2013-12-03",41.369999
"19","2013-12-04",43.689999
"20","2013-12-05",45.619999
"21","2013-12-06",44.950001
"22","2013-12-09",49.139999
"23","2013-12-10",51.990002
"24","2013-12-11",52.34
"25","2013-12-12",55.330002
"26","2013-12-13",59
"27","2013-12-16",56.610001
"28","2013-12-17",56.450001
"29","2013-12-18",55.509998
"30","2013-12-19",57.490002
"31","2013-12-20",60.009998
"32","2013-12-23",64.540001
"33","2013-12-24",69.959999
"34","2013-12-26",73.309998
"35","2013-12-27",63.75
"36","2013-12-30",60.509998
"37","2013-12-31",63.650002
"38","2014-01-02",67.5
"39","2014-01-03",69
"40","2014-01-06",66.290001
"41","2014-01-07",61.459999
"42","2014-01-08",59.290001
"43","2014-01-09",57.049999
"44","2014-01-10",57
"45","2014-01-13",57.82
"46","2014-01-14",58.209999
"47","2014-01-15",61.57
"48","2014-01-16",60.57
"49","2014-01-17",62.200001
"50","2014-01-21",62.529999
"51","2014-01-22",62.439999
"52","2014-01-23",62.799999
"53","2014-01-24",61.740002
"54","2014-01-27",57.91
"55","2014-01-28",60.439999
"56","2014-01-29",59.450001
"57","2014-01-30",63.470001
"58","2014-01-31",64.5
"59","2014-02-03",65.25
"60","2014-02-04",66.32
"61","2014-02-05",65.970001
"62","2014-02-06",50.029999
"63","2014-02-07",54.349998
"64","2014-02-10",52.919998
"65","2014-02-11",54
"66","2014-02-12",56.849998
"67","2014-02-13",56.470001
"68","2014-02-14",57.439999
"69","2014-02-18",58.18
"70","2014-02-19",55.5
"71","2014-02-20",56.630001
"72","2014-02-21",55.919998
"73","2014-02-24",55.779999
"74","2014-02-25",54.959999
"75","2014-02-26",55.869999
"76","2014-02-27",55.77
"77","2014-02-28",54.91
"78","2014-03-03",53.709999
"79","2014-03-04",54.279999
"80","2014-03-05",54.380001
"81","2014-03-06",54.830002
"82","2014-03-07",53.529999
"83","2014-03-10",53.880001
"84","2014-03-11",54.02
"85","2014-03-12",54.5
"86","2014-03-13",53.57
"87","2014-03-14",51.919998
"88","2014-03-17",52.049999
"89","2014-03-18",51.130001
"90","2014-03-19",51.240002
"91","2014-03-20",50.119999
"92","2014-03-21",50.919998
"93","2014-03-24",48.77
"94","2014-03-25",47.880001
"95","2014-03-26",44.43
"96","2014-03-27",46.32
"97","2014-03-28",47.299999
