"","date","BPY"
"1","2013-03-22",22.030001
"2","2013-03-25",21.639999
"3","2013-03-26",21.280001
"4","2013-03-27",21.360001
"5","2013-03-28",21.26
"6","2013-04-01",21.700001
"7","2013-04-02",22.549999
"8","2013-04-03",22.9
"9","2013-04-04",22.75
"10","2013-04-05",22.639999
"11","2013-04-08",22.48
"12","2013-04-09",22.27
"13","2013-04-10",21.9
"14","2013-04-11",22.09
"15","2013-04-12",21.110001
"16","2013-04-15",22.309999
"17","2013-04-16",22.049999
"18","2013-04-17",21.93
"19","2013-04-18",21.690001
"20","2013-04-19",21.469999
"21","2013-04-22",21.040001
"22","2013-04-23",21.110001
"23","2013-04-24",21.01
"24","2013-04-25",21.35
"25","2013-04-26",21.15
"26","2013-04-29",21.549999
"27","2013-04-30",22.08
"28","2013-05-01",22.52
"29","2013-05-02",22.870001
"30","2013-05-03",22.5
"31","2013-05-06",22.469999
"32","2013-05-07",22.68
"33","2013-05-08",22.9
"34","2013-05-09",22.549999
"35","2013-05-10",22.52
"36","2013-05-13",22.549999
"37","2013-05-14",22.620001
"38","2013-05-15",22.639999
"39","2013-05-16",22.780001
"40","2013-05-17",22.57
"41","2013-05-20",22.82
"42","2013-05-21",23.639999
"43","2013-05-22",23.290001
"44","2013-05-23",23.27
"45","2013-05-24",22.9
"46","2013-05-28",22.870001
"47","2013-05-29",22.209999
"48","2013-05-30",22.09
"49","2013-05-31",21.5
"50","2013-06-03",21.16
"51","2013-06-04",20.940001
"52","2013-06-05",20.9
"53","2013-06-06",20.98
"54","2013-06-07",21.1
"55","2013-06-10",20.9
"56","2013-06-11",20.98
"57","2013-06-12",21.030001
"58","2013-06-13",21.23
"59","2013-06-14",20.889999
"60","2013-06-17",20.91
"61","2013-06-18",20.92
"62","2013-06-19",20.6
"63","2013-06-20",20.09
"64","2013-06-21",20.08
"65","2013-06-24",19.57
"66","2013-06-25",20.030001
"67","2013-06-26",20.290001
"68","2013-06-27",20.219999
"69","2013-06-28",20.299999
"70","2013-07-01",20.129999
"71","2013-07-02",20.110001
"72","2013-07-03",20.120001
"73","2013-07-05",20.34
"74","2013-07-08",20.290001
