"","date","EHC"
"1","2007-01-03",22.34
"2","2007-01-04",22.139999
"3","2007-01-05",22.309999
"4","2007-01-08",22.6
"5","2007-01-09",23.1
"6","2007-01-10",22.68
"7","2007-01-11",22.5
"8","2007-01-12",22.549999
"9","2007-01-16",22.709999
"10","2007-01-17",22.73
"11","2007-01-18",22.719999
"12","2007-01-19",22.5
"13","2007-01-22",22.35
"14","2007-01-23",22.280001
"15","2007-01-24",22.120001
"16","2007-01-25",21.950001
"17","2007-01-26",21.700001
"18","2007-01-29",22.620001
"19","2007-01-30",22.610001
"20","2007-01-31",23.389999
"21","2007-02-01",24.309999
"22","2007-02-02",24.120001
"23","2007-02-05",24.639999
"24","2007-02-06",23.93
"25","2007-02-07",24.209999
"26","2007-02-08",24.290001
"27","2007-02-09",24.540001
"28","2007-02-12",24.48
"29","2007-02-13",24.65
"30","2007-02-14",24.790001
"31","2007-02-15",25.58
"32","2007-02-16",25.73
"33","2007-02-20",25.200001
"34","2007-02-21",25.09
"35","2007-02-22",25.139999
"36","2007-02-23",24.75
"37","2007-02-26",24.16
"38","2007-02-27",23.75
"39","2007-02-28",24
"40","2007-03-01",23.33
"41","2007-03-02",23.190001
"42","2007-03-05",22.85
"43","2007-03-06",23.209999
"44","2007-03-07",23.459999
"45","2007-03-08",23.700001
"46","2007-03-09",23.690001
"47","2007-03-12",23.83
"48","2007-03-13",23.809999
"49","2007-03-14",23.76
"50","2007-03-15",24.059999
"51","2007-03-16",23.629999
"52","2007-03-19",23.700001
"53","2007-03-20",23.58
"54","2007-03-21",23.59
"55","2007-03-22",23.26
"56","2007-03-23",22.870001
"57","2007-03-26",22.59
"58","2007-03-27",22.559999
"59","2007-03-28",22.25
"60","2007-03-29",21.690001
"61","2007-03-30",21.01
"62","2007-04-02",21.18
"63","2007-04-03",21.200001
"64","2007-04-04",21.07
"65","2007-04-05",21.459999
"66","2007-04-09",21.17
"67","2007-04-10",21.620001
"68","2007-04-11",21.129999
"69","2007-04-12",20.84
"70","2007-04-13",20.540001
"71","2007-04-16",20.68
"72","2007-04-17",20.75
"73","2007-04-18",20.459999
"74","2007-04-19",20.360001
"75","2007-04-20",20.290001
"76","2007-04-23",20.280001
"77","2007-04-24",20.459999
"78","2007-04-25",20.700001
"79","2007-04-26",20.9
"80","2007-04-27",21.139999
"81","2007-04-30",21
"82","2007-05-01",21.059999
"83","2007-05-02",21
"84","2007-05-03",20.700001
"85","2007-05-04",20.6
"86","2007-05-07",20.549999
"87","2007-05-08",20.26
"88","2007-05-09",19.91
"89","2007-05-10",19.23
"90","2007-05-11",19.74
"91","2007-05-14",19.59
"92","2007-05-15",19.110001
"93","2007-05-16",19
"94","2007-05-17",18.75
"95","2007-05-18",19.07
"96","2007-05-21",19.57
"97","2007-05-22",19.549999
"98","2007-05-23",20.08
"99","2007-05-24",19.84
"100","2007-05-25",20.379999
"101","2007-05-29",20.469999
"102","2007-05-30",20.5
"103","2007-05-31",20.76
"104","2007-06-01",20.700001
"105","2007-06-04",20.84
"106","2007-06-05",20.77
"107","2007-06-06",20
"108","2007-06-07",20.01
"109","2007-06-08",20.01
"110","2007-06-11",19.639999
"111","2007-06-12",19.690001
"112","2007-06-13",19.27
"113","2007-06-14",19.280001
"114","2007-06-15",19.51
"115","2007-06-18",19.67
"116","2007-06-19",19.59
"117","2007-06-20",19.27
"118","2007-06-21",19.33
"119","2007-06-22",19.190001
"120","2007-06-25",18.65
"121","2007-06-26",18.25
"122","2007-06-27",18.41
"123","2007-06-28",18.43
"124","2007-06-29",18.110001
"125","2007-07-02",18.51
"126","2007-07-03",18.73
"127","2007-07-05",18.809999
"128","2007-07-06",18.73
"129","2007-07-09",18.809999
"130","2007-07-10",18.59
"131","2007-07-11",18.73
"132","2007-07-12",18.790001
"133","2007-07-13",18.68
"134","2007-07-16",18.35
"135","2007-07-17",18.35
"136","2007-07-18",18.27
"137","2007-07-19",18.48
"138","2007-07-20",18.41
