"","date","SPNS"
"1","2007-01-03",1.49
"2","2007-01-04",1.45
"3","2007-01-05",1.5
"4","2007-01-08",1.5
"5","2007-01-09",1.55
"6","2007-01-10",1.74
"7","2007-01-11",1.72
"8","2007-01-12",1.66
"9","2007-01-16",1.64
"10","2007-01-17",1.65
"11","2007-01-18",1.62
"12","2007-01-19",1.64
"13","2007-01-22",1.65
"14","2007-01-23",1.65
"15","2007-01-24",1.65
"16","2007-01-25",1.65
"17","2007-01-26",1.65
"18","2007-01-29",1.54
"19","2007-01-30",1.66
"20","2007-01-31",1.53
"21","2007-02-01",1.57
"22","2007-02-02",1.71
"23","2007-02-05",1.7
"24","2007-02-06",1.72
"25","2007-02-07",1.7
"26","2007-02-08",1.67
"27","2007-02-09",1.63
"28","2007-02-12",1.61
"29","2007-02-13",1.61
"30","2007-02-14",1.77
"31","2007-02-15",1.77
"32","2007-02-16",1.77
"33","2007-02-20",1.8
"34","2007-02-21",1.75
"35","2007-02-22",1.75
"36","2007-02-23",1.76
"37","2007-02-26",1.86
"38","2007-02-27",1.81
"39","2007-02-28",1.72
"40","2007-03-01",1.66
"41","2007-03-02",1.73
"42","2007-03-05",1.58
"43","2007-03-06",1.76
"44","2007-03-07",1.66
"45","2007-03-08",1.68
"46","2007-03-09",1.68
"47","2007-03-12",1.7
"48","2007-03-13",1.61
"49","2007-03-14",1.67
"50","2007-03-15",1.6
"51","2007-03-16",1.72
"52","2007-03-19",1.67
"53","2007-03-20",1.68
"54","2007-03-21",1.61
"55","2007-03-22",1.62
"56","2007-03-23",1.62
"57","2007-03-26",1.7
"58","2007-03-27",1.7
"59","2007-03-28",1.7
"60","2007-03-29",1.7
"61","2007-03-30",1.68
"62","2007-04-02",1.71
"63","2007-04-03",1.71
"64","2007-04-04",1.72
"65","2007-04-05",1.71
"66","2007-04-09",1.79
"67","2007-04-10",1.76
"68","2007-04-11",1.74
"69","2007-04-12",1.7
"70","2007-04-13",1.71
"71","2007-04-16",1.75
"72","2007-04-17",1.75
"73","2007-04-18",1.7
"74","2007-04-19",1.72
"75","2007-04-20",1.72
"76","2007-04-23",1.72
"77","2007-04-24",1.67
"78","2007-04-25",1.67
"79","2007-04-26",1.69
"80","2007-04-27",1.65
"81","2007-04-30",1.55
"82","2007-05-01",1.8
"83","2007-05-02",1.81
"84","2007-05-03",1.89
"85","2007-05-04",1.74
"86","2007-05-07",1.71
"87","2007-05-08",1.81
