"","date","Z"
"1","2015-08-03",27.74
"2","2015-08-04",25.799999
"3","2015-08-05",25.24
"4","2015-08-06",26.950001
"5","2015-08-07",26.5
"6","2015-08-10",26.139999
"7","2015-08-11",25.379999
"8","2015-08-12",25.99
"9","2015-08-13",26.200001
"10","2015-08-14",25.190001
"11","2015-08-17",24.799999
"12","2015-08-18",26.059999
"13","2015-08-19",26.77
"14","2015-08-20",25.17
"15","2015-08-21",25.18
"16","2015-08-24",24.370001
"17","2015-08-25",24.6
"18","2015-08-26",25
"19","2015-08-27",25.16
"20","2015-08-28",24.860001
"21","2015-08-31",24.66
"22","2015-09-01",24.43
"23","2015-09-02",25.32
"24","2015-09-03",25.51
"25","2015-09-04",25.07
"26","2015-09-08",25.24
"27","2015-09-09",25.07
"28","2015-09-10",25.450001
"29","2015-09-11",25.870001
"30","2015-09-14",26.120001
"31","2015-09-15",27.65
"32","2015-09-16",27.450001
"33","2015-09-17",27.91
"34","2015-09-18",28.07
"35","2015-09-21",27.360001
"36","2015-09-22",27.26
"37","2015-09-23",27.49
"38","2015-09-24",27.26
"39","2015-09-25",27.9
"40","2015-09-28",27.58
"41","2015-09-29",27.5
"42","2015-09-30",27
"43","2015-10-01",26.110001
"44","2015-10-02",26.559999
"45","2015-10-05",27.120001
"46","2015-10-06",28.549999
"47","2015-10-07",29.99
"48","2015-10-08",31.6
"49","2015-10-09",33.450001
"50","2015-10-12",32
"51","2015-10-13",31.65
"52","2015-10-14",31.870001
"53","2015-10-15",31.15
"54","2015-10-16",30.450001
"55","2015-10-19",30.66
"56","2015-10-20",31.16
"57","2015-10-21",29.889999
"58","2015-10-22",29.950001
"59","2015-10-23",29.99
"60","2015-10-26",29.43
"61","2015-10-27",28.459999
"62","2015-10-28",28.23
"63","2015-10-29",27.57
"64","2015-10-30",27.690001
"65","2015-11-02",28.459999
"66","2015-11-03",29.5
"67","2015-11-04",27.65
"68","2015-11-05",25.790001
"69","2015-11-06",25.48
"70","2015-11-09",25.299999
"71","2015-11-10",24.4
"72","2015-11-11",24.360001
"73","2015-11-12",23.790001
"74","2015-11-13",23.27
"75","2015-11-16",23.73
"76","2015-11-17",24.709999
"77","2015-11-18",25.280001
"78","2015-11-19",25.23
"79","2015-11-20",25.290001
"80","2015-11-23",24.48
"81","2015-11-24",24.809999
"82","2015-11-25",24.940001
"83","2015-11-27",24.549999
"84","2015-11-30",24.65
"85","2015-12-01",24.1
"86","2015-12-02",24.65
"87","2015-12-03",24.5
"88","2015-12-04",24.66
"89","2015-12-07",24.950001
"90","2015-12-08",24.709999
"91","2015-12-09",23.57
"92","2015-12-10",23.459999
"93","2015-12-11",23.280001
"94","2015-12-14",23.549999
"95","2015-12-15",24.559999
"96","2015-12-16",25.459999
"97","2015-12-17",24.43
"98","2015-12-18",24.610001
"99","2015-12-21",24.09
"100","2015-12-22",23.950001
"101","2015-12-23",24.08
"102","2015-12-24",24.41
"103","2015-12-28",23.950001
"104","2015-12-29",24.17
"105","2015-12-30",24.24
"106","2015-12-31",23.48
"107","2016-01-04",22.110001
"108","2016-01-05",21.99
"109","2016-01-06",21.959999
"110","2016-01-07",21.5
"111","2016-01-08",22.1
"112","2016-01-11",22.16
"113","2016-01-12",22.34
"114","2016-01-13",21.450001
"115","2016-01-14",20.77
"116","2016-01-15",20.83
"117","2016-01-19",20.67
"118","2016-01-20",19.530001
"119","2016-01-21",18.940001
"120","2016-01-22",20.18
"121","2016-01-25",19.75
"122","2016-01-26",20.120001
"123","2016-01-27",19.65
"124","2016-01-28",19.5
"125","2016-01-29",20.5
"126","2016-02-01",19.25
"127","2016-02-02",17.92
"128","2016-02-03",17.65
"129","2016-02-04",18.43
"130","2016-02-05",16.92
"131","2016-02-08",16.01
"132","2016-02-09",16.200001
"133","2016-02-10",16.780001
"134","2016-02-11",17.969999
"135","2016-02-12",17.809999
"136","2016-02-16",18.83
"137","2016-02-17",19.379999
"138","2016-02-18",19.549999
"139","2016-02-19",20.309999
"140","2016-02-22",20
"141","2016-02-23",20.77
"142","2016-02-24",20.200001
"143","2016-02-25",21
"144","2016-02-26",21.01
"145","2016-02-29",21.6
"146","2016-03-01",21.459999
"147","2016-03-02",22.379999
"148","2016-03-03",23.370001
"149","2016-03-04",23.280001
"150","2016-03-07",23.549999
"151","2016-03-08",24.27
"152","2016-03-09",22.440001
"153","2016-03-10",22.52
"154","2016-03-11",23.08
"155","2016-03-14",22.870001
"156","2016-03-15",21.809999
"157","2016-03-16",22.77
"158","2016-03-17",22.200001
"159","2016-03-18",22.32
"160","2016-03-21",22.76
"161","2016-03-22",23.02
"162","2016-03-23",22.360001
"163","2016-03-24",22.530001
"164","2016-03-28",22.41
"165","2016-03-29",23.34
"166","2016-03-30",23.049999
"167","2016-03-31",23.73
"168","2016-04-01",23.450001
"169","2016-04-04",22.09
"170","2016-04-05",21.08
"171","2016-04-06",21.26
"172","2016-04-07",20.73
"173","2016-04-08",21.09
"174","2016-04-11",19.940001
"175","2016-04-12",20.68
"176","2016-04-13",21.629999
"177","2016-04-14",21.629999
"178","2016-04-15",21.85
"179","2016-04-18",21.620001
"180","2016-04-19",22.280001
"181","2016-04-20",23.24
"182","2016-04-21",23.33
"183","2016-04-22",24.85
"184","2016-04-25",24.860001
"185","2016-04-26",24.85
