"","date","HAPP"
"1","2019-10-25",4.5
"2","2019-10-28",4.3
"3","2019-10-29",4.23
"4","2019-10-30",4.41
"5","2019-10-31",4.7
"6","2019-11-01",4.86
"7","2019-11-04",4.873
"8","2019-11-05",4.84
"9","2019-11-06",4.74
"10","2019-11-07",4.7
"11","2019-11-08",4.49
"12","2019-11-11",4.63
"13","2019-11-12",4.57
"14","2019-11-13",4.86
"15","2019-11-14",5
"16","2019-11-15",5.19
"17","2019-11-18",4.95
"18","2019-11-19",4.79
"19","2019-11-20",4.6
"20","2019-11-21",4.75
"21","2019-11-22",4.74
"22","2019-11-25",4.897
"23","2019-11-26",4.82
"24","2019-11-27",4.98
"25","2019-11-29",4.9
"26","2019-12-02",4.824
"27","2019-12-03",4.744
"28","2019-12-04",5.05
"29","2019-12-05",4.81
"30","2019-12-06",4.8
"31","2019-12-09",4.72
"32","2019-12-10",4.71
"33","2019-12-11",4.76
"34","2019-12-12",4.724
"35","2019-12-13",4.717
"36","2019-12-16",4.4
"37","2019-12-17",4.502
"38","2019-12-18",4.32
"39","2019-12-19",4.3
"40","2019-12-20",4.5
"41","2019-12-23",4.5
"42","2019-12-24",4.496
"43","2019-12-26",4.566
"44","2019-12-27",4.18
"45","2019-12-30",4.37
"46","2019-12-31",4.555
"47","2020-01-02",4.6
"48","2020-01-03",4.47
"49","2020-01-06",4.5
"50","2020-01-07",4.41
"51","2020-01-08",4.5
"52","2020-01-09",4.42
"53","2020-01-10",4.5
"54","2020-01-13",4.4
"55","2020-01-14",4.4
"56","2020-01-15",4.01
"57","2020-01-16",4.24
"58","2020-01-17",4.4
"59","2020-01-21",4.47
"60","2020-01-22",4.609
"61","2020-01-23",4.5
"62","2020-01-24",4.73
"63","2020-01-27",4.63
"64","2020-01-28",4.86
"65","2020-01-29",4.36
"66","2020-01-30",4.36
"67","2020-01-31",4.25
"68","2020-02-03",4.19
"69","2020-02-04",4.16
"70","2020-02-05",4.17
"71","2020-02-06",4
"72","2020-02-07",3.99
"73","2020-02-10",3.82
"74","2020-02-11",3.6
"75","2020-02-12",3.5
"76","2020-02-13",4.31
"77","2020-02-14",4.74
"78","2020-02-18",4.675
"79","2020-02-19",4.25
