"","date","PHX"
"1","2007-01-03",9.39
"2","2007-01-04",9.025
"3","2007-01-05",8.99
"4","2007-01-08",9.05
"5","2007-01-09",9.04
"6","2007-01-10",9.05
"7","2007-01-11",9.05
"8","2007-01-12",9.23
"9","2007-01-16",9.015
"10","2007-01-17",9.3
"11","2007-01-18",9.25
"12","2007-01-19",9.18
"13","2007-01-22",9.33
"14","2007-01-23",9.33
"15","2007-01-24",9.33
"16","2007-01-25",9.33
"17","2007-01-26",9.29
"18","2007-01-29",9.325
"19","2007-01-30",9.28
"20","2007-01-31",9.5
"21","2007-02-01",9.58
"22","2007-02-02",9.96
"23","2007-02-05",10.34
"24","2007-02-06",10.07
"25","2007-02-07",9.9
"26","2007-02-08",10.05
"27","2007-02-09",10
"28","2007-02-12",9.9
"29","2007-02-13",10.025
"30","2007-02-14",9.95
"31","2007-02-15",9.875
"32","2007-02-16",9.5
"33","2007-02-20",9.625
"34","2007-02-21",9.8
"35","2007-02-22",9.75
"36","2007-02-23",9.8
"37","2007-02-26",9.75
"38","2007-02-27",9.575
"39","2007-02-28",9.535
"40","2007-03-01",9.55
"41","2007-03-02",9.5
"42","2007-03-05",9.4
"43","2007-03-06",9.65
"44","2007-03-07",9.82
"45","2007-03-08",9.915
"46","2007-03-09",9.88
"47","2007-03-12",9.995
"48","2007-03-13",9.805
"49","2007-03-14",9.83
"50","2007-03-15",9.75
"51","2007-03-16",9.75
"52","2007-03-19",9.785
"53","2007-03-20",9.875
"54","2007-03-21",9.975
"55","2007-03-22",9.915
"56","2007-03-23",9.875
"57","2007-03-26",9.895
"58","2007-03-27",9.925
"59","2007-03-28",9.96
"60","2007-03-29",9.965
"61","2007-03-30",9.975
"62","2007-04-02",9.895
"63","2007-04-03",9.98
"64","2007-04-04",9.925
"65","2007-04-05",9.985
"66","2007-04-09",10
"67","2007-04-10",9.94
"68","2007-04-11",9.935
"69","2007-04-12",9.915
"70","2007-04-13",10.005
"71","2007-04-16",10.165
"72","2007-04-17",10.125
"73","2007-04-18",10.125
"74","2007-04-19",10.225
"75","2007-04-20",10.5
"76","2007-04-23",10.82
"77","2007-04-24",10.83
"78","2007-04-25",10.895
"79","2007-04-26",10.67
"80","2007-04-27",10.63
"81","2007-04-30",10.555
"82","2007-05-01",10.99
"83","2007-05-02",11.25
"84","2007-05-03",11.175
"85","2007-05-04",10.94
"86","2007-05-07",11.155
"87","2007-05-08",11.25
"88","2007-05-09",11.175
"89","2007-05-10",11.115
"90","2007-05-11",10.75
"91","2007-05-14",11.035
"92","2007-05-15",11.25
"93","2007-05-16",11.175
"94","2007-05-17",11.505
"95","2007-05-18",11.82
"96","2007-05-21",12.485
"97","2007-05-22",12.32
"98","2007-05-23",12.255
"99","2007-05-24",12.365
"100","2007-05-25",12.345
"101","2007-05-29",12.335
"102","2007-05-30",12.41
"103","2007-05-31",12.725
"104","2007-06-01",13.375
"105","2007-06-04",13.825
"106","2007-06-05",13.5
"107","2007-06-06",13.44
"108","2007-06-07",13.4
"109","2007-06-08",13.325
"110","2007-06-11",13.4
"111","2007-06-12",13.5
"112","2007-06-13",13.625
"113","2007-06-14",13.36
"114","2007-06-15",13.635
"115","2007-06-18",13.655
"116","2007-06-19",13.735
"117","2007-06-20",13.7
"118","2007-06-21",14
"119","2007-06-22",14.25
"120","2007-06-25",14
"121","2007-06-26",14
"122","2007-06-27",14.25
"123","2007-06-28",14.2
"124","2007-06-29",14.14
"125","2007-07-02",14.245
"126","2007-07-03",14.14
"127","2007-07-05",14.175
"128","2007-07-06",13.055
"129","2007-07-09",13.12
"130","2007-07-10",13.05
"131","2007-07-11",12.58
"132","2007-07-12",12.805
"133","2007-07-13",12.81
"134","2007-07-16",12.66
"135","2007-07-17",12.81
"136","2007-07-18",13.04
"137","2007-07-19",13.125
"138","2007-07-20",13.35
"139","2007-07-23",13.855
"140","2007-07-24",13.4
"141","2007-07-25",12.625
"142","2007-07-26",12.345
"143","2007-07-27",12.32
"144","2007-07-30",12.345
"145","2007-07-31",12.25
"146","2007-08-01",12.25
"147","2007-08-02",12.525
"148","2007-08-03",12.25
"149","2007-08-06",12.25
"150","2007-08-07",12.215
"151","2007-08-08",12.675
"152","2007-08-09",12.04
"153","2007-08-10",11.69
"154","2007-08-13",11.85
"155","2007-08-14",12.04
"156","2007-08-15",12.46
"157","2007-08-16",11.58
"158","2007-08-17",11.81
"159","2007-08-20",12.015
"160","2007-08-21",11.995
"161","2007-08-22",12.25
"162","2007-08-23",12.5
"163","2007-08-24",12.25
"164","2007-08-27",12.425
"165","2007-08-28",12.175
"166","2007-08-29",12.55
"167","2007-08-30",12.25
"168","2007-08-31",12.19
"169","2007-09-04",12.25
"170","2007-09-05",12.375
"171","2007-09-06",12.645
"172","2007-09-07",12.4
"173","2007-09-10",12.375
"174","2007-09-11",12.655
"175","2007-09-12",12.945
"176","2007-09-13",12.5
"177","2007-09-14",12.39
"178","2007-09-17",12.465
"179","2007-09-18",12.375
"180","2007-09-19",12.25
"181","2007-09-20",12.44
"182","2007-09-21",12.45
"183","2007-09-24",12.285
"184","2007-09-25",12.5
"185","2007-09-26",12.625
"186","2007-09-27",12.545
"187","2007-09-28",12.35
"188","2007-10-01",12.375
"189","2007-10-02",12.25
"190","2007-10-03",12.115
"191","2007-10-04",12
"192","2007-10-05",12.29
"193","2007-10-08",12.28
"194","2007-10-09",12.525
"195","2007-10-10",12.47
"196","2007-10-11",12.5
"197","2007-10-12",12.65
"198","2007-10-15",12.645
"199","2007-10-16",12.55
"200","2007-10-17",12.625
"201","2007-10-18",12.745
"202","2007-10-19",12.56
"203","2007-10-22",12.535
"204","2007-10-23",12.475
"205","2007-10-24",12.5
"206","2007-10-25",12.485
"207","2007-10-26",13.1
"208","2007-10-29",13.675
"209","2007-10-30",13.9
"210","2007-10-31",13.6
"211","2007-11-01",13.28
"212","2007-11-02",13.375
"213","2007-11-05",13.055
"214","2007-11-06",13.17
"215","2007-11-07",13.755
"216","2007-11-08",13.85
"217","2007-11-09",14.2
"218","2007-11-12",14.07
"219","2007-11-13",14.1
"220","2007-11-14",14
"221","2007-11-15",13.975
"222","2007-11-16",14.1
"223","2007-11-19",13.845
"224","2007-11-20",13.98
"225","2007-11-21",14
"226","2007-11-23",13.815
"227","2007-11-26",13.875
"228","2007-11-27",13.435
"229","2007-11-28",13.38
"230","2007-11-29",13.475
"231","2007-11-30",13.56
"232","2007-12-03",13.325
"233","2007-12-04",12.855
"234","2007-12-05",12.895
"235","2007-12-06",12.895
"236","2007-12-07",13
"237","2007-12-10",13.255
"238","2007-12-11",13.4
"239","2007-12-12",13.4
"240","2007-12-13",13.31
"241","2007-12-14",13.5
"242","2007-12-17",13.305
"243","2007-12-18",13.27
"244","2007-12-19",13.355
"245","2007-12-20",13.295
"246","2007-12-21",13.39
"247","2007-12-24",13
