"","date","PKG"
"1","2007-01-03",22.74
"2","2007-01-04",22.51
"3","2007-01-05",22.27
"4","2007-01-08",22.35
"5","2007-01-09",22.299999
"6","2007-01-10",22.32
"7","2007-01-11",22.49
"8","2007-01-12",22.59
"9","2007-01-16",22.41
"10","2007-01-17",22.52
"11","2007-01-18",22.370001
"12","2007-01-19",22.42
"13","2007-01-22",22.27
"14","2007-01-23",22.24
"15","2007-01-24",22.93
"16","2007-01-25",22.620001
"17","2007-01-26",22.5
"18","2007-01-29",22.719999
"19","2007-01-30",22.82
"20","2007-01-31",22.84
"21","2007-02-01",23.299999
"22","2007-02-02",23.35
"23","2007-02-05",23.190001
"24","2007-02-06",23.32
"25","2007-02-07",23.309999
"26","2007-02-08",22.99
"27","2007-02-09",22.959999
"28","2007-02-12",23.200001
"29","2007-02-13",23.469999
"30","2007-02-14",23.74
"31","2007-02-15",23.780001
"32","2007-02-16",24.82
"33","2007-02-20",25.379999
"34","2007-02-21",25.549999
"35","2007-02-22",25.4
"36","2007-02-23",25.33
"37","2007-02-26",25.59
"38","2007-02-27",25.07
"39","2007-02-28",24.5
"40","2007-03-01",25.01
"41","2007-03-02",24.809999
"42","2007-03-05",24.379999
"43","2007-03-06",24.77
"44","2007-03-07",25.09
"45","2007-03-08",24.99
"46","2007-03-09",25.450001
"47","2007-03-12",25.219999
"48","2007-03-13",24.4
"49","2007-03-14",24.139999
"50","2007-03-15",24.27
"51","2007-03-16",24.09
"52","2007-03-19",24.49
"53","2007-03-20",24.68
"54","2007-03-21",25.049999
"55","2007-03-22",25.07
"56","2007-03-23",25.190001
"57","2007-03-26",25.15
"58","2007-03-27",25.08
"59","2007-03-28",24.98
"60","2007-03-29",24.629999
"61","2007-03-30",24.4
"62","2007-04-02",24.43
"63","2007-04-03",24.940001
"64","2007-04-04",24.950001
"65","2007-04-05",24.85
"66","2007-04-09",25.02
"67","2007-04-10",25.25
"68","2007-04-11",25.41
"69","2007-04-12",25.440001
"70","2007-04-13",25.32
"71","2007-04-16",25.08
"72","2007-04-17",25.370001
"73","2007-04-18",25.32
"74","2007-04-19",25.389999
"75","2007-04-20",24.92
"76","2007-04-23",24.75
"77","2007-04-24",24.629999
"78","2007-04-25",25.1
"79","2007-04-26",25.299999
"80","2007-04-27",25.07
"81","2007-04-30",24.76
"82","2007-05-01",25.25
"83","2007-05-02",25.49
"84","2007-05-03",25.49
"85","2007-05-04",26.040001
"86","2007-05-07",25.83
"87","2007-05-08",25.879999
"88","2007-05-09",25.860001
"89","2007-05-10",25.4
"90","2007-05-11",25.719999
"91","2007-05-14",26.07
"92","2007-05-15",26.32
"93","2007-05-16",25.799999
"94","2007-05-17",25.35
"95","2007-05-18",25.35
"96","2007-05-21",25.43
"97","2007-05-22",25.440001
"98","2007-05-23",25.41
"99","2007-05-24",25.209999
"100","2007-05-25",25.389999
"101","2007-05-29",25.42
"102","2007-05-30",25.719999
"103","2007-05-31",25.860001
"104","2007-06-01",26.18
"105","2007-06-04",26.51
"106","2007-06-05",26.450001
"107","2007-06-06",26.309999
"108","2007-06-07",25.860001
