"","date","RPAI"
"1","2012-04-09",9.02
"2","2012-04-10",8.73
"3","2012-04-11",9.05
"4","2012-04-12",9.15
"5","2012-04-13",9
"6","2012-04-16",9.02
"7","2012-04-17",8.99
"8","2012-04-18",9.01
"9","2012-04-19",9.06
"10","2012-04-20",9.16
"11","2012-04-23",9.14
"12","2012-04-24",9.15
"13","2012-04-25",9.15
"14","2012-04-26",9.1
"15","2012-04-27",9.08
"16","2012-04-30",9.05
"17","2012-05-01",9.1
"18","2012-05-02",9.07
"19","2012-05-03",9.05
"20","2012-05-04",8.97
"21","2012-05-07",8.97
"22","2012-05-08",8.98
"23","2012-05-09",8.93
"24","2012-05-10",9.1
"25","2012-05-11",9.09
"26","2012-05-14",9.11
"27","2012-05-15",9.1
"28","2012-05-16",9
"29","2012-05-17",8.79
"30","2012-05-18",8.64
"31","2012-05-21",8.93
"32","2012-05-22",8.88
"33","2012-05-23",8.87
"34","2012-05-24",8.93
"35","2012-05-25",8.91
"36","2012-05-29",9.02
"37","2012-05-30",9.04
"38","2012-05-31",9.15
"39","2012-06-01",8.86
"40","2012-06-04",8.65
"41","2012-06-05",8.89
"42","2012-06-06",9
"43","2012-06-07",8.94
"44","2012-06-08",9.38
"45","2012-06-11",8.88
"46","2012-06-12",9.25
"47","2012-06-13",9.42
"48","2012-06-14",9.44
"49","2012-06-15",9.65
"50","2012-06-18",9.71
"51","2012-06-19",9.68
"52","2012-06-20",9.48
"53","2012-06-21",9.21
"54","2012-06-22",9.26
"55","2012-06-25",9.41
"56","2012-06-26",9.53
"57","2012-06-27",9.64
"58","2012-06-28",9.64
"59","2012-06-29",9.72
"60","2012-07-02",9.65
"61","2012-07-03",9.77
"62","2012-07-05",9.69
"63","2012-07-06",9.67
"64","2012-07-09",9.63
"65","2012-07-10",9.68
"66","2012-07-11",9.71
"67","2012-07-12",9.76
"68","2012-07-13",9.76
"69","2012-07-16",9.73
"70","2012-07-17",9.74
"71","2012-07-18",9.73
"72","2012-07-19",9.71
"73","2012-07-20",9.71
"74","2012-07-23",9.76
"75","2012-07-24",9.77
"76","2012-07-25",9.75
"77","2012-07-26",9.91
"78","2012-07-27",9.85
"79","2012-07-30",10
"80","2012-07-31",9.97
"81","2012-08-01",9.94
"82","2012-08-02",9.96
"83","2012-08-03",10.04
"84","2012-08-06",10.1
"85","2012-08-07",10
"86","2012-08-08",10.22
"87","2012-08-09",10.16
"88","2012-08-10",10.22
"89","2012-08-13",10.24
"90","2012-08-14",10.36
"91","2012-08-15",10.36
"92","2012-08-16",10.38
"93","2012-08-17",10.35
"94","2012-08-20",10.41
"95","2012-08-21",10.46
"96","2012-08-22",10.63
"97","2012-08-23",10.8
"98","2012-08-24",10.96
"99","2012-08-27",11.11
"100","2012-08-28",11.1
"101","2012-08-29",11.11
"102","2012-08-30",11.17
"103","2012-08-31",11.22
"104","2012-09-04",11.2
"105","2012-09-05",11.17
"106","2012-09-06",11.23
"107","2012-09-07",11.46
"108","2012-09-10",11.43
"109","2012-09-11",11.52
"110","2012-09-12",11.45
"111","2012-09-13",11.58
"112","2012-09-14",11.58
"113","2012-09-17",11.63
"114","2012-09-18",11.51
"115","2012-09-19",11.55
"116","2012-09-20",11.53
"117","2012-09-21",11.67
"118","2012-09-24",11.74
"119","2012-09-25",11.58
"120","2012-09-26",11.35
"121","2012-09-27",11.51
"122","2012-09-28",11.32
"123","2012-10-01",11.43
"124","2012-10-02",11.58
"125","2012-10-03",11.78
"126","2012-10-04",11.77
"127","2012-10-05",11.85
"128","2012-10-08",11.7
"129","2012-10-09",11.81
"130","2012-10-10",11.82
"131","2012-10-11",11.9
"132","2012-10-12",11.66
"133","2012-10-15",11.91
"134","2012-10-16",12.02
"135","2012-10-17",12.04
"136","2012-10-18",12.1
"137","2012-10-19",12.19
"138","2012-10-22",12.28
"139","2012-10-23",12.26
"140","2012-10-24",12.52
"141","2012-10-25",12.5
"142","2012-10-26",12.37
"143","2012-10-31",12.24
"144","2012-11-01",12.31
"145","2012-11-02",12.47
"146","2012-11-05",12.54
"147","2012-11-06",12.52
"148","2012-11-07",12.49
"149","2012-11-08",12.35
"150","2012-11-09",12.4
"151","2012-11-12",12.33
"152","2012-11-13",12.38
"153","2012-11-14",12.1
"154","2012-11-15",12.08
"155","2012-11-16",12.2
"156","2012-11-19",12.22
"157","2012-11-20",12.22
"158","2012-11-21",12.35
"159","2012-11-23",12.56
"160","2012-11-26",12.52
"161","2012-11-27",12.33
"162","2012-11-28",12.25
"163","2012-11-29",12.29
"164","2012-11-30",12.28
"165","2012-12-03",11.98
"166","2012-12-04",11.82
"167","2012-12-05",11.83
"168","2012-12-06",11.91
"169","2012-12-07",12.18
"170","2012-12-10",11.95
