"","date","EDNT"
"1","2018-05-03",5.87
"2","2018-05-04",5.72
"3","2018-05-07",5.826
"4","2018-05-08",5.41
"5","2018-05-09",6.3
"6","2018-05-10",6.794
"7","2018-05-11",6.8
"8","2018-05-14",6.65
"9","2018-05-15",6.77
"10","2018-05-16",6.53
"11","2018-05-17",6.52
"12","2018-05-18",6.99
"13","2018-05-21",7.08
"14","2018-05-22",7.75
"15","2018-05-23",7.95
"16","2018-05-24",7.5
"17","2018-05-25",7.33
"18","2018-05-29",7
"19","2018-05-30",6.79
"20","2018-05-31",6.96
"21","2018-06-01",7.1
"22","2018-06-04",6.958
"23","2018-06-05",6.86
"24","2018-06-06",6.79
"25","2018-06-07",6.75
"26","2018-06-08",6.815
"27","2018-06-11",7.46
"28","2018-06-12",7.19
"29","2018-06-13",7.45
"30","2018-06-14",7.15
"31","2018-06-15",7.56
"32","2018-06-18",8.69
"33","2018-06-19",8.03
"34","2018-06-20",8.29
"35","2018-06-21",8.4
"36","2018-06-22",9.408
"37","2018-06-25",8.91
"38","2018-06-26",9.31
"39","2018-06-27",8.37
"40","2018-06-28",7.81
"41","2018-06-29",7.77
"42","2018-07-02",7.97
"43","2018-07-03",7.89
"44","2018-07-05",6.92
"45","2018-07-06",6.82
"46","2018-07-09",6.62
"47","2018-07-10",6.5
"48","2018-07-11",6.524
"49","2018-07-12",6.66
"50","2018-07-13",6.719
"51","2018-07-16",6.35
"52","2018-07-17",6.49
"53","2018-07-18",6.3
"54","2018-07-19",6.4
"55","2018-07-20",6.63
"56","2018-07-23",6.33
"57","2018-07-24",6
"58","2018-07-25",5.75
"59","2018-07-26",6.266
"60","2018-07-27",5.95
"61","2018-07-30",5.85
"62","2018-07-31",5.9
"63","2018-08-01",5.71
"64","2018-08-02",5.8
"65","2018-08-03",5.87
"66","2018-08-06",5.85
"67","2018-08-07",5.71
"68","2018-08-08",5.85
"69","2018-08-09",5.71
"70","2018-08-10",5.75
"71","2018-08-13",5.778
"72","2018-08-14",5.85
"73","2018-08-15",5.45
"74","2018-08-16",5.25
"75","2018-08-17",5.1
"76","2018-08-20",5.05
"77","2018-08-21",5.32
"78","2018-08-22",5.7
"79","2018-08-23",5.665
"80","2018-08-24",6.09
"81","2018-08-27",6.68
"82","2018-08-28",6.41
"83","2018-08-29",6.6
"84","2018-08-30",6.444
"85","2018-08-31",6.44
"86","2018-09-04",6.75
"87","2018-09-05",6.521
"88","2018-09-06",6.65
"89","2018-09-07",6.79
"90","2018-09-10",6.5
"91","2018-09-11",6.5
"92","2018-09-12",6.72
"93","2018-09-13",7.171
"94","2018-09-14",7.06
"95","2018-09-17",7.4
"96","2018-09-18",7.45
"97","2018-09-19",7.3
"98","2018-09-20",7.47
"99","2018-09-21",7.05
"100","2018-09-24",7.17
"101","2018-09-25",7.186
"102","2018-09-26",7.009
"103","2018-09-27",7.023
"104","2018-09-28",7.49
"105","2018-10-01",7.39
"106","2018-10-02",7.45
"107","2018-10-03",7.15
"108","2018-10-04",6.931
"109","2018-10-05",6.967
"110","2018-10-08",7.1
"111","2018-10-09",6.75
"112","2018-10-10",6.209
"113","2018-10-11",6.17
"114","2018-10-12",6.47
"115","2018-10-15",6.44
"116","2018-10-16",6.2
"117","2018-10-17",6.1
"118","2018-10-18",6.182
"119","2018-10-19",6.25
"120","2018-10-22",6.219
"121","2018-10-23",6.12
"122","2018-10-24",6
"123","2018-10-25",6.219
"124","2018-10-26",6.05
"125","2018-10-29",5.99
"126","2018-10-30",6.3
"127","2018-10-31",6.1
"128","2018-11-01",6.1
"129","2018-11-02",5.88
"130","2018-11-05",5.8
"131","2018-11-06",6.08
"132","2018-11-07",6.4
"133","2018-11-08",6.3
"134","2018-11-09",5.74
"135","2018-11-12",6.4
"136","2018-11-13",6.51
"137","2018-11-14",6.43
"138","2018-11-15",6.53
"139","2018-11-16",6.25
"140","2018-11-19",6.5
"141","2018-11-20",6.15
"142","2018-11-21",6.33
"143","2018-11-23",6.01
"144","2018-11-26",6.11
"145","2018-11-27",6.05
"146","2018-11-28",6.05
"147","2018-11-29",5.985
"148","2018-11-30",6
"149","2018-12-03",6.25
"150","2018-12-04",6.23
"151","2018-12-06",6.1
"152","2018-12-07",5.6
"153","2018-12-10",5.31
"154","2018-12-11",5.4
"155","2018-12-12",5.49
"156","2018-12-13",5.57
"157","2018-12-14",5.46
"158","2018-12-17",5.65
"159","2018-12-18",5.91
"160","2018-12-19",5.5
"161","2018-12-20",5.35
"162","2018-12-21",5.02
"163","2018-12-24",5.275
"164","2018-12-26",4.96
"165","2018-12-27",4.99
"166","2018-12-28",4.935
"167","2018-12-31",4.69
"168","2019-01-02",4.85
"169","2019-01-03",5.12
"170","2019-01-04",5.12
"171","2019-01-07",5
"172","2019-01-08",4.9
"173","2019-01-09",4.995
"174","2019-01-10",5.19
"175","2019-01-11",5.18
"176","2019-01-14",4.95
"177","2019-01-15",4.927
"178","2019-01-16",4.85
"179","2019-01-17",4.84
"180","2019-01-18",5.05
"181","2019-01-22",5.05
"182","2019-01-23",4.97
"183","2019-01-24",4.95
"184","2019-01-25",5.1
"185","2019-01-28",4.71
"186","2019-01-29",5
"187","2019-01-30",4.99
"188","2019-01-31",4.97
"189","2019-02-01",4.966
"190","2019-02-04",4.966
"191","2019-02-05",5.05
