"","date","PIC"
"1","2019-09-03",9.79
"2","2019-09-04",9.82
"3","2019-09-05",9.85
"4","2019-09-06",9.85
"5","2019-09-09",9.85
"6","2019-09-10",9.85
"7","2019-09-11",9.87
"8","2019-09-12",9.87
"9","2019-09-13",9.87
"10","2019-09-16",9.87
"11","2019-09-17",9.87
"12","2019-09-18",9.87
"13","2019-09-19",9.87
"14","2019-09-20",9.88
"15","2019-09-23",9.88
"16","2019-09-24",9.88
"17","2019-09-25",9.88
"18","2019-09-26",9.88
"19","2019-09-27",9.88
"20","2019-09-30",9.88
"21","2019-10-01",9.86
"22","2019-10-02",9.86
"23","2019-10-03",9.86
"24","2019-10-04",9.86
"25","2019-10-07",9.86
"26","2019-10-08",9.86
"27","2019-10-09",9.86
"28","2019-10-10",9.86
"29","2019-10-11",9.82
"30","2019-10-14",9.82
"31","2019-10-15",9.83
"32","2019-10-16",9.83
"33","2019-10-17",9.83
"34","2019-10-18",9.838
"35","2019-10-21",9.83
"36","2019-10-22",9.85
"37","2019-10-23",9.85
"38","2019-10-24",9.87
"39","2019-10-25",9.87
"40","2019-10-28",9.87
"41","2019-10-29",9.87
"42","2019-10-30",9.93
"43","2019-10-31",9.93
"44","2019-11-01",9.93
"45","2019-11-04",9.93
"46","2019-11-05",9.93
"47","2019-11-06",9.85
"48","2019-11-07",9.83
"49","2019-11-08",9.85
"50","2019-11-11",9.89
"51","2019-11-12",9.89
"52","2019-11-13",9.89
"53","2019-11-14",9.88
"54","2019-11-15",9.88
"55","2019-11-18",9.9
"56","2019-11-19",9.9
"57","2019-11-20",9.9
"58","2019-11-21",9.9
"59","2019-11-22",9.9
"60","2019-11-25",9.9
"61","2019-11-26",9.9
"62","2019-11-27",9.9
"63","2019-11-29",9.9
"64","2019-12-02",9.9
"65","2019-12-03",9.9
"66","2019-12-04",9.9
"67","2019-12-05",9.9
"68","2019-12-06",9.9
"69","2019-12-09",9.9
"70","2019-12-10",9.85
"71","2019-12-11",9.89
"72","2019-12-12",9.87
"73","2019-12-13",9.87
"74","2019-12-16",9.87
"75","2019-12-17",9.87
"76","2019-12-18",9.9
"77","2019-12-19",9.89
"78","2019-12-20",9.89
"79","2019-12-23",9.85
"80","2019-12-24",9.85
"81","2019-12-26",9.85
"82","2019-12-27",9.85
"83","2019-12-30",9.87
"84","2019-12-31",9.94
"85","2020-01-02",9.94
"86","2020-01-03",10.08
"87","2020-01-06",10.05
"88","2020-01-07",10.05
"89","2020-01-08",10.03
"90","2020-01-09",10.03
"91","2020-01-10",10
"92","2020-01-13",10
"93","2020-01-14",10
"94","2020-01-15",10
"95","2020-01-16",10.01
"96","2020-01-17",10.01
"97","2020-01-21",10
"98","2020-01-22",10
"99","2020-01-23",10
"100","2020-01-24",10.01
"101","2020-01-27",10
"102","2020-01-28",10.01
"103","2020-01-29",10.05
"104","2020-01-30",10.05
"105","2020-01-31",10.03
"106","2020-02-03",10.04
"107","2020-02-04",10.05
"108","2020-02-05",10.05
"109","2020-02-06",10.06
"110","2020-02-07",10.06
"111","2020-02-10",10.06
"112","2020-02-11",10.06
"113","2020-02-12",10.08
"114","2020-02-13",10.08
"115","2020-02-14",10.08
"116","2020-02-18",10.08
"117","2020-02-19",10.05
"118","2020-02-20",10.05
"119","2020-02-21",10.08
"120","2020-02-24",10.05
"121","2020-02-25",10.06
"122","2020-02-26",10.05
"123","2020-02-27",10.05
"124","2020-02-28",10.01
"125","2020-03-02",10.012
"126","2020-03-03",10.012
"127","2020-03-04",10.03
"128","2020-03-05",10.03
"129","2020-03-06",10.03
"130","2020-03-09",9.9
"131","2020-03-10",9.9
"132","2020-03-11",9.9
"133","2020-03-12",9.85
"134","2020-03-13",9.85
"135","2020-03-16",9.6
"136","2020-03-17",9.7
