"","date","FAF"
"1","2010-05-28",14.45
"2","2010-06-01",14.1
"3","2010-06-02",14.48
"4","2010-06-03",13.83
"5","2010-06-04",13.73
"6","2010-06-07",13.57
"7","2010-06-08",13.51
"8","2010-06-09",12.99
"9","2010-06-10",12.31
"10","2010-06-11",13.11
"11","2010-06-14",13.33
"12","2010-06-15",13.21
"13","2010-06-16",13.42
"14","2010-06-17",13.49
"15","2010-06-18",13.48
"16","2010-06-21",13.29
"17","2010-06-22",13.43
"18","2010-06-23",13.39
"19","2010-06-24",13.26
"20","2010-06-25",13.67
"21","2010-06-28",13.38
"22","2010-06-29",12.68
"23","2010-06-30",12.68
"24","2010-07-01",12.65
"25","2010-07-02",12.98
"26","2010-07-06",13.06
"27","2010-07-07",13.57
"28","2010-07-08",13.58
"29","2010-07-09",13.88
"30","2010-07-12",13.84
"31","2010-07-13",14.24
"32","2010-07-14",13.61
"33","2010-07-15",13.5
"34","2010-07-16",12.82
"35","2010-07-19",13.03
"36","2010-07-20",13.59
"37","2010-07-21",13.58
"38","2010-07-22",14.53
"39","2010-07-23",14.79
"40","2010-07-26",14.89
"41","2010-07-27",14.94
"42","2010-07-28",14.82
"43","2010-07-29",14.82
"44","2010-07-30",14.75
"45","2010-08-02",14.88
"46","2010-08-03",14.89
"47","2010-08-04",14.94
"48","2010-08-05",14.83
"49","2010-08-06",14.85
"50","2010-08-09",15.08
"51","2010-08-10",14.43
"52","2010-08-11",13.64
"53","2010-08-12",13.6
"54","2010-08-13",13.57
"55","2010-08-16",14.03
"56","2010-08-17",14.19
"57","2010-08-18",14.16
"58","2010-08-19",13.96
"59","2010-08-20",14.04
"60","2010-08-23",13.89
"61","2010-08-24",13.7
"62","2010-08-25",14.2
"63","2010-08-26",13.66
"64","2010-08-27",14.43
"65","2010-08-30",14.58
"66","2010-08-31",14.83
"67","2010-09-01",15.55
"68","2010-09-02",15.66
"69","2010-09-03",15.54
"70","2010-09-07",14.7
"71","2010-09-08",14.71
"72","2010-09-09",14.62
"73","2010-09-10",14.47
"74","2010-09-13",15
"75","2010-09-14",14.8
"76","2010-09-15",15.06
"77","2010-09-16",14.78
"78","2010-09-17",14.43
"79","2010-09-20",14.75
"80","2010-09-21",14.57
"81","2010-09-22",14.63
"82","2010-09-23",14.45
"83","2010-09-24",14.85
"84","2010-09-27",14.76
"85","2010-09-28",15.08
"86","2010-09-29",14.78
"87","2010-09-30",14.94
"88","2010-10-01",14.48
"89","2010-10-04",13.95
"90","2010-10-05",13.9
"91","2010-10-06",14.15
"92","2010-10-07",14.17
"93","2010-10-08",14.12
"94","2010-10-11",14.21
"95","2010-10-12",14.55
"96","2010-10-13",14.91
"97","2010-10-14",14.61
"98","2010-10-15",14.46
"99","2010-10-18",14.73
"100","2010-10-19",14.49
"101","2010-10-20",14.97
"102","2010-10-21",14.34
"103","2010-10-22",14.27
"104","2010-10-25",14.58
"105","2010-10-26",14.41
"106","2010-10-27",14.17
"107","2010-10-28",13.92
"108","2010-10-29",14.04
"109","2010-11-01",14.24
"110","2010-11-02",14.44
"111","2010-11-03",14.32
"112","2010-11-04",14.54
"113","2010-11-05",14.6
"114","2010-11-08",14.35
"115","2010-11-09",13.99
"116","2010-11-10",14.25
"117","2010-11-11",14.17
"118","2010-11-12",14.1
"119","2010-11-15",13.9
"120","2010-11-16",13.62
"121","2010-11-17",13.75
"122","2010-11-18",14.23
"123","2010-11-19",14.25
"124","2010-11-22",13.94
"125","2010-11-23",13.7
"126","2010-11-24",14.33
"127","2010-11-26",14.28
"128","2010-11-29",14.31
"129","2010-11-30",14.17
"130","2010-12-01",14.92
"131","2010-12-02",15
