"","date","DMYD"
"1","2020-10-05",10
"2","2020-10-06",9.9
"3","2020-10-07",9.92
"4","2020-10-08",9.92
"5","2020-10-09",9.895
"6","2020-10-12",9.86
"7","2020-10-13",9.9
"8","2020-10-14",9.87
"9","2020-10-15",9.85
"10","2020-10-16",9.88
"11","2020-10-19",9.945
"12","2020-10-20",9.97
"13","2020-10-21",10.14
"14","2020-10-22",10.08
"15","2020-10-23",10.03
"16","2020-10-26",10
"17","2020-10-27",10.26
"18","2020-10-28",10.27
"19","2020-10-29",10.1
"20","2020-10-30",10.05
"21","2020-11-02",10.11
"22","2020-11-03",10.1
"23","2020-11-04",10.09
"24","2020-11-05",10.25
"25","2020-11-06",10.36
"26","2020-11-09",10.3
"27","2020-11-10",10.2
"28","2020-11-11",10.17
"29","2020-11-12",10.11
"30","2020-11-13",10.11
"31","2020-11-16",10.15
"32","2020-11-17",10.21
"33","2020-11-18",10.28
"34","2020-11-19",10.2
"35","2020-11-20",10.48
"36","2020-11-23",10.5
"37","2020-11-24",10.49
"38","2020-11-25",10.9
"39","2020-11-27",11.01
