"","date","AAOI"
"1","2013-09-26",9.96
"2","2013-09-27",10.1
"3","2013-09-30",10
"4","2013-10-01",10
"5","2013-10-02",9.97
"6","2013-10-03",10
"7","2013-10-04",10.2
"8","2013-10-07",10.18
"9","2013-10-08",10.12
"10","2013-10-09",10.15
"11","2013-10-10",10.2
"12","2013-10-11",10.18
"13","2013-10-14",10
"14","2013-10-15",10.18
"15","2013-10-16",10.25
"16","2013-10-17",10.44
"17","2013-10-18",11.01
"18","2013-10-21",12.9
"19","2013-10-22",13.13
"20","2013-10-23",13.11
"21","2013-10-24",12.61
"22","2013-10-25",12.36
"23","2013-10-28",11.87
"24","2013-10-29",13.06
"25","2013-10-30",12.55
"26","2013-10-31",12.68
"27","2013-11-01",12.76
"28","2013-11-04",13
"29","2013-11-05",13
"30","2013-11-06",13.12
"31","2013-11-07",13
"32","2013-11-08",12.8
"33","2013-11-11",12.9
"34","2013-11-12",13
"35","2013-11-13",12.62
"36","2013-11-14",12.39
"37","2013-11-15",12.66
"38","2013-11-18",12.21
"39","2013-11-19",12.43
"40","2013-11-20",12.5
"41","2013-11-21",12.56
"42","2013-11-22",12.57
"43","2013-11-25",12.57
"44","2013-11-26",12.63
"45","2013-11-27",12.96
"46","2013-11-29",13.19
"47","2013-12-02",12.58
"48","2013-12-03",12.31
"49","2013-12-04",12.89
"50","2013-12-05",13.12
"51","2013-12-06",14.37
"52","2013-12-09",14.88
"53","2013-12-10",15.59
"54","2013-12-11",15.81
"55","2013-12-12",15.14
"56","2013-12-13",14.78
"57","2013-12-16",15.48
"58","2013-12-17",15.14
"59","2013-12-18",15.2
"60","2013-12-19",15.39
"61","2013-12-20",14.8
"62","2013-12-23",14.93
"63","2013-12-24",15.02
"64","2013-12-26",14.97
"65","2013-12-27",14.89
"66","2013-12-30",14.98
"67","2013-12-31",15.01
"68","2014-01-02",14.63
"69","2014-01-03",14.35
"70","2014-01-06",14.33
"71","2014-01-07",14.74
"72","2014-01-08",14.66
"73","2014-01-09",14.16
"74","2014-01-10",14
"75","2014-01-13",13.7
"76","2014-01-14",13.88
"77","2014-01-15",13.97
"78","2014-01-16",14.29
"79","2014-01-17",14.42
"80","2014-01-21",14.15
"81","2014-01-22",14.15
"82","2014-01-23",13.73
"83","2014-01-24",13.39
"84","2014-01-27",13.72
"85","2014-01-28",13.84
"86","2014-01-29",13.61
"87","2014-01-30",14
"88","2014-01-31",13.63
"89","2014-02-03",13.61
"90","2014-02-04",13.68
"91","2014-02-05",13.14
"92","2014-02-06",13.16
"93","2014-02-07",13.07
"94","2014-02-10",13.12
"95","2014-02-11",12.79
"96","2014-02-12",12.52
"97","2014-02-13",12.54
"98","2014-02-14",14
"99","2014-02-18",13.66
"100","2014-02-19",15.02
"101","2014-02-20",17.98
"102","2014-02-21",20.67
"103","2014-02-24",20.1
"104","2014-02-25",20
"105","2014-02-26",19.790001
"106","2014-02-27",19.200001
"107","2014-02-28",23.66
"108","2014-03-03",25.110001
"109","2014-03-04",24.639999
"110","2014-03-05",25.15
"111","2014-03-06",26.360001
"112","2014-03-07",25.290001
"113","2014-03-10",27.42
"114","2014-03-11",26.32
"115","2014-03-12",26.459999
"116","2014-03-13",26.200001
"117","2014-03-14",25.4
"118","2014-03-17",25.75
"119","2014-03-18",25.51
"120","2014-03-19",26.34
"121","2014-03-20",25.700001
"122","2014-03-21",25.469999
"123","2014-03-24",25.809999
"124","2014-03-25",25.43
"125","2014-03-26",24.27
"126","2014-03-27",24.950001
"127","2014-03-28",24.959999
"128","2014-03-31",24.67
"129","2014-04-01",24.360001
"130","2014-04-02",24.290001
"131","2014-04-03",23.559999
"132","2014-04-04",22.379999
"133","2014-04-07",20.99
"134","2014-04-08",21.99
"135","2014-04-09",23.299999
"136","2014-04-10",21.790001
"137","2014-04-11",20.73
"138","2014-04-14",21.530001
"139","2014-04-15",21.51
"140","2014-04-16",22.700001
"141","2014-04-17",23.610001
"142","2014-04-21",23.389999
"143","2014-04-22",23.85
"144","2014-04-23",23.629999
"145","2014-04-24",23.51
"146","2014-04-25",23.549999
"147","2014-04-28",22.68
"148","2014-04-29",22.84
"149","2014-04-30",22.5
"150","2014-05-01",21.969999
"151","2014-05-02",21.809999
"152","2014-05-05",21.450001
"153","2014-05-06",20.9
"154","2014-05-07",20
"155","2014-05-08",19
"156","2014-05-09",17.57
"157","2014-05-12",17.440001
"158","2014-05-13",17.26
"159","2014-05-14",17.219999
"160","2014-05-15",18.15
"161","2014-05-16",18.15
"162","2014-05-19",19.280001
"163","2014-05-20",18.15
"164","2014-05-21",18.35
"165","2014-05-22",18.66
"166","2014-05-23",18.76
"167","2014-05-27",19.1
"168","2014-05-28",20.389999
"169","2014-05-29",21.629999
"170","2014-05-30",21.41
"171","2014-06-02",20.5
"172","2014-06-03",20.129999
"173","2014-06-04",20.34
"174","2014-06-05",20.9
"175","2014-06-06",21.120001
"176","2014-06-09",21.389999
"177","2014-06-10",22.280001
"178","2014-06-11",22.33
"179","2014-06-12",22.299999
"180","2014-06-13",21.860001
"181","2014-06-16",22.709999
"182","2014-06-17",21.780001
"183","2014-06-18",23.040001
"184","2014-06-19",23.15
"185","2014-06-20",23.58
"186","2014-06-23",23.059999
"187","2014-06-24",23.459999
"188","2014-06-25",23.25
"189","2014-06-26",22.68
"190","2014-06-27",22.92
"191","2014-06-30",23.200001
"192","2014-07-01",23.34
"193","2014-07-02",23.200001
"194","2014-07-03",23.25
"195","2014-07-07",22.24
"196","2014-07-08",22.450001
"197","2014-07-09",22.969999
"198","2014-07-10",22.690001
"199","2014-07-11",23.379999
"200","2014-07-14",22.969999
"201","2014-07-15",23.360001
"202","2014-07-16",22.51
"203","2014-07-17",21.459999
"204","2014-07-18",21.540001
"205","2014-07-21",22.32
"206","2014-07-22",22.73
"207","2014-07-23",21.35
"208","2014-07-24",21.299999
"209","2014-07-25",20.42
"210","2014-07-28",20.309999
"211","2014-07-29",19.16
"212","2014-07-30",19
"213","2014-07-31",18
"214","2014-08-01",18.120001
"215","2014-08-04",19.23
"216","2014-08-05",19.16
"217","2014-08-06",19.540001
"218","2014-08-07",19.049999
"219","2014-08-08",18.200001
"220","2014-08-11",18.25
"221","2014-08-12",16.98
"222","2014-08-13",18.01
"223","2014-08-14",18.030001
"224","2014-08-15",18.42
"225","2014-08-18",18.889999
"226","2014-08-19",19.540001
"227","2014-08-20",19.559999
"228","2014-08-21",19.57
"229","2014-08-22",19.23
"230","2014-08-25",19.42
"231","2014-08-26",19.58
"232","2014-08-27",21.200001
"233","2014-08-28",21.67
"234","2014-08-29",21.24
"235","2014-09-02",20.51
"236","2014-09-03",19.67
"237","2014-09-04",20.49
"238","2014-09-05",20.299999
"239","2014-09-08",20.02
"240","2014-09-09",19.1
"241","2014-09-10",19.209999
"242","2014-09-11",18.99
"243","2014-09-12",18.9
"244","2014-09-15",17.879999
"245","2014-09-16",17.870001
"246","2014-09-17",18.07
"247","2014-09-18",18.51
"248","2014-09-19",18.08
"249","2014-09-22",17.1
"250","2014-09-23",17.1
"251","2014-09-24",17.77
"252","2014-09-25",16.959999
"253","2014-09-26",16.809999
"254","2014-09-29",16.629999
"255","2014-09-30",16.1
"256","2014-10-01",15.21
"257","2014-10-02",15.19
"258","2014-10-03",15.79
"259","2014-10-06",14.67
"260","2014-10-07",14.52
"261","2014-10-08",14.7
"262","2014-10-09",14
"263","2014-10-10",13.07
"264","2014-10-13",12.13
"265","2014-10-14",13.4
"266","2014-10-15",13.41
"267","2014-10-16",15.1
"268","2014-10-17",14.86
"269","2014-10-20",14.89
"270","2014-10-21",14.91
"271","2014-10-22",14.73
"272","2014-10-23",14.81
"273","2014-10-24",15.22
"274","2014-10-27",15.06
"275","2014-10-28",15.34
"276","2014-10-29",15.38
"277","2014-10-30",15.25
"278","2014-10-31",16.139999
"279","2014-11-03",16.200001
"280","2014-11-04",15.86
"281","2014-11-05",15.85
"282","2014-11-06",15.95
"283","2014-11-07",15.73
"284","2014-11-10",15.68
"285","2014-11-11",11.74
"286","2014-11-12",12.32
"287","2014-11-13",12.1
"288","2014-11-14",12.17
"289","2014-11-17",11.88
"290","2014-11-18",12.61
"291","2014-11-19",12.33
"292","2014-11-20",12.61
"293","2014-11-21",12.49
"294","2014-11-24",12.34
"295","2014-11-25",11.94
"296","2014-11-26",11.62
"297","2014-11-28",10.85
"298","2014-12-01",10.27
"299","2014-12-02",10
"300","2014-12-03",10.15
"301","2014-12-04",9.99
"302","2014-12-05",10.14
"303","2014-12-08",9.78
"304","2014-12-09",10.25
"305","2014-12-10",9.77
"306","2014-12-11",9.94
"307","2014-12-12",9.64
"308","2014-12-15",9.48
"309","2014-12-16",9.78
"310","2014-12-17",10.11
"311","2014-12-18",10.71
"312","2014-12-19",10.64
"313","2014-12-22",10.43
"314","2014-12-23",10.8
"315","2014-12-24",10.75
"316","2014-12-26",10.63
"317","2014-12-29",10.94
"318","2014-12-30",11.01
"319","2014-12-31",11.22
"320","2015-01-02",10.79
"321","2015-01-05",10.65
"322","2015-01-06",10.25
"323","2015-01-07",9.85
"324","2015-01-08",9.96
"325","2015-01-09",10.11
"326","2015-01-12",9.7
"327","2015-01-13",9.25
"328","2015-01-14",8.8
"329","2015-01-15",8.38
"330","2015-01-16",8.59
"331","2015-01-20",8.6
"332","2015-01-21",8.74
"333","2015-01-22",8.98
"334","2015-01-23",9.21
"335","2015-01-26",9.25
"336","2015-01-27",9.41
"337","2015-01-28",9.08
"338","2015-01-29",9.2
"339","2015-01-30",8.94
"340","2015-02-02",8.71
"341","2015-02-03",9.02
"342","2015-02-04",9.15
"343","2015-02-05",9.37
"344","2015-02-06",9.6
"345","2015-02-09",9.85
"346","2015-02-10",10.2
"347","2015-02-11",10.21
"348","2015-02-12",10.2
"349","2015-02-13",10.15
"350","2015-02-17",10.25
"351","2015-02-18",10.17
"352","2015-02-19",10.21
"353","2015-02-20",10.22
"354","2015-02-23",10.06
"355","2015-02-24",10.35
"356","2015-02-25",10.51
"357","2015-02-26",11.82
"358","2015-02-27",12.48
"359","2015-03-02",13.27
"360","2015-03-03",13.02
"361","2015-03-04",12.88
"362","2015-03-05",12.74
"363","2015-03-06",12.41
"364","2015-03-09",12
"365","2015-03-10",12.12
"366","2015-03-11",12.34
"367","2015-03-12",12.95
"368","2015-03-13",12.98
"369","2015-03-16",12.73
"370","2015-03-17",12.85
"371","2015-03-18",13.27
"372","2015-03-19",13.78
"373","2015-03-20",13.8
"374","2015-03-23",13.95
"375","2015-03-24",14.08
"376","2015-03-25",13.71
"377","2015-03-26",13.32
"378","2015-03-27",13.19
"379","2015-03-30",13.89
"380","2015-03-31",13.88
"381","2015-04-01",13.43
"382","2015-04-02",13.46
"383","2015-04-06",13.69
"384","2015-04-07",13.19
"385","2015-04-08",13.28
"386","2015-04-09",13.7
"387","2015-04-10",13.45
"388","2015-04-13",13.19
"389","2015-04-14",13.02
"390","2015-04-15",13.61
