"","date","DGII"
"1","2007-01-03",13.84
"2","2007-01-04",13.77
"3","2007-01-05",13.42
"4","2007-01-08",13.29
"5","2007-01-09",13.19
"6","2007-01-10",13.28
"7","2007-01-11",13.36
"8","2007-01-12",13.59
"9","2007-01-16",13.19
"10","2007-01-17",13.2
"11","2007-01-18",12.84
"12","2007-01-19",12.05
"13","2007-01-22",12.51
"14","2007-01-23",12.46
"15","2007-01-24",12.76
"16","2007-01-25",12.46
"17","2007-01-26",12.48
"18","2007-01-29",12.71
"19","2007-01-30",12.71
"20","2007-01-31",12.42
"21","2007-02-01",12.87
"22","2007-02-02",12.8
"23","2007-02-05",12.53
"24","2007-02-06",12.67
"25","2007-02-07",12.74
"26","2007-02-08",12.65
"27","2007-02-09",12.56
"28","2007-02-12",12.41
"29","2007-02-13",12.54
"30","2007-02-14",12.48
"31","2007-02-15",12.48
"32","2007-02-16",12.69
"33","2007-02-20",12.58
"34","2007-02-21",12.71
"35","2007-02-22",12.87
"36","2007-02-23",13.26
"37","2007-02-26",13.52
"38","2007-02-27",13.3
"39","2007-02-28",13.37
"40","2007-03-01",12.91
"41","2007-03-02",12.12
"42","2007-03-05",12.01
"43","2007-03-06",12.47
"44","2007-03-07",12.14
"45","2007-03-08",12.08
"46","2007-03-09",11.99
"47","2007-03-12",12
"48","2007-03-13",11.57
"49","2007-03-14",11.9
"50","2007-03-15",11.8
"51","2007-03-16",11.74
"52","2007-03-19",11.87
"53","2007-03-20",12.05
"54","2007-03-21",12.42
"55","2007-03-22",12.27
"56","2007-03-23",12.11
"57","2007-03-26",12.41
"58","2007-03-27",12.06
"59","2007-03-28",12.25
"60","2007-03-29",12.26
"61","2007-03-30",12.7
"62","2007-04-02",12.56
"63","2007-04-03",12.56
"64","2007-04-04",12.19
"65","2007-04-05",12.33
"66","2007-04-09",12.75
"67","2007-04-10",13.01
"68","2007-04-11",13
"69","2007-04-12",13.22
"70","2007-04-13",13.13
"71","2007-04-16",13.31
"72","2007-04-17",13.06
"73","2007-04-18",13.05
"74","2007-04-19",12.81
"75","2007-04-20",13.05
"76","2007-04-23",13.08
"77","2007-04-24",12.94
"78","2007-04-25",12.95
"79","2007-04-26",13.07
"80","2007-04-27",13.05
"81","2007-04-30",12.75
"82","2007-05-01",13.13
"83","2007-05-02",13.33
"84","2007-05-03",13.25
"85","2007-05-04",13.1
"86","2007-05-07",13.02
"87","2007-05-08",12.98
"88","2007-05-09",13.25
"89","2007-05-10",13.14
"90","2007-05-11",13.39
"91","2007-05-14",13.23
"92","2007-05-15",13.4
"93","2007-05-16",13.6
"94","2007-05-17",13.17
"95","2007-05-18",13.11
"96","2007-05-21",13.81
"97","2007-05-22",14.28
"98","2007-05-23",14.12
"99","2007-05-24",13.4
"100","2007-05-25",13.82
"101","2007-05-29",13.99
"102","2007-05-30",13.88
"103","2007-05-31",14.05
"104","2007-06-01",13.98
"105","2007-06-04",13.78
"106","2007-06-05",14.13
"107","2007-06-06",14.05
"108","2007-06-07",14
"109","2007-06-08",14.04
"110","2007-06-11",14.23
"111","2007-06-12",14.07
"112","2007-06-13",14.29
"113","2007-06-14",14.38
"114","2007-06-15",14.49
"115","2007-06-18",14.46
"116","2007-06-19",14.52
"117","2007-06-20",14.75
"118","2007-06-21",15.11
"119","2007-06-22",15.38
"120","2007-06-25",15
"121","2007-06-26",14.98
"122","2007-06-27",15
"123","2007-06-28",14.96
"124","2007-06-29",14.74
"125","2007-07-02",15.35
"126","2007-07-03",14.87
"127","2007-07-05",15
"128","2007-07-06",14.93
"129","2007-07-09",14.97
"130","2007-07-10",14.65
"131","2007-07-11",14.5
"132","2007-07-12",15.06
"133","2007-07-13",14.79
"134","2007-07-16",14.76
"135","2007-07-17",14.96
"136","2007-07-18",14.8
"137","2007-07-19",14.97
"138","2007-07-20",14.73
"139","2007-07-23",14.76
"140","2007-07-24",15.48
"141","2007-07-25",15.62
"142","2007-07-26",14.48
"143","2007-07-27",14.1
"144","2007-07-30",14.58
"145","2007-07-31",14.28
"146","2007-08-01",14.27
"147","2007-08-02",15.12
"148","2007-08-03",14.38
"149","2007-08-06",14.74
"150","2007-08-07",15.49
"151","2007-08-08",16.639999
"152","2007-08-09",15.92
"153","2007-08-10",15.32
"154","2007-08-13",14.97
"155","2007-08-14",14.65
"156","2007-08-15",14.6
"157","2007-08-16",15.26
"158","2007-08-17",14.48
"159","2007-08-20",14.61
"160","2007-08-21",14.68
"161","2007-08-22",14.75
"162","2007-08-23",14.51
"163","2007-08-24",14.63
"164","2007-08-27",14.42
"165","2007-08-28",14.18
"166","2007-08-29",14.29
"167","2007-08-30",13.99
"168","2007-08-31",14.15
"169","2007-09-04",14.18
"170","2007-09-05",14.09
"171","2007-09-06",13.92
"172","2007-09-07",13.72
"173","2007-09-10",13.59
"174","2007-09-11",13.89
"175","2007-09-12",13.75
"176","2007-09-13",13.48
"177","2007-09-14",13.34
"178","2007-09-17",13.29
"179","2007-09-18",14.32
"180","2007-09-19",14.55
"181","2007-09-20",14.19
"182","2007-09-21",14.5
"183","2007-09-24",14.19
"184","2007-09-25",14.07
"185","2007-09-26",14.15
"186","2007-09-27",14.42
"187","2007-09-28",14.24
"188","2007-10-01",14.92
"189","2007-10-02",15.14
"190","2007-10-03",14.39
"191","2007-10-04",14.91
"192","2007-10-05",15.35
"193","2007-10-08",15.15
"194","2007-10-09",15.31
"195","2007-10-10",14.98
"196","2007-10-11",14.43
"197","2007-10-12",14.89
"198","2007-10-15",14.35
"199","2007-10-16",14.24
"200","2007-10-17",14.13
"201","2007-10-18",14.25
"202","2007-10-19",13.54
"203","2007-10-22",14.13
"204","2007-10-23",14.48
"205","2007-10-24",14.38
"206","2007-10-25",14.91
"207","2007-10-26",15.53
"208","2007-10-29",15.75
"209","2007-10-30",16.32
"210","2007-10-31",16.040001
"211","2007-11-01",15.65
"212","2007-11-02",16.530001
"213","2007-11-05",16.75
"214","2007-11-06",17.129999
"215","2007-11-07",16.52
"216","2007-11-08",16.809999
"217","2007-11-09",16.309999
"218","2007-11-12",15.55
"219","2007-11-13",15.99
"220","2007-11-14",15.78
"221","2007-11-15",15.98
"222","2007-11-16",15.75
"223","2007-11-19",15.74
"224","2007-11-20",16
"225","2007-11-21",15.51
"226","2007-11-23",15.47
"227","2007-11-26",14.53
"228","2007-11-27",15.23
"229","2007-11-28",15.88
"230","2007-11-29",15.58
"231","2007-11-30",15.38
"232","2007-12-03",15.4
"233","2007-12-04",15.21
"234","2007-12-05",15.85
"235","2007-12-06",15.5
"236","2007-12-07",15.5
"237","2007-12-10",15.48
"238","2007-12-11",14.88
"239","2007-12-12",15.05
"240","2007-12-13",15.17
"241","2007-12-14",14.62
"242","2007-12-17",14.29
"243","2007-12-18",14.56
"244","2007-12-19",14.68
"245","2007-12-20",15.04
"246","2007-12-21",15.38
"247","2007-12-24",15.45
"248","2007-12-26",15.43
"249","2007-12-27",14.79
"250","2007-12-28",14.62
"251","2007-12-31",14.19
"252","2008-01-02",14.01
"253","2008-01-03",14.24
"254","2008-01-04",13.17
"255","2008-01-07",13.63
"256","2008-01-08",13.38
"257","2008-01-09",14.04
"258","2008-01-10",14.01
"259","2008-01-11",12.88
"260","2008-01-14",13.51
"261","2008-01-15",13.19
"262","2008-01-16",13.33
"263","2008-01-17",13.04
"264","2008-01-18",13.07
"265","2008-01-22",13.49
"266","2008-01-23",13.51
"267","2008-01-24",11.61
"268","2008-01-25",12.06
"269","2008-01-28",12.05
"270","2008-01-29",11.79
"271","2008-01-30",11.71
"272","2008-01-31",11.71
"273","2008-02-01",11.97
"274","2008-02-04",11.72
"275","2008-02-05",11.47
"276","2008-02-06",11.5
"277","2008-02-07",11.67
"278","2008-02-08",11.6
"279","2008-02-11",11.46
"280","2008-02-12",11.7
"281","2008-02-13",12.17
"282","2008-02-14",11.4
"283","2008-02-15",11.09
"284","2008-02-19",11.09
"285","2008-02-20",11.23
"286","2008-02-21",11.01
"287","2008-02-22",10.81
"288","2008-02-25",10.98
"289","2008-02-26",10.88
"290","2008-02-27",10.68
"291","2008-02-28",10.67
"292","2008-02-29",10.53
"293","2008-03-03",10.51
"294","2008-03-04",10.57
"295","2008-03-05",10.71
"296","2008-03-06",10.39
"297","2008-03-07",10.25
"298","2008-03-10",10.25
"299","2008-03-11",10.82
"300","2008-03-12",10.97
"301","2008-03-13",11.03
"302","2008-03-14",10.68
"303","2008-03-17",10.75
"304","2008-03-18",13.01
"305","2008-03-19",11.38
"306","2008-03-20",11.66
"307","2008-03-24",11.9
"308","2008-03-25",11.82
"309","2008-03-26",11.75
"310","2008-03-27",11.68
"311","2008-03-28",11.52
"312","2008-03-31",11.54
"313","2008-04-01",12.22
"314","2008-04-02",12.63
"315","2008-04-03",12.57
"316","2008-04-04",12.55
"317","2008-04-07",12.49
"318","2008-04-08",11.88
"319","2008-04-09",11.3
"320","2008-04-10",11.61
"321","2008-04-11",11.16
"322","2008-04-14",11.02
"323","2008-04-15",11.1
"324","2008-04-16",11.58
"325","2008-04-17",11.36
"326","2008-04-18",11.79
"327","2008-04-21",11.72
"328","2008-04-22",11.3
"329","2008-04-23",11.35
"330","2008-04-24",11.11
"331","2008-04-25",10.74
"332","2008-04-28",10.25
"333","2008-04-29",8.38
"334","2008-04-30",8.24
"335","2008-05-01",8.11
"336","2008-05-02",7.82
"337","2008-05-05",8.3
"338","2008-05-06",8.43
"339","2008-05-07",8.56
"340","2008-05-08",8.51
"341","2008-05-09",8.33
"342","2008-05-12",8.77
"343","2008-05-13",8.79
"344","2008-05-14",8.76
"345","2008-05-15",8.78
"346","2008-05-16",8.82
"347","2008-05-19",8.86
"348","2008-05-20",8.8
"349","2008-05-21",8.42
"350","2008-05-22",8.58
"351","2008-05-23",8.57
"352","2008-05-27",8.86
"353","2008-05-28",8.87
"354","2008-05-29",8.84
"355","2008-05-30",9.02
"356","2008-06-02",8.79
"357","2008-06-03",8.68
"358","2008-06-04",8.95
"359","2008-06-05",9.03
"360","2008-06-06",8.64
"361","2008-06-09",8.67
"362","2008-06-10",8.49
"363","2008-06-11",8.35
"364","2008-06-12",8.69
"365","2008-06-13",8.75
"366","2008-06-16",8.75
"367","2008-06-17",8.57
"368","2008-06-18",8.6
"369","2008-06-19",8.71
"370","2008-06-20",8.49
"371","2008-06-23",8.29
"372","2008-06-24",8.08
"373","2008-06-25",8.41
"374","2008-06-26",8.1
"375","2008-06-27",7.93
"376","2008-06-30",7.85
"377","2008-07-01",8.12
"378","2008-07-02",7.99
"379","2008-07-03",7.9
"380","2008-07-07",7.72
"381","2008-07-08",8.04
"382","2008-07-09",7.76
"383","2008-07-10",8.22
"384","2008-07-11",8.6
"385","2008-07-14",8.61
"386","2008-07-15",8.06
"387","2008-07-16",8.41
"388","2008-07-17",8.55
"389","2008-07-18",8.24
"390","2008-07-21",8.23
"391","2008-07-22",8.3
"392","2008-07-23",8.62
"393","2008-07-24",10.06
"394","2008-07-25",9.81
"395","2008-07-28",9.91
"396","2008-07-29",10.26
"397","2008-07-30",10.37
"398","2008-07-31",10.12
"399","2008-08-01",10.38
"400","2008-08-04",10.5
"401","2008-08-05",10.6
"402","2008-08-06",10.92
"403","2008-08-07",10.51
"404","2008-08-08",11.03
"405","2008-08-11",11.42
"406","2008-08-12",11.05
"407","2008-08-13",11.17
"408","2008-08-14",11.03
"409","2008-08-15",11.03
"410","2008-08-18",10.61
"411","2008-08-19",10.52
"412","2008-08-20",10.66
"413","2008-08-21",10.94
"414","2008-08-22",11.38
"415","2008-08-25",10.9
"416","2008-08-26",11.45
"417","2008-08-27",11.54
"418","2008-08-28",11.89
"419","2008-08-29",11.81
"420","2008-09-02",11.83
"421","2008-09-03",11.93
"422","2008-09-04",11.66
"423","2008-09-05",11.44
"424","2008-09-08",11.87
"425","2008-09-09",11.44
"426","2008-09-10",11.82
"427","2008-09-11",11.79
"428","2008-09-12",11.81
"429","2008-09-15",11.38
"430","2008-09-16",11.85
"431","2008-09-17",10.63
"432","2008-09-18",12.69
"433","2008-09-19",11.96
"434","2008-09-22",10.87
"435","2008-09-23",11
"436","2008-09-24",10.12
"437","2008-09-25",10.52
"438","2008-09-26",10.88
"439","2008-09-29",10.02
"440","2008-09-30",10.2
"441","2008-10-01",10.24
