"","date","NDRA"
"1","2017-06-30",3.9
"2","2017-07-03",3.9
"3","2017-07-05",3.6
"4","2017-07-06",3.59
"5","2017-07-07",3.59
"6","2017-07-10",3.4
"7","2017-07-11",3.71
"8","2017-07-12",3.8
"9","2017-07-13",3.8
"10","2017-07-14",3.8
"11","2017-07-17",3.75
"12","2017-07-18",3.75
"13","2017-07-19",3.59
"14","2017-07-20",3.4
"15","2017-07-21",3.49
"16","2017-07-24",3.49
"17","2017-07-25",3.49
"18","2017-07-26",3.49
"19","2017-07-27",3.4
"20","2017-07-28",3.4
"21","2017-07-31",3.4
"22","2017-08-01",3.102
"23","2017-08-02",3.2
"24","2017-08-03",2.97
"25","2017-08-04",3.41
"26","2017-08-07",3.41
"27","2017-08-08",3.03
"28","2017-08-09",3.085
"29","2017-08-10",3.05
"30","2017-08-11",3.3
"31","2017-08-14",3.3
"32","2017-08-15",3.3
"33","2017-08-16",3.08
"34","2017-08-17",3.24
"35","2017-08-18",3.24
"36","2017-08-21",3.25
"37","2017-08-22",3.26
"38","2017-08-23",3.25
"39","2017-08-24",3.26
"40","2017-08-25",3.26
"41","2017-08-28",3.33
"42","2017-08-29",3.33
"43","2017-08-30",3.33
"44","2017-08-31",3.25
"45","2017-09-01",3.25
"46","2017-09-05",3.25
"47","2017-09-06",3.25
"48","2017-09-07",3
"49","2017-09-08",3.212
"50","2017-09-11",2.773
"51","2017-09-12",2.77
"52","2017-09-13",2.6
"53","2017-09-14",3
"54","2017-09-15",3.1
"55","2017-09-18",3.01
"56","2017-09-19",3.01
"57","2017-09-20",3.834
"58","2017-09-21",3.4
"59","2017-09-22",3.237
"60","2017-09-25",3.23
"61","2017-09-26",3.15
"62","2017-09-27",3.2
"63","2017-09-28",3.15
"64","2017-09-29",3.18
"65","2017-10-02",3.1
"66","2017-10-03",3.156
"67","2017-10-04",3.06
"68","2017-10-05",3.311
"69","2017-10-06",3.311
"70","2017-10-09",3.311
"71","2017-10-10",3.05
"72","2017-10-11",3.05
"73","2017-10-12",3.05
"74","2017-10-13",3.1
