"","date","SGC"
"1","2007-01-03",6.35
"2","2007-01-04",6.25
"3","2007-01-05",6.35
"4","2007-01-08",6.35
"5","2007-01-09",6.35
"6","2007-01-10",6.305
"7","2007-01-11",6.225
"8","2007-01-12",6.25
"9","2007-01-16",6.4
"10","2007-01-17",6.4
"11","2007-01-18",6.45
"12","2007-01-19",6.51
"13","2007-01-22",6.75
"14","2007-01-23",6.75
"15","2007-01-24",6.7
"16","2007-01-25",6.67
"17","2007-01-26",6.625
"18","2007-01-29",6.46
"19","2007-01-30",6.46
"20","2007-01-31",6.575
"21","2007-02-01",6.515
"22","2007-02-02",6.37
"23","2007-02-05",6.425
"24","2007-02-06",6.39
"25","2007-02-07",6.37
"26","2007-02-08",6.37
"27","2007-02-09",6.34
"28","2007-02-12",6.365
"29","2007-02-13",6.325
"30","2007-02-14",6.5
"31","2007-02-15",6.445
"32","2007-02-16",6.45
"33","2007-02-20",6.295
"34","2007-02-21",6.3
"35","2007-02-22",6.295
"36","2007-02-23",6.3
"37","2007-02-26",6.38
"38","2007-02-27",6.385
"39","2007-02-28",6.395
"40","2007-03-01",6.375
"41","2007-03-02",6.35
"42","2007-03-05",6.325
"43","2007-03-06",6.395
"44","2007-03-07",6.415
"45","2007-03-08",6.385
"46","2007-03-09",6.525
"47","2007-03-12",6.475
"48","2007-03-13",6.4
"49","2007-03-14",6.355
"50","2007-03-15",6.375
"51","2007-03-16",6.4
"52","2007-03-19",6.415
"53","2007-03-20",6.405
"54","2007-03-21",6.425
"55","2007-03-22",6.475
"56","2007-03-23",6.445
"57","2007-03-26",6.425
"58","2007-03-27",6.445
"59","2007-03-28",6.42
"60","2007-03-29",6.42
"61","2007-03-30",6.41
"62","2007-04-02",6.445
"63","2007-04-03",6.42
"64","2007-04-04",6.4
"65","2007-04-05",6.425
"66","2007-04-09",6.445
"67","2007-04-10",6.405
"68","2007-04-11",6.44
"69","2007-04-12",6.45
"70","2007-04-13",6.45
"71","2007-04-16",6.43
"72","2007-04-17",6.405
"73","2007-04-18",6.395
"74","2007-04-19",6.33
"75","2007-04-20",6.305
"76","2007-04-23",6.33
"77","2007-04-24",6.4
"78","2007-04-25",6.5
"79","2007-04-26",6.5
"80","2007-04-27",6.49
"81","2007-04-30",6.48
"82","2007-05-01",6.475
"83","2007-05-02",6.4
"84","2007-05-03",6.425
"85","2007-05-04",6.425
"86","2007-05-07",6.5
"87","2007-05-08",6.5
"88","2007-05-09",6.525
"89","2007-05-10",6.525
"90","2007-05-11",6.45
"91","2007-05-14",6.38
"92","2007-05-15",6.325
"93","2007-05-16",6.35
"94","2007-05-17",6.39
"95","2007-05-18",6.525
"96","2007-05-21",6.51
"97","2007-05-22",6.51
"98","2007-05-23",6.475
"99","2007-05-24",6.45
"100","2007-05-25",6.425
"101","2007-05-29",6.4
"102","2007-05-30",6.425
"103","2007-05-31",6.425
"104","2007-06-01",6.35
"105","2007-06-04",6.4
"106","2007-06-05",6.325
"107","2007-06-06",6.31
"108","2007-06-07",6.26
"109","2007-06-08",6.245
"110","2007-06-11",6.225
"111","2007-06-12",6.225
"112","2007-06-13",6.275
"113","2007-06-14",6.325
"114","2007-06-15",6.35
"115","2007-06-18",6.345
"116","2007-06-19",6.35
"117","2007-06-20",6.325
"118","2007-06-21",6.325
"119","2007-06-22",6.35
"120","2007-06-25",6.33
"121","2007-06-26",6.31
"122","2007-06-27",6.365
"123","2007-06-28",6.4
"124","2007-06-29",6.525
"125","2007-07-02",6.625
"126","2007-07-03",6.615
"127","2007-07-05",6.55
"128","2007-07-06",6.515
"129","2007-07-09",6.54
"130","2007-07-10",6.49
"131","2007-07-11",6.465
"132","2007-07-12",6.465
"133","2007-07-13",6.47
"134","2007-07-16",6.47
"135","2007-07-17",6.425
"136","2007-07-18",6.425
"137","2007-07-19",6.425
"138","2007-07-20",6.42
"139","2007-07-23",6.42
"140","2007-07-24",6.25
"141","2007-07-25",6.2
"142","2007-07-26",6.175
"143","2007-07-27",6.2
"144","2007-07-30",6.19
"145","2007-07-31",6.185
"146","2007-08-01",6.225
"147","2007-08-02",6.195
"148","2007-08-03",6.175
"149","2007-08-06",6
"150","2007-08-07",6
"151","2007-08-08",6
"152","2007-08-09",5.95
"153","2007-08-10",5.9
"154","2007-08-13",5.725
"155","2007-08-14",5.775
"156","2007-08-15",5.785
"157","2007-08-16",5.75
"158","2007-08-17",5.85
"159","2007-08-20",5.87
"160","2007-08-21",5.775
"161","2007-08-22",5.75
"162","2007-08-23",5.9
"163","2007-08-24",5.875
"164","2007-08-27",5.875
"165","2007-08-28",5.8
"166","2007-08-29",5.85
"167","2007-08-30",5.85
"168","2007-08-31",5.87
"169","2007-09-04",5.85
"170","2007-09-05",5.815
"171","2007-09-06",5.82
"172","2007-09-07",5.825
"173","2007-09-10",5.85
"174","2007-09-11",5.925
"175","2007-09-12",6.05
"176","2007-09-13",6.05
"177","2007-09-14",6.05
"178","2007-09-17",6.15
"179","2007-09-18",6.165
"180","2007-09-19",6.325
"181","2007-09-20",6.25
"182","2007-09-21",6.25
"183","2007-09-24",6.25
"184","2007-09-25",6.25
"185","2007-09-26",6.225
"186","2007-09-27",6.125
"187","2007-09-28",6.115
"188","2007-10-01",6.075
"189","2007-10-02",6.075
"190","2007-10-03",6.105
"191","2007-10-04",6.075
"192","2007-10-05",6.025
"193","2007-10-08",6.05
"194","2007-10-09",6.085
"195","2007-10-10",5.975
"196","2007-10-11",6
"197","2007-10-12",6.025
"198","2007-10-15",6.025
"199","2007-10-16",6.025
"200","2007-10-17",6.075
"201","2007-10-18",6.09
"202","2007-10-19",6.175
"203","2007-10-22",6.225
"204","2007-10-23",6.375
"205","2007-10-24",6.445
"206","2007-10-25",6.575
"207","2007-10-26",6.77
"208","2007-10-29",6.675
"209","2007-10-30",6.65
"210","2007-10-31",6.65
"211","2007-11-01",6.6
"212","2007-11-02",6.55
"213","2007-11-05",6.46
"214","2007-11-06",6.35
"215","2007-11-07",6.335
"216","2007-11-08",6.35
"217","2007-11-09",6.26
"218","2007-11-12",6.225
"219","2007-11-13",6.175
"220","2007-11-14",6.24
"221","2007-11-15",6.225
"222","2007-11-16",6.2
"223","2007-11-19",6.15
"224","2007-11-20",6.115
"225","2007-11-21",6.115
"226","2007-11-23",6.1
"227","2007-11-26",5.675
"228","2007-11-27",5.7
"229","2007-11-28",5.65
"230","2007-11-29",5.575
"231","2007-11-30",5.65
"232","2007-12-03",5.65
"233","2007-12-04",5.65
"234","2007-12-05",5.575
"235","2007-12-06",5.59
"236","2007-12-07",5.6
"237","2007-12-10",5.6
"238","2007-12-11",5.5
"239","2007-12-12",5.525
"240","2007-12-13",5.675
"241","2007-12-14",5.6
"242","2007-12-17",5.5
"243","2007-12-18",5.355
"244","2007-12-19",5.325
"245","2007-12-20",5.225
"246","2007-12-21",5.25
"247","2007-12-24",5.17
"248","2007-12-26",5.1
"249","2007-12-27",5.05
"250","2007-12-28",4.93
"251","2007-12-31",4.975
"252","2008-01-02",4.925
"253","2008-01-03",4.975
"254","2008-01-04",4.92
"255","2008-01-07",5
"256","2008-01-08",4.925
"257","2008-01-09",4.91
"258","2008-01-10",4.975
"259","2008-01-11",5.15
"260","2008-01-14",4.925
"261","2008-01-15",4.8
"262","2008-01-16",4.625
"263","2008-01-17",4.575
"264","2008-01-18",4.3
"265","2008-01-22",4.375
"266","2008-01-23",4.35
"267","2008-01-24",4.4
"268","2008-01-25",4.42
"269","2008-01-28",4.42
"270","2008-01-29",4.52
"271","2008-01-30",4.55
"272","2008-01-31",4.58
"273","2008-02-01",4.6
"274","2008-02-04",4.59
"275","2008-02-05",4.625
"276","2008-02-06",4.575
"277","2008-02-07",4.61
"278","2008-02-08",4.65
"279","2008-02-11",4.7
"280","2008-02-12",4.65
