"","date","CYAD"
"1","2015-06-19",54.57
"2","2015-06-22",56.639999
"3","2015-06-23",56.459999
"4","2015-06-24",54.110001
"5","2015-06-25",53.400002
"6","2015-06-26",52.720001
"7","2015-06-29",50.360001
"8","2015-06-30",52.02
"9","2015-07-01",52.02
"10","2015-07-02",50.200001
"11","2015-07-06",49.400002
"12","2015-07-07",50.990002
"13","2015-07-08",49.580002
"14","2015-07-09",49.23
"15","2015-07-10",52.419998
"16","2015-07-13",54.709999
"17","2015-07-14",60.810001
"18","2015-07-15",60.560001
"19","2015-07-16",61.27
"20","2015-07-17",61
"21","2015-07-20",59.5
"22","2015-07-21",60.439999
"23","2015-07-22",59.25
"24","2015-07-23",58.150002
"25","2015-07-24",58.669998
"26","2015-07-27",56.740002
"27","2015-07-28",56.84
"28","2015-07-29",57.09
"29","2015-07-30",55.619999
"30","2015-07-31",55.330002
"31","2015-08-03",54.810001
"32","2015-08-04",55.91
"33","2015-08-05",55.060001
"34","2015-08-06",56.799999
"35","2015-08-07",55.459999
"36","2015-08-10",56.369999
"37","2015-08-11",54.220001
"38","2015-08-12",55.560001
"39","2015-08-13",53.330002
"40","2015-08-14",55.259998
"41","2015-08-17",55.110001
"42","2015-08-18",55.27
"43","2015-08-19",56
"44","2015-08-20",53.290001
"45","2015-08-21",50.349998
"46","2015-08-24",47.560001
"47","2015-08-25",51.339001
"48","2015-08-26",50.57
"49","2015-08-27",49.009998
"50","2015-08-28",49.009998
"51","2015-08-31",48.790001
"52","2015-09-01",46.529999
"53","2015-09-02",49.77
"54","2015-09-03",49.77
"55","2015-09-04",47.500999
"56","2015-09-08",44.25
"57","2015-09-09",45
"58","2015-09-10",42.950001
"59","2015-09-11",42.259998
"60","2015-09-14",44.48
"61","2015-09-15",45.299999
"62","2015-09-16",46.25
"63","2015-09-17",46.25
"64","2015-09-18",44.049999
"65","2015-09-21",46.369999
"66","2015-09-22",44.049999
"67","2015-09-23",43
"68","2015-09-24",44.599998
"69","2015-09-25",42.299999
"70","2015-09-28",42.900002
"71","2015-09-29",41.349998
"72","2015-09-30",41.849998
"73","2015-10-01",40.68
"74","2015-10-02",43.799999
"75","2015-10-05",41.5
"76","2015-10-06",39.25
"77","2015-10-07",38.009998
"78","2015-10-08",37.849998
"79","2015-10-09",38
"80","2015-10-12",38
"81","2015-10-13",37
"82","2015-10-14",36
"83","2015-10-15",36.150002
"84","2015-10-16",36
"85","2015-10-19",36.009998
"86","2015-10-20",36.200001
"87","2015-10-21",35.259998
"88","2015-10-22",34
"89","2015-10-23",39.91
"90","2015-10-26",40.849998
"91","2015-10-27",40.779999
"92","2015-10-28",38.91
"93","2015-10-29",38.43
"94","2015-10-30",37.34
