"","date","PDD"
"1","2018-07-26",26.700001
"2","2018-07-27",24.6
"3","2018-07-30",22.5
"4","2018-07-31",22.59
"5","2018-08-01",20.309999
"6","2018-08-02",19.66
"7","2018-08-03",19.07
"8","2018-08-06",20.16
"9","2018-08-07",20.889999
"10","2018-08-08",20.27
"11","2018-08-09",20
"12","2018-08-10",19.51
"13","2018-08-13",19.440001
"14","2018-08-14",19
"15","2018-08-15",17.700001
"16","2018-08-16",19.040001
"17","2018-08-17",19
"18","2018-08-20",18.950001
"19","2018-08-21",18.75
"20","2018-08-22",18.4
"21","2018-08-23",18.309999
"22","2018-08-24",17.219999
"23","2018-08-27",19.17
"24","2018-08-28",19.540001
"25","2018-08-29",21.15
"26","2018-08-30",17.99
"27","2018-08-31",19.35
"28","2018-09-04",20.75
"29","2018-09-05",18.799999
"30","2018-09-06",19.110001
"31","2018-09-07",19.57
"32","2018-09-10",19.74
"33","2018-09-11",23.57
"34","2018-09-12",23.040001
"35","2018-09-13",29.959999
"36","2018-09-14",26.34
"37","2018-09-17",24.360001
"38","2018-09-18",22.639999
"39","2018-09-19",23
"40","2018-09-20",24.65
"41","2018-09-21",25.6
"42","2018-09-24",26.49
"43","2018-09-25",26.940001
"44","2018-09-26",26.059999
"45","2018-09-27",26.33
"46","2018-09-28",26.290001
"47","2018-10-01",27.690001
"48","2018-10-02",25.66
"49","2018-10-03",26.280001
"50","2018-10-04",22.700001
"51","2018-10-05",21.780001
"52","2018-10-08",21.190001
"53","2018-10-09",22.34
"54","2018-10-10",20.33
"55","2018-10-11",20.82
"56","2018-10-12",21.620001
"57","2018-10-15",21.110001
"58","2018-10-16",20.809999
"59","2018-10-17",19.99
"60","2018-10-18",18.799999
"61","2018-10-19",18.68
"62","2018-10-22",19.950001
"63","2018-10-23",18.51
"64","2018-10-24",17.32
"65","2018-10-25",18.559999
"66","2018-10-26",18.200001
"67","2018-10-29",17.370001
"68","2018-10-30",17.200001
"69","2018-10-31",17.65
"70","2018-11-01",20.34
"71","2018-11-02",20.370001
"72","2018-11-05",20.049999
"73","2018-11-06",19.639999
"74","2018-11-07",20.719999
"75","2018-11-08",19.280001
"76","2018-11-09",18.309999
"77","2018-11-12",17.219999
"78","2018-11-13",17.15
"79","2018-11-14",19.15
"80","2018-11-15",20.379999
"81","2018-11-16",20.83
"82","2018-11-19",19.84
"83","2018-11-20",23.139999
"84","2018-11-21",23.66
"85","2018-11-23",22.5
"86","2018-11-26",21.219999
"87","2018-11-27",22.450001
"88","2018-11-28",22.9
"89","2018-11-29",22.440001
"90","2018-11-30",22.959999
"91","2018-12-03",23.969999
"92","2018-12-04",23.32
"93","2018-12-06",22.540001
"94","2018-12-07",20.610001
"95","2018-12-10",20.110001
"96","2018-12-11",20.809999
"97","2018-12-12",22.65
"98","2018-12-13",22.58
"99","2018-12-14",23.1
"100","2018-12-17",22.18
"101","2018-12-18",23
"102","2018-12-19",22.32
"103","2018-12-20",21.49
"104","2018-12-21",21.129999
"105","2018-12-24",21.299999
"106","2018-12-26",21.51
"107","2018-12-27",21.9
"108","2018-12-28",22.059999
"109","2018-12-31",22.440001
"110","2019-01-02",22.209999
"111","2019-01-03",21.52
"112","2019-01-04",22.690001
"113","2019-01-07",23.209999
"114","2019-01-08",24
"115","2019-01-09",25.540001
"116","2019-01-10",26.379999
"117","2019-01-11",26.16
"118","2019-01-14",24.370001
"119","2019-01-15",24.41
"120","2019-01-16",25.139999
"121","2019-01-17",24.540001
"122","2019-01-18",24.99
"123","2019-01-22",25.17
"124","2019-01-23",26.67
"125","2019-01-24",28.74
"126","2019-01-25",29.5
"127","2019-01-28",29
"128","2019-01-29",30.190001
"129","2019-01-30",28.82
"130","2019-01-31",29.209999
"131","2019-02-01",28.959999
"132","2019-02-04",29.93
"133","2019-02-05",30.33
"134","2019-02-06",28
