"","date","SUP"
"1","2007-01-03",19.700001
"2","2007-01-04",19.620001
"3","2007-01-05",19.110001
"4","2007-01-08",19.07
"5","2007-01-09",19.35
"6","2007-01-10",19.129999
"7","2007-01-11",19.51
"8","2007-01-12",19.9
"9","2007-01-16",19.809999
"10","2007-01-17",19.67
"11","2007-01-18",19.629999
"12","2007-01-19",19.57
"13","2007-01-22",19.469999
"14","2007-01-23",20.370001
"15","2007-01-24",20.66
"16","2007-01-25",20.23
"17","2007-01-26",20.059999
"18","2007-01-29",20.27
"19","2007-01-30",20.32
"20","2007-01-31",20.370001
"21","2007-02-01",21.08
"22","2007-02-02",20.82
"23","2007-02-05",22.01
"24","2007-02-06",22.07
"25","2007-02-07",22.16
"26","2007-02-08",22.15
"27","2007-02-09",22.24
"28","2007-02-12",22.120001
"29","2007-02-13",22.16
"30","2007-02-14",22.18
"31","2007-02-15",22.83
"32","2007-02-16",22.799999
"33","2007-02-20",23.18
"34","2007-02-21",22.879999
"35","2007-02-22",22.719999
"36","2007-02-23",22.99
"37","2007-02-26",23.190001
"38","2007-02-27",21.780001
"39","2007-02-28",21.360001
"40","2007-03-01",21.4
"41","2007-03-02",21.08
"42","2007-03-05",20.77
"43","2007-03-06",21.530001
"44","2007-03-07",21.6
"45","2007-03-08",22
"46","2007-03-09",22.059999
"47","2007-03-12",22.08
"48","2007-03-13",21.809999
"49","2007-03-14",22.02
"50","2007-03-15",22.26
"51","2007-03-16",21.719999
"52","2007-03-19",22.280001
"53","2007-03-20",21.49
"54","2007-03-21",21.75
"55","2007-03-22",21.860001
"56","2007-03-23",21.709999
"57","2007-03-26",22.280001
"58","2007-03-27",21.790001
"59","2007-03-28",21.24
"60","2007-03-29",21.299999
"61","2007-03-30",20.83
"62","2007-04-02",21.26
"63","2007-04-03",21.35
"64","2007-04-04",21.25
"65","2007-04-05",22.27
"66","2007-04-09",22.9
"67","2007-04-10",23.360001
"68","2007-04-11",23.4
"69","2007-04-12",23.549999
"70","2007-04-13",23.59
"71","2007-04-16",23.67
"72","2007-04-17",23.610001
"73","2007-04-18",23.309999
"74","2007-04-19",23.549999
"75","2007-04-20",23.99
"76","2007-04-23",23.75
"77","2007-04-24",23.59
"78","2007-04-25",23.360001
"79","2007-04-26",23.969999
"80","2007-04-27",24.059999
"81","2007-04-30",22.85
"82","2007-05-01",22.719999
"83","2007-05-02",23.120001
"84","2007-05-03",22.85
"85","2007-05-04",23.129999
"86","2007-05-07",23.02
"87","2007-05-08",23.129999
"88","2007-05-09",23.139999
"89","2007-05-10",23.42
"90","2007-05-11",23.65
"91","2007-05-14",23.549999
"92","2007-05-15",23.27
