"","date","NPK"
"1","2007-01-03",61.119999
"2","2007-01-04",61.650002
"3","2007-01-05",60.509998
"4","2007-01-08",60.57
"5","2007-01-09",60.23
"6","2007-01-10",59.75
"7","2007-01-11",60.75
"8","2007-01-12",60.82
"9","2007-01-16",61.419998
"10","2007-01-17",61.939999
"11","2007-01-18",62.689999
"12","2007-01-19",62.700001
"13","2007-01-22",61.849998
"14","2007-01-23",61.580002
"15","2007-01-24",61.84
"16","2007-01-25",61.349998
"17","2007-01-26",61.200001
"18","2007-01-29",61.490002
"19","2007-01-30",61.150002
"20","2007-01-31",62.799999
"21","2007-02-01",62.610001
"22","2007-02-02",62.630001
"23","2007-02-05",63.689999
"24","2007-02-06",64
"25","2007-02-07",64.379997
"26","2007-02-08",64.699997
"27","2007-02-09",64.580002
"28","2007-02-12",64.440002
"29","2007-02-13",66.160004
"30","2007-02-14",66.900002
"31","2007-02-15",65.599998
"32","2007-02-16",64.959999
"33","2007-02-20",65.5
"34","2007-02-21",65.330002
"35","2007-02-22",65.580002
"36","2007-02-23",65.75
"37","2007-02-26",65.43
"38","2007-02-27",63.209999
"39","2007-02-28",63.209999
"40","2007-03-01",59.439999
"41","2007-03-02",57.490002
"42","2007-03-05",56.119999
"43","2007-03-06",55.240002
"44","2007-03-07",56.490002
"45","2007-03-08",57.23
"46","2007-03-09",57.470001
"47","2007-03-12",57.369999
"48","2007-03-13",57.259998
"49","2007-03-14",57.209999
"50","2007-03-15",57.32
"51","2007-03-16",57.419998
"52","2007-03-19",58.290001
"53","2007-03-20",58.400002
"54","2007-03-21",59.400002
"55","2007-03-22",60
"56","2007-03-23",60.200001
"57","2007-03-26",60.119999
"58","2007-03-27",60.009998
"59","2007-03-28",60.139999
"60","2007-03-29",60.549999
"61","2007-03-30",61.639999
"62","2007-04-02",62.59
"63","2007-04-03",62.549999
"64","2007-04-04",62.110001
"65","2007-04-05",62.299999
"66","2007-04-09",62.220001
"67","2007-04-10",62.110001
"68","2007-04-11",61.400002
"69","2007-04-12",61.150002
"70","2007-04-13",61.439999
"71","2007-04-16",61.599998
"72","2007-04-17",61.369999
"73","2007-04-18",61.040001
"74","2007-04-19",60.189999
"75","2007-04-20",60.700001
"76","2007-04-23",60.450001
"77","2007-04-24",59.950001
"78","2007-04-25",59.919998
"79","2007-04-26",59.75
"80","2007-04-27",59.639999
"81","2007-04-30",59.09
"82","2007-05-01",59.060001
"83","2007-05-02",59.959999
"84","2007-05-03",59.950001
"85","2007-05-04",59.68
"86","2007-05-07",60.119999
"87","2007-05-08",59.639999
"88","2007-05-09",59.549999
"89","2007-05-10",58.34
"90","2007-05-11",58.389999
"91","2007-05-14",57.380001
"92","2007-05-15",57
"93","2007-05-16",57.689999
"94","2007-05-17",57.23
"95","2007-05-18",57.209999
"96","2007-05-21",58.43
"97","2007-05-22",58.880001
"98","2007-05-23",58.869999
"99","2007-05-24",58.349998
"100","2007-05-25",59.07
"101","2007-05-29",59.389999
"102","2007-05-30",59.84
"103","2007-05-31",60.619999
"104","2007-06-01",61.080002
"105","2007-06-04",60.790001
"106","2007-06-05",60.23
"107","2007-06-06",60.220001
"108","2007-06-07",59.220001
"109","2007-06-08",60.560001
"110","2007-06-11",60.369999
"111","2007-06-12",60.09
"112","2007-06-13",60.220001
"113","2007-06-14",60.299999
"114","2007-06-15",62.32
"115","2007-06-18",62.209999
"116","2007-06-19",62.060001
"117","2007-06-20",60.099998
"118","2007-06-21",60.349998
"119","2007-06-22",60
"120","2007-06-25",60.849998
"121","2007-06-26",60.959999
