"","date","TME"
"1","2018-12-12",14
"2","2018-12-13",13.51
"3","2018-12-14",12.81
"4","2018-12-17",12.13
"5","2018-12-18",12.3
"6","2018-12-19",12.18
"7","2018-12-20",12.19
"8","2018-12-21",12.19
"9","2018-12-24",12
"10","2018-12-26",12.48
"11","2018-12-27",13.51
"12","2018-12-28",13.4
"13","2018-12-31",13.22
"14","2019-01-02",13
"15","2019-01-03",12.44
"16","2019-01-04",13.2
"17","2019-01-07",12.81
"18","2019-01-08",13
"19","2019-01-09",13.02
"20","2019-01-10",13.03
"21","2019-01-11",12.89
"22","2019-01-14",12.2
"23","2019-01-15",12.42
"24","2019-01-16",13
"25","2019-01-17",12.97
"26","2019-01-18",14.35
"27","2019-01-22",14.8
"28","2019-01-23",14.95
"29","2019-01-24",15.91
"30","2019-01-25",15.27
"31","2019-01-28",15.08
"32","2019-01-29",15.37
"33","2019-01-30",15.03
"34","2019-01-31",14.95
"35","2019-02-01",13.94
"36","2019-02-04",14.85
"37","2019-02-05",15.03
"38","2019-02-06",14.95
"39","2019-02-07",14.96
"40","2019-02-08",14.7
"41","2019-02-11",15.03
"42","2019-02-12",16.01
"43","2019-02-13",15.87
"44","2019-02-14",16.99
"45","2019-02-15",16.17
"46","2019-02-19",17.059999
"47","2019-02-20",17.18
"48","2019-02-21",16.9
"49","2019-02-22",17.809999
"50","2019-02-25",18.75
"51","2019-02-26",17.9
"52","2019-02-27",18.49
"53","2019-02-28",18.02
"54","2019-03-01",18.200001
"55","2019-03-04",18.17
"56","2019-03-05",18.43
"57","2019-03-06",18.48
"58","2019-03-07",18.01
"59","2019-03-08",17.120001
"60","2019-03-11",17.9
"61","2019-03-12",18.299999
"62","2019-03-13",17.889999
"63","2019-03-14",17.68
"64","2019-03-15",18.27
"65","2019-03-18",19.110001
"66","2019-03-19",18.57
"67","2019-03-20",16.66
"68","2019-03-21",17.450001
"69","2019-03-22",16.98
"70","2019-03-25",17.120001
"71","2019-03-26",17
"72","2019-03-27",17.07
"73","2019-03-28",17.209999
"74","2019-03-29",18.1
"75","2019-04-01",18.809999
"76","2019-04-02",18.860001
"77","2019-04-03",19.040001
"78","2019-04-04",18.280001
"79","2019-04-05",18.23
"80","2019-04-08",18.33
"81","2019-04-09",17.639999
"82","2019-04-10",17.969999
"83","2019-04-11",17.92
"84","2019-04-12",18.290001
"85","2019-04-15",17.549999
"86","2019-04-16",17.940001
"87","2019-04-17",18.57
"88","2019-04-18",18.219999
"89","2019-04-22",17.98
"90","2019-04-23",17.42
"91","2019-04-24",17.66
"92","2019-04-25",17.200001
"93","2019-04-26",17.41
"94","2019-04-29",17.799999
"95","2019-04-30",17.200001
"96","2019-05-01",17.299999
"97","2019-05-02",17
"98","2019-05-03",17.370001
"99","2019-05-06",16.85
"100","2019-05-07",16.370001
"101","2019-05-08",16.450001
"102","2019-05-09",16.610001
"103","2019-05-10",16.59
"104","2019-05-13",16
"105","2019-05-14",15.01
"106","2019-05-15",14.47
"107","2019-05-16",14.24
"108","2019-05-17",13.86
"109","2019-05-20",13.66
"110","2019-05-21",14.1
"111","2019-05-22",14.06
"112","2019-05-23",13.58
"113","2019-05-24",13.62
"114","2019-05-28",14.03
"115","2019-05-29",13.66
"116","2019-05-30",13.5
"117","2019-05-31",13.24
"118","2019-06-03",12.89
"119","2019-06-04",13.17
"120","2019-06-05",12.95
"121","2019-06-06",13.2
"122","2019-06-07",13.61
"123","2019-06-10",14.3
"124","2019-06-11",14.18
"125","2019-06-12",14.08
"126","2019-06-13",14.25
"127","2019-06-14",13.9
"128","2019-06-17",14.33
"129","2019-06-18",15.15
"130","2019-06-19",15.04
"131","2019-06-20",15.05
"132","2019-06-21",15
"133","2019-06-24",15.13
"134","2019-06-25",14.51
"135","2019-06-26",14.74
"136","2019-06-27",14.97
"137","2019-06-28",14.99
"138","2019-07-01",15.5
"139","2019-07-02",15.15
"140","2019-07-03",15.04
"141","2019-07-05",15.46
"142","2019-07-08",15.18
"143","2019-07-09",15.5
"144","2019-07-10",15.7
"145","2019-07-11",15.88
"146","2019-07-12",15.71
"147","2019-07-15",15.99
"148","2019-07-16",15.97
"149","2019-07-17",14.96
"150","2019-07-18",14.5
"151","2019-07-19",14.36
"152","2019-07-22",14.05
"153","2019-07-23",14.51
"154","2019-07-24",14.57
"155","2019-07-25",14.57
"156","2019-07-26",14.52
"157","2019-07-29",14.47
"158","2019-07-30",14.46
"159","2019-07-31",14.27
"160","2019-08-01",13.97
"161","2019-08-02",14.12
"162","2019-08-05",13.77
"163","2019-08-06",13.87
"164","2019-08-07",14.26
"165","2019-08-08",14.7
"166","2019-08-09",14.45
"167","2019-08-12",14.45
"168","2019-08-13",14.54
"169","2019-08-14",13.76
"170","2019-08-15",13.73
"171","2019-08-16",13.98
"172","2019-08-19",13.97
"173","2019-08-20",13.63
"174","2019-08-21",13.66
"175","2019-08-22",13.67
"176","2019-08-23",13.49
"177","2019-08-26",13.49
"178","2019-08-27",12.57
"179","2019-08-28",13.03
"180","2019-08-29",13.3
"181","2019-08-30",13.3
"182","2019-09-03",12.85
"183","2019-09-04",12.93
"184","2019-09-05",13.04
"185","2019-09-06",12.96
"186","2019-09-09",12.96
"187","2019-09-10",13.21
"188","2019-09-11",13.69
"189","2019-09-12",13.74
"190","2019-09-13",13.74
"191","2019-09-16",13.91
"192","2019-09-17",14.09
"193","2019-09-18",14
"194","2019-09-19",14
"195","2019-09-20",13.58
"196","2019-09-23",13.4
"197","2019-09-24",13.14
"198","2019-09-25",13.12
"199","2019-09-26",13.03
"200","2019-09-27",12.88
"201","2019-09-30",12.77
"202","2019-10-01",12.83
"203","2019-10-02",12.85
"204","2019-10-03",12.94
"205","2019-10-04",12.93
"206","2019-10-07",12.77
"207","2019-10-08",12.7
"208","2019-10-09",12.87
"209","2019-10-10",13.28
"210","2019-10-11",13.48
"211","2019-10-14",13.31
"212","2019-10-15",13.37
"213","2019-10-16",13.5
"214","2019-10-17",13.54
"215","2019-10-18",13.5
"216","2019-10-21",14.03
"217","2019-10-22",13.89
"218","2019-10-23",14
"219","2019-10-24",13.98
"220","2019-10-25",14.03
"221","2019-10-28",14.24
"222","2019-10-29",14
"223","2019-10-30",13.9
"224","2019-10-31",13.84
"225","2019-11-01",14.12
"226","2019-11-04",14.36
"227","2019-11-05",13.76
"228","2019-11-06",13.6
"229","2019-11-07",13.6
"230","2019-11-08",14
"231","2019-11-11",14.37
"232","2019-11-12",13.21
"233","2019-11-13",12.84
"234","2019-11-14",12.67
"235","2019-11-15",12.69
"236","2019-11-18",12.25
"237","2019-11-19",12.11
"238","2019-11-20",12.14
"239","2019-11-21",12.5
"240","2019-11-22",12.35
"241","2019-11-25",12.98
"242","2019-11-26",12.7
"243","2019-11-27",12.43
"244","2019-11-29",12.43
"245","2019-12-02",12.54
"246","2019-12-03",12.38
"247","2019-12-04",12.31
"248","2019-12-05",12.37
"249","2019-12-06",12.44
"250","2019-12-09",12.19
"251","2019-12-10",11.93
"252","2019-12-11",12.07
"253","2019-12-12",12
"254","2019-12-13",11.42
"255","2019-12-16",11.49
"256","2019-12-17",12.1
"257","2019-12-18",12.01
"258","2019-12-19",11.8
"259","2019-12-20",11.67
"260","2019-12-23",11.65
"261","2019-12-24",11.67
"262","2019-12-26",12.06
"263","2019-12-27",11.94
"264","2019-12-30",11.67
"265","2019-12-31",11.74
"266","2020-01-02",12.56
"267","2020-01-03",12.55
"268","2020-01-06",12.43
"269","2020-01-07",12.07
"270","2020-01-08",12.49
"271","2020-01-09",13.28
"272","2020-01-10",13.49
"273","2020-01-13",14
"274","2020-01-14",13.74
"275","2020-01-15",13.96
"276","2020-01-16",13.95
"277","2020-01-17",14.08
"278","2020-01-21",13.86
"279","2020-01-22",13.38
"280","2020-01-23",13.21
"281","2020-01-24",12.82
"282","2020-01-27",12.75
"283","2020-01-28",13.04
"284","2020-01-29",13.05
"285","2020-01-30",12.84
"286","2020-01-31",12.69
"287","2020-02-03",12.83
"288","2020-02-04",13.45
"289","2020-02-05",13.43
"290","2020-02-06",13.84
"291","2020-02-07",13.58
"292","2020-02-10",13.77
"293","2020-02-11",13.8
"294","2020-02-12",13.99
"295","2020-02-13",13.48
"296","2020-02-14",13.15
"297","2020-02-18",12.69
"298","2020-02-19",12.73
"299","2020-02-20",12.87
"300","2020-02-21",12.74
"301","2020-02-24",12.22
"302","2020-02-25",12.32
"303","2020-02-26",12.48
"304","2020-02-27",12.29
"305","2020-02-28",12.13
"306","2020-03-02",12.13
"307","2020-03-03",12.16
"308","2020-03-04",12.59
"309","2020-03-05",12.56
"310","2020-03-06",12.07
"311","2020-03-09",11.79
"312","2020-03-10",12.13
"313","2020-03-11",11.76
"314","2020-03-12",11.28
"315","2020-03-13",11.4
"316","2020-03-16",11.05
"317","2020-03-17",10.5
"318","2020-03-18",10
"319","2020-03-19",9.84
"320","2020-03-20",9.5
"321","2020-03-23",9.45
"322","2020-03-24",9.94
"323","2020-03-25",9.75
"324","2020-03-26",9.98
"325","2020-03-27",9.47
"326","2020-03-30",9.68
"327","2020-03-31",10.06
"328","2020-04-01",10.12
"329","2020-04-02",11.01
"330","2020-04-03",10.63
"331","2020-04-06",10.59
"332","2020-04-07",10.73
"333","2020-04-08",10.99
"334","2020-04-09",10.97
"335","2020-04-13",10.9
"336","2020-04-14",11.12
"337","2020-04-15",10.83
"338","2020-04-16",10.82
"339","2020-04-17",10.89
"340","2020-04-20",11.19
"341","2020-04-21",10.96
"342","2020-04-22",11.12
"343","2020-04-23",10.94
"344","2020-04-24",10.75
"345","2020-04-27",11.03
"346","2020-04-28",10.87
"347","2020-04-29",11.25
"348","2020-04-30",11.41
"349","2020-05-01",10.72
"350","2020-05-04",10.67
"351","2020-05-05",10.56
"352","2020-05-06",10.55
"353","2020-05-07",10.43
"354","2020-05-08",11.03
