"","date","CMG"
"1","2007-01-03",56.41
"2","2007-01-04",55.380001
"3","2007-01-05",55
"4","2007-01-08",56.049999
"5","2007-01-09",56.450001
"6","2007-01-10",56.209999
"7","2007-01-11",57.669998
"8","2007-01-12",58.279999
"9","2007-01-16",60.459999
"10","2007-01-17",60.599998
"11","2007-01-18",59.580002
"12","2007-01-19",58.970001
"13","2007-01-22",58.419998
"14","2007-01-23",58.5
"15","2007-01-24",58
"16","2007-01-25",57.48
"17","2007-01-26",57.34
"18","2007-01-29",58.700001
"19","2007-01-30",59.599998
"20","2007-01-31",59.419998
"21","2007-02-01",59.799999
"22","2007-02-02",60.009998
"23","2007-02-05",60.439999
"24","2007-02-06",60.580002
"25","2007-02-07",61.57
"26","2007-02-08",62.09
"27","2007-02-09",61.91
"28","2007-02-12",60.720001
"29","2007-02-13",60.450001
"30","2007-02-14",59.689999
"31","2007-02-15",61.380001
"32","2007-02-16",65.029999
"33","2007-02-20",63.889999
"34","2007-02-21",63.580002
"35","2007-02-22",64.419998
"36","2007-02-23",64.309998
"37","2007-02-26",63.630001
"38","2007-02-27",60.25
"39","2007-02-28",59.990002
"40","2007-03-01",61.23
"41","2007-03-02",60.200001
"42","2007-03-05",59.049999
"43","2007-03-06",60.07
"44","2007-03-07",60.220001
"45","2007-03-08",60.09
"46","2007-03-09",60.57
"47","2007-03-12",61.23
"48","2007-03-13",61.009998
"49","2007-03-14",60.59
"50","2007-03-15",61.049999
"51","2007-03-16",60.580002
"52","2007-03-19",63.099998
"53","2007-03-20",64.230003
"54","2007-03-21",64.75
"55","2007-03-22",64.169998
"56","2007-03-23",64.800003
"57","2007-03-26",63.59
"58","2007-03-27",62.369999
"59","2007-03-28",62.060001
"60","2007-03-29",62.200001
"61","2007-03-30",62.099998
"62","2007-04-02",62.740002
"63","2007-04-03",63.950001
"64","2007-04-04",64.75
"65","2007-04-05",64.910004
"66","2007-04-09",65
"67","2007-04-10",64.669998
"68","2007-04-11",63.779999
"69","2007-04-12",64.160004
"70","2007-04-13",64.07
"71","2007-04-16",65.199997
"72","2007-04-17",66.540001
"73","2007-04-18",66.25
"74","2007-04-19",65.370003
"75","2007-04-20",65.589996
"76","2007-04-23",65.510002
"77","2007-04-24",65
"78","2007-04-25",65.68
"79","2007-04-26",66.940002
"80","2007-04-27",66.019997
"81","2007-04-30",65.230003
"82","2007-05-01",66.260002
"83","2007-05-02",78.089996
"84","2007-05-03",79.010002
"85","2007-05-04",78.370003
"86","2007-05-07",76.400002
"87","2007-05-08",77.620003
"88","2007-05-09",77.690002
"89","2007-05-10",80.550003
"90","2007-05-11",81.739998
"91","2007-05-14",82.699997
"92","2007-05-15",81.099998
"93","2007-05-16",82.440002
"94","2007-05-17",81.260002
"95","2007-05-18",82
"96","2007-05-21",81.800003
"97","2007-05-22",82.040001
"98","2007-05-23",80.699997
