"","date","MERC"
"1","2007-01-03",11.9
"2","2007-01-04",11.97
"3","2007-01-05",11.96
"4","2007-01-08",12.08
"5","2007-01-09",12.07
"6","2007-01-10",12.12
"7","2007-01-11",12.15
"8","2007-01-12",12.34
"9","2007-01-16",12.8
"10","2007-01-17",12.38
"11","2007-01-18",12.28
"12","2007-01-19",12.25
"13","2007-01-22",12.22
"14","2007-01-23",12.06
"15","2007-01-24",11.95
"16","2007-01-25",11.88
"17","2007-01-26",11.94
"18","2007-01-29",12.13
"19","2007-01-30",12.1
"20","2007-01-31",12.11
"21","2007-02-01",12.21
"22","2007-02-02",12.37
"23","2007-02-05",12.48
"24","2007-02-06",12.51
"25","2007-02-07",12.77
"26","2007-02-08",12.86
"27","2007-02-09",12.88
"28","2007-02-12",12.71
"29","2007-02-13",13
"30","2007-02-14",13
"31","2007-02-15",13.08
"32","2007-02-16",13.04
"33","2007-02-20",13.34
"34","2007-02-21",13.54
"35","2007-02-22",13.52
"36","2007-02-23",13.6
"37","2007-02-26",13.68
"38","2007-02-27",13
"39","2007-02-28",12.54
"40","2007-03-01",12.52
"41","2007-03-02",12.2
"42","2007-03-05",12
"43","2007-03-06",12.51
"44","2007-03-07",12.27
"45","2007-03-08",12.07
"46","2007-03-09",12.14
"47","2007-03-12",12.13
"48","2007-03-13",11.58
"49","2007-03-14",11.5
"50","2007-03-15",11.82
"51","2007-03-16",11.9
"52","2007-03-19",11.94
"53","2007-03-20",12.09
"54","2007-03-21",12.37
"55","2007-03-22",11.91
"56","2007-03-23",12.28
"57","2007-03-26",12.23
"58","2007-03-27",12.32
"59","2007-03-28",12.11
"60","2007-03-29",12.08
"61","2007-03-30",11.96
"62","2007-04-02",12.11
"63","2007-04-03",12.48
"64","2007-04-04",12.46
"65","2007-04-05",12.85
"66","2007-04-09",12.46
"67","2007-04-10",12.58
"68","2007-04-11",12.6
"69","2007-04-12",12.55
"70","2007-04-13",12.69
"71","2007-04-16",12.98
"72","2007-04-17",12.43
"73","2007-04-18",12.86
"74","2007-04-19",13.01
"75","2007-04-20",13.02
"76","2007-04-23",12.65
"77","2007-04-24",12.69
"78","2007-04-25",12.91
"79","2007-04-26",12.8
"80","2007-04-27",12.81
"81","2007-04-30",12.26
"82","2007-05-01",12.49
"83","2007-05-02",12.59
"84","2007-05-03",12.36
"85","2007-05-04",12.52
"86","2007-05-07",12.38
"87","2007-05-08",11.7
"88","2007-05-09",11.5
"89","2007-05-10",10.93
"90","2007-05-11",11.13
"91","2007-05-14",11.08
"92","2007-05-15",10.95
"93","2007-05-16",11.24
"94","2007-05-17",10.9
"95","2007-05-18",10.55
"96","2007-05-21",11
"97","2007-05-22",10.52
"98","2007-05-23",10.85
"99","2007-05-24",10.51
"100","2007-05-25",10.43
"101","2007-05-29",10.69
"102","2007-05-30",10.77
"103","2007-05-31",10.75
"104","2007-06-01",10.75
"105","2007-06-04",10.7
"106","2007-06-05",10.55
"107","2007-06-06",10.33
"108","2007-06-07",10.1
"109","2007-06-08",10.17
"110","2007-06-11",10.2
"111","2007-06-12",10.01
"112","2007-06-13",10.04
"113","2007-06-14",9.97
"114","2007-06-15",9.96
"115","2007-06-18",10.17
"116","2007-06-19",10.41
"117","2007-06-20",10.3
"118","2007-06-21",9.95
"119","2007-06-22",9.71
"120","2007-06-25",9.81
"121","2007-06-26",9.71
"122","2007-06-27",9.91
"123","2007-06-28",10.2
"124","2007-06-29",10.2
"125","2007-07-02",10.33
"126","2007-07-03",10.4
"127","2007-07-05",10.62
"128","2007-07-06",10.63
"129","2007-07-09",10.7
"130","2007-07-10",10.67
"131","2007-07-11",10.53
"132","2007-07-12",10.92
"133","2007-07-13",10.93
"134","2007-07-16",10.68
"135","2007-07-17",10.59
"136","2007-07-18",10.27
"137","2007-07-19",10.81
"138","2007-07-20",10.35
"139","2007-07-23",10.43
"140","2007-07-24",10.01
"141","2007-07-25",9.53
"142","2007-07-26",9.04
"143","2007-07-27",8.81
"144","2007-07-30",8.73
"145","2007-07-31",8.69
"146","2007-08-01",8.58
"147","2007-08-02",8.45
"148","2007-08-03",7.86
"149","2007-08-06",7.76
"150","2007-08-07",8.1
"151","2007-08-08",8.5
"152","2007-08-09",8.17
"153","2007-08-10",8.53
"154","2007-08-13",8.37
"155","2007-08-14",8.18
"156","2007-08-15",7.87
"157","2007-08-16",7.77
"158","2007-08-17",8.06
"159","2007-08-20",8.24
"160","2007-08-21",8.15
"161","2007-08-22",8.49
"162","2007-08-23",8.57
"163","2007-08-24",9.04
"164","2007-08-27",8.91
"165","2007-08-28",8.47
"166","2007-08-29",8.8
"167","2007-08-30",8.84
"168","2007-08-31",8.94
"169","2007-09-04",9.2
"170","2007-09-05",8.92
"171","2007-09-06",9.07
"172","2007-09-07",8.91
"173","2007-09-10",8.65
"174","2007-09-11",8.98
"175","2007-09-12",8.91
"176","2007-09-13",8.65
"177","2007-09-14",8.71
"178","2007-09-17",9.05
"179","2007-09-18",9.34
"180","2007-09-19",9.73
"181","2007-09-20",9.58
"182","2007-09-21",9.96
"183","2007-09-24",10
"184","2007-09-25",9.98
"185","2007-09-26",9.87
"186","2007-09-27",9.86
"187","2007-09-28",9.45
"188","2007-10-01",9.31
"189","2007-10-02",9.77
"190","2007-10-03",9.4
"191","2007-10-04",9.59
"192","2007-10-05",9.86
"193","2007-10-08",10.05
"194","2007-10-09",10.03
"195","2007-10-10",10.05
"196","2007-10-11",9.74
"197","2007-10-12",9.93
"198","2007-10-15",9.84
"199","2007-10-16",9.71
"200","2007-10-17",9.64
"201","2007-10-18",9.65
"202","2007-10-19",9.06
"203","2007-10-22",9.37
"204","2007-10-23",9.4
"205","2007-10-24",9.26
"206","2007-10-25",9.22
"207","2007-10-26",9.4
"208","2007-10-29",9.37
"209","2007-10-30",9.17
"210","2007-10-31",9.4
"211","2007-11-01",8.98
"212","2007-11-02",9.05
"213","2007-11-05",8.75
"214","2007-11-06",9.21
"215","2007-11-07",8.58
"216","2007-11-08",8.74
"217","2007-11-09",8.75
"218","2007-11-12",8.42
"219","2007-11-13",8.37
"220","2007-11-14",8.26
"221","2007-11-15",7.98
"222","2007-11-16",8
"223","2007-11-19",7.66
"224","2007-11-20",7.67
"225","2007-11-21",7.53
"226","2007-11-23",7.48
"227","2007-11-26",7.25
"228","2007-11-27",7.89
"229","2007-11-28",8.31
"230","2007-11-29",8.12
"231","2007-11-30",7.92
"232","2007-12-03",7.83
"233","2007-12-04",7.52
"234","2007-12-05",7.62
"235","2007-12-06",7.61
"236","2007-12-07",7.58
"237","2007-12-10",7.84
"238","2007-12-11",7.51
"239","2007-12-12",7.34
"240","2007-12-13",7.19
"241","2007-12-14",7.16
"242","2007-12-17",7.04
"243","2007-12-18",7.11
"244","2007-12-19",7.77
"245","2007-12-20",7.72
"246","2007-12-21",7.7
"247","2007-12-24",7.69
"248","2007-12-26",7.81
"249","2007-12-27",7.84
"250","2007-12-28",7.93
"251","2007-12-31",7.83
"252","2008-01-02",7.61
"253","2008-01-03",7.49
"254","2008-01-04",7.29
"255","2008-01-07",7.32
"256","2008-01-08",7.2
"257","2008-01-09",7.13
"258","2008-01-10",7.12
"259","2008-01-11",6.92
"260","2008-01-14",7.39
"261","2008-01-15",7.43
"262","2008-01-16",8.03
"263","2008-01-17",7.55
"264","2008-01-18",7.42
"265","2008-01-22",7.37
"266","2008-01-23",7.51
"267","2008-01-24",7.37
"268","2008-01-25",7.5
"269","2008-01-28",8.07
"270","2008-01-29",8.3
"271","2008-01-30",8.24
"272","2008-01-31",8.57
"273","2008-02-01",8.99
"274","2008-02-04",8.46
"275","2008-02-05",8.12
"276","2008-02-06",8.2
"277","2008-02-07",8.82
"278","2008-02-08",8.72
"279","2008-02-11",8.75
"280","2008-02-12",8.48
"281","2008-02-13",8.82
"282","2008-02-14",8.42
"283","2008-02-15",8.19
"284","2008-02-19",8.01
"285","2008-02-20",8.08
"286","2008-02-21",7.98
