"","date","NAII"
"1","2007-01-03",8.83
"2","2007-01-04",8.96
"3","2007-01-05",9.18
"4","2007-01-08",9.15
"5","2007-01-09",9.26
"6","2007-01-10",9.24
"7","2007-01-11",9.19
"8","2007-01-12",9.16
"9","2007-01-16",9.24
"10","2007-01-17",9.25
"11","2007-01-18",9.25
"12","2007-01-19",9.15
"13","2007-01-22",9.08
"14","2007-01-23",8.92
"15","2007-01-24",8.94
"16","2007-01-25",8.74
"17","2007-01-26",8.8
"18","2007-01-29",8.97
"19","2007-01-30",9
"20","2007-01-31",9
"21","2007-02-01",8.99
"22","2007-02-02",8.82
"23","2007-02-05",9.11
"24","2007-02-06",9.01
"25","2007-02-07",8.97
"26","2007-02-08",9.14
"27","2007-02-09",9.04
"28","2007-02-12",9
"29","2007-02-13",8.95
"30","2007-02-14",8.95
"31","2007-02-15",8.91
"32","2007-02-16",8.88
"33","2007-02-20",8.97
"34","2007-02-21",9.13
"35","2007-02-22",9.1
"36","2007-02-23",8.93
"37","2007-02-26",8.74
"38","2007-02-27",8.97
"39","2007-02-28",8.9
"40","2007-03-01",8.89
"41","2007-03-02",8.9
"42","2007-03-05",8.74
"43","2007-03-06",8.88
"44","2007-03-07",8.75
"45","2007-03-08",8.8
"46","2007-03-09",8.8
"47","2007-03-12",8.86
"48","2007-03-13",8.76
"49","2007-03-14",8.78
"50","2007-03-15",8.82
"51","2007-03-16",8.84
"52","2007-03-19",8.66
"53","2007-03-20",8.35
"54","2007-03-21",8.31
"55","2007-03-22",8.02
"56","2007-03-23",7.9
"57","2007-03-26",8
"58","2007-03-27",7.97
"59","2007-03-28",8.04
"60","2007-03-29",7.97
"61","2007-03-30",8
"62","2007-04-02",8.11
"63","2007-04-03",8.01
"64","2007-04-04",8
"65","2007-04-05",8.1
"66","2007-04-09",7.95
"67","2007-04-10",8.19
"68","2007-04-11",8.22
"69","2007-04-12",8.14
"70","2007-04-13",8.13
"71","2007-04-16",8.15
"72","2007-04-17",8
"73","2007-04-18",8.09
"74","2007-04-19",8.01
"75","2007-04-20",7.94
"76","2007-04-23",8.05
"77","2007-04-24",8.04
"78","2007-04-25",8.05
"79","2007-04-26",8
"80","2007-04-27",7.91
"81","2007-04-30",7.97
"82","2007-05-01",7.88
"83","2007-05-02",7.97
"84","2007-05-03",7.97
"85","2007-05-04",7.92
"86","2007-05-07",7.9
"87","2007-05-08",7.88
"88","2007-05-09",7.94
"89","2007-05-10",7.63
"90","2007-05-11",7.79
"91","2007-05-14",7.8
"92","2007-05-15",7.74
"93","2007-05-16",7.67
"94","2007-05-17",7.72
"95","2007-05-18",7.72
"96","2007-05-21",7.72
"97","2007-05-22",7.41
"98","2007-05-23",7.41
"99","2007-05-24",7.51
"100","2007-05-25",7.67
"101","2007-05-29",7.59
"102","2007-05-30",7.59
"103","2007-05-31",7.75
