"","date","STOK"
"1","2019-06-19",25.57
"2","2019-06-20",26
"3","2019-06-21",27.290001
"4","2019-06-24",25.530001
"5","2019-06-25",25.99
"6","2019-06-26",26.41
"7","2019-06-27",28.860001
"8","2019-06-28",29.17
"9","2019-07-01",28.870001
"10","2019-07-02",28.59
"11","2019-07-03",28.15
"12","2019-07-05",28
"13","2019-07-08",27.290001
"14","2019-07-09",26.65
"15","2019-07-10",26.709999
"16","2019-07-11",27.85
"17","2019-07-12",26.98
"18","2019-07-15",26.219999
"19","2019-07-16",26.379999
"20","2019-07-17",24.559999
"21","2019-07-18",23.889999
"22","2019-07-19",23.450001
"23","2019-07-22",23
"24","2019-07-23",25.5
"25","2019-07-24",25.07
"26","2019-07-25",23.24
"27","2019-07-26",23.889999
"28","2019-07-29",23.65
"29","2019-07-30",24.370001
"30","2019-07-31",24.639999
"31","2019-08-01",25.65
"32","2019-08-02",26.35
"33","2019-08-05",25.309999
"34","2019-08-06",26.450001
"35","2019-08-07",26.85
"36","2019-08-08",27.98
"37","2019-08-09",28.780001
"38","2019-08-12",28.190001
"39","2019-08-13",30
"40","2019-08-14",30.27
"41","2019-08-15",30
"42","2019-08-16",30.870001
"43","2019-08-19",31.6
"44","2019-08-20",32.630001
"45","2019-08-21",31.92
"46","2019-08-22",31.92
"47","2019-08-23",31.82
"48","2019-08-26",35.029999
"49","2019-08-27",33.16
"50","2019-08-28",34.869999
"51","2019-08-29",37.400002
"52","2019-08-30",37.439999
"53","2019-09-03",37.720001
"54","2019-09-04",36.09
"55","2019-09-05",36.509998
"56","2019-09-06",35.549999
"57","2019-09-09",33.48
"58","2019-09-10",28.799999
"59","2019-09-11",28.5
"60","2019-09-12",27.59
"61","2019-09-13",26.59
"62","2019-09-16",23.629999
"63","2019-09-17",24.25
"64","2019-09-18",22.809999
"65","2019-09-19",22.049999
"66","2019-09-20",23.110001
"67","2019-09-23",25.440001
"68","2019-09-24",24.92
"69","2019-09-25",22.790001
"70","2019-09-26",21.389999
"71","2019-09-27",20.530001
"72","2019-09-30",21.49
"73","2019-10-01",22.059999
"74","2019-10-02",21.68
"75","2019-10-03",21.860001
"76","2019-10-04",21.77
"77","2019-10-07",21.290001
"78","2019-10-08",21.530001
"79","2019-10-09",20.01
"80","2019-10-10",20.700001
"81","2019-10-11",20.9
"82","2019-10-14",20.459999
"83","2019-10-15",21.809999
"84","2019-10-16",22.25
"85","2019-10-17",22.280001
"86","2019-10-18",22.309999
"87","2019-10-21",22.719999
"88","2019-10-22",22.959999
"89","2019-10-23",22.709999
"90","2019-10-24",22.860001
"91","2019-10-25",24.93
"92","2019-10-28",25.85
"93","2019-10-29",29.799999
"94","2019-10-30",29.02
"95","2019-10-31",28.34
"96","2019-11-01",28.709999
"97","2019-11-04",30.469999
"98","2019-11-05",30.790001
"99","2019-11-06",28.82
"100","2019-11-07",28.17
"101","2019-11-08",29.870001
"102","2019-11-11",29.790001
"103","2019-11-12",27.41
"104","2019-11-13",26.49
"105","2019-11-14",25.91
"106","2019-11-15",23.32
"107","2019-11-18",23.74
"108","2019-11-19",23.860001
"109","2019-11-20",24.1
"110","2019-11-21",22.799999
"111","2019-11-22",22.49
"112","2019-11-25",23.889999
"113","2019-11-26",24.76
"114","2019-11-27",24.959999
"115","2019-11-29",24.5
"116","2019-12-02",25.5
"117","2019-12-03",24.4
"118","2019-12-04",25.219999
"119","2019-12-05",25.030001
"120","2019-12-06",28.98
"121","2019-12-09",27.110001
"122","2019-12-10",25.370001
"123","2019-12-11",23.17
"124","2019-12-12",23.82
"125","2019-12-13",24.16
"126","2019-12-16",24.98
"127","2019-12-17",26.77
"128","2019-12-18",27.610001
"129","2019-12-19",28.08
"130","2019-12-20",29.34
"131","2019-12-23",26.870001
"132","2019-12-24",28.6
"133","2019-12-26",27.24
"134","2019-12-27",26.58
"135","2019-12-30",27.559999
"136","2019-12-31",28.32
"137","2020-01-02",26.540001
"138","2020-01-03",25.02
"139","2020-01-06",24.700001
"140","2020-01-07",24.610001
"141","2020-01-08",25.76
"142","2020-01-09",25.4
"143","2020-01-10",25.33
"144","2020-01-13",24.08
"145","2020-01-14",23.389999
"146","2020-01-15",23.52
"147","2020-01-16",23.690001
"148","2020-01-17",23.549999
"149","2020-01-21",23.35
"150","2020-01-22",23.9
"151","2020-01-23",25.26
"152","2020-01-24",23.66
"153","2020-01-27",23.42
"154","2020-01-28",23.469999
"155","2020-01-29",23.9
"156","2020-01-30",27.860001
"157","2020-01-31",27.959999
"158","2020-02-03",27.4
"159","2020-02-04",28.700001
"160","2020-02-05",28.08
"161","2020-02-06",28.99
"162","2020-02-07",28.040001
