"","date","BSTC"
"1","2007-01-03",4.1
"2","2007-01-04",4.15
"3","2007-01-05",4.5
"4","2007-01-08",4.5
"5","2007-01-09",4.5
"6","2007-01-10",4.5
"7","2007-01-11",4.5
"8","2007-01-12",4.5
"9","2007-01-16",4.5
"10","2007-01-17",4.5
"11","2007-01-18",4.5
"12","2007-01-19",4.5
"13","2007-01-22",4.5
"14","2007-01-23",4.65
"15","2007-01-24",4.5
"16","2007-01-25",4.5
"17","2007-01-26",4.5
"18","2007-01-29",4.2
"19","2007-01-30",4.4
"20","2007-01-31",4.5
"21","2007-02-01",4.35
"22","2007-02-02",4.35
"23","2007-02-05",4.5
"24","2007-02-06",4.5
"25","2007-02-07",4.5
"26","2007-02-08",4.45
"27","2007-02-09",4.5
"28","2007-02-12",4.5
"29","2007-02-13",4.5
"30","2007-02-14",4.5
"31","2007-02-15",4.35
"32","2007-02-16",4.35
"33","2007-02-20",4.35
"34","2007-02-21",4.25
"35","2007-02-22",4.25
"36","2007-02-23",4.25
"37","2007-02-26",4.5
"38","2007-02-27",4.2
"39","2007-02-28",4.2
"40","2007-03-01",4.1
"41","2007-03-02",4
"42","2007-03-05",4.1
"43","2007-03-06",4.15
"44","2007-03-07",4.15
"45","2007-03-08",4.3
"46","2007-03-09",4.15
"47","2007-03-12",4.38
"48","2007-03-13",4.3
"49","2007-03-14",4.35
"50","2007-03-15",4.45
"51","2007-03-16",4.45
"52","2007-03-19",4.1
"53","2007-03-20",4.35
"54","2007-03-21",4.35
"55","2007-03-22",4.4
"56","2007-03-23",4.4
"57","2007-03-26",4.4
"58","2007-03-27",4.4
"59","2007-03-28",4.45
"60","2007-03-29",4.4
"61","2007-03-30",4.4
"62","2007-04-02",4.1
"63","2007-04-03",4.1
"64","2007-04-04",4.1
"65","2007-04-05",4.5
"66","2007-04-09",4.5
"67","2007-04-10",4.5
"68","2007-04-11",4.6
"69","2007-04-12",4.4
"70","2007-04-13",4.5
"71","2007-04-16",4.5
"72","2007-04-17",4.5
"73","2007-04-18",4.6
"74","2007-04-19",4.6
"75","2007-04-20",4.6
"76","2007-04-23",4.6
"77","2007-04-24",4.6
"78","2007-04-25",4.6
"79","2007-04-26",4.6
"80","2007-04-27",4.6
"81","2007-04-30",4.6
"82","2007-05-01",4.5
"83","2007-05-02",4.5
"84","2007-05-03",4.5
"85","2007-05-04",4.5
"86","2007-05-07",4.5
"87","2007-05-08",4.25
"88","2007-05-09",4.6
"89","2007-05-10",4.5
"90","2007-05-11",4.5
"91","2007-05-14",4.45
"92","2007-05-15",4.55
"93","2007-05-16",4.55
"94","2007-05-17",4.6
"95","2007-05-18",4.65
"96","2007-05-21",4.65
"97","2007-05-22",4.65
"98","2007-05-23",4.65
"99","2007-05-24",4.65
"100","2007-05-25",4.65
"101","2007-05-29",4.55
"102","2007-05-30",4.55
"103","2007-05-31",4.55
"104","2007-06-01",4.55
"105","2007-06-04",4.6
"106","2007-06-05",4.6
"107","2007-06-06",4.6
"108","2007-06-07",4.55
"109","2007-06-08",4.6
"110","2007-06-11",4.5
"111","2007-06-12",4.5
"112","2007-06-13",4.55
"113","2007-06-14",4.6
"114","2007-06-15",4.5
"115","2007-06-18",4.55
"116","2007-06-19",4.63
"117","2007-06-20",4.63
"118","2007-06-21",4.63
"119","2007-06-22",4.63
"120","2007-06-25",4.63
"121","2007-06-26",4.63
"122","2007-06-27",4.7
"123","2007-06-28",4.7
"124","2007-06-29",4.65
"125","2007-07-02",4.5
"126","2007-07-03",4.5
"127","2007-07-05",4.5
"128","2007-07-06",4.5
"129","2007-07-09",4.6
"130","2007-07-10",4.6
"131","2007-07-11",4.6
"132","2007-07-12",4.55
"133","2007-07-13",4.6
"134","2007-07-16",4.6
"135","2007-07-17",4.6
"136","2007-07-18",4.6
"137","2007-07-19",4.6
"138","2007-07-20",4.65
"139","2007-07-23",4.65
"140","2007-07-24",4.65
"141","2007-07-25",4.65
