"","date","GTS"
"1","2007-12-07",15.15
"2","2007-12-10",15.87
"3","2007-12-11",17.41
"4","2007-12-12",18.08
"5","2007-12-13",18.4
"6","2007-12-14",18.5
"7","2007-12-17",18.35
"8","2007-12-18",19.15
"9","2007-12-19",19.120001
"10","2007-12-20",19.030001
"11","2007-12-21",19.1
"12","2007-12-24",20.799999
"13","2007-12-26",20.139999
"14","2007-12-27",20.25
"15","2007-12-28",20.33
"16","2007-12-31",20.209999
"17","2008-01-02",20
"18","2008-01-03",19.49
"19","2008-01-04",18.84
"20","2008-01-07",18.549999
"21","2008-01-08",18.98
"22","2008-01-09",18.700001
"23","2008-01-10",18.610001
"24","2008-01-11",18.549999
"25","2008-01-14",18.5
"26","2008-01-15",18.98
"27","2008-01-16",19.75
"28","2008-01-17",19.200001
"29","2008-01-18",19.16
"30","2008-01-22",18.66
"31","2008-01-23",19
"32","2008-01-24",19.59
"33","2008-01-25",19.49
"34","2008-01-28",19.35
"35","2008-01-29",19.200001
"36","2008-01-30",19.110001
"37","2008-01-31",19.01
"38","2008-02-01",19.280001
"39","2008-02-04",19.209999
"40","2008-02-05",19.1
"41","2008-02-06",19.1
"42","2008-02-07",19
"43","2008-02-08",18.98
"44","2008-02-11",19.719999
"45","2008-02-12",20.049999
"46","2008-02-13",20
"47","2008-02-14",20.41
"48","2008-02-15",20.65
"49","2008-02-19",20.799999
"50","2008-02-20",20.65
"51","2008-02-21",20.5
"52","2008-02-22",20.5
"53","2008-02-25",20.67
"54","2008-02-26",20.1
"55","2008-02-27",20.59
"56","2008-02-28",20.639999
"57","2008-02-29",20.200001
"58","2008-03-03",21.290001
"59","2008-03-04",21.18
"60","2008-03-05",20.889999
"61","2008-03-06",20.639999
"62","2008-03-07",20.299999
"63","2008-03-10",20.049999
"64","2008-03-11",18.75
"65","2008-03-12",18.6
"66","2008-03-13",19.200001
"67","2008-03-14",18.549999
"68","2008-03-17",17.9
"69","2008-03-18",18
"70","2008-03-19",18.41
"71","2008-03-20",17.85
"72","2008-03-24",18.879999
"73","2008-03-25",18.83
"74","2008-03-26",19.42
"75","2008-03-27",18.969999
"76","2008-03-28",18.16
"77","2008-03-31",17.65
"78","2008-04-01",17.42
"79","2008-04-02",17.65
"80","2008-04-03",17.26
"81","2008-04-04",17.75
"82","2008-04-07",17.4
"83","2008-04-08",18.129999
"84","2008-04-09",18.08
"85","2008-04-10",18.219999
"86","2008-04-11",17.959999
"87","2008-04-14",18.290001
"88","2008-04-15",17.98
"89","2008-04-16",18.190001
"90","2008-04-17",18.25
