"","date","BSM"
"228","2016-03-24",13.98
"229","2016-03-28",13.59
"230","2016-03-29",13.97
"231","2016-03-30",13.91
"232","2016-03-31",14.01
"233","2016-04-01",13.87
"234","2016-04-04",13.75
"235","2016-04-05",13.78
"236","2016-04-06",13.97
"237","2016-04-07",14.02
"238","2016-04-08",14.65
"239","2016-04-11",14.72
"240","2016-04-12",14.82
"241","2016-04-13",14.85
"242","2016-04-14",14.76
"243","2016-04-15",14.36
"244","2016-04-18",14.91
"245","2016-04-19",15
"246","2016-04-20",15.73
"247","2016-04-21",15.61
"248","2016-04-22",16.18
"249","2016-04-25",16
"250","2016-04-26",16.02
"251","2016-04-27",16.51
"252","2016-04-28",16.82
"253","2016-04-29",16.74
"254","2016-05-02",16.25
"255","2016-05-03",15.91
"256","2016-05-04",15.95
"257","2016-05-05",16.77
"258","2016-05-06",17.01
"259","2016-05-09",16.450001
"260","2016-05-10",16.58
"261","2016-05-11",16.41
"262","2016-05-12",16.059999
"263","2016-05-13",15.71
"264","2016-05-16",15.99
"265","2016-05-17",15.99
"266","2016-05-18",15.57
"267","2016-05-19",15.44
"268","2016-05-20",15.39
"269","2016-05-23",15.49
"270","2016-05-24",15.46
"271","2016-05-25",15.4
"272","2016-05-26",15.9
"273","2016-05-27",15.48
"274","2016-05-31",15.37
"275","2016-06-01",15.39
"276","2016-06-02",15.46
"277","2016-06-03",15.6
"278","2016-06-06",15.62
"279","2016-06-07",16
"280","2016-06-08",15.87
"281","2016-06-09",15.75
"282","2016-06-10",15.58
"283","2016-06-13",15.1
"284","2016-06-14",15.09
"285","2016-06-15",15.01
"286","2016-06-16",15.07
"287","2016-06-17",15.14
"288","2016-06-20",15.27
"289","2016-06-21",15.16
"290","2016-06-22",15.14
"291","2016-06-23",15.07
"292","2016-06-24",15.01
"293","2016-06-27",14.3
"294","2016-06-28",15.08
"295","2016-06-29",15.79
"296","2016-06-30",15.5
"297","2016-07-01",15.32
"298","2016-07-05",14.97
"299","2016-07-06",15
"300","2016-07-07",15.33
"301","2016-07-08",15.45
"302","2016-07-11",15.53
"303","2016-07-12",15.77
"304","2016-07-13",15.44
"305","2016-07-14",15.25
"306","2016-07-15",15.19
"307","2016-07-18",15.16
"308","2016-07-19",15.07
"309","2016-07-20",15.28
"310","2016-07-21",15.33
"311","2016-07-22",15.58
"312","2016-07-25",15.3
"313","2016-07-26",15.46
"314","2016-07-27",15.71
"315","2016-07-28",15.6
"316","2016-07-29",15.61
"317","2016-08-01",15.14
"318","2016-08-02",15.61
"319","2016-08-03",15.71
"320","2016-08-04",16.15
"321","2016-08-05",16.75
"322","2016-08-08",16.67
"323","2016-08-09",16.440001
"324","2016-08-10",16.1
"325","2016-08-11",16.049999
"326","2016-08-12",16.040001
"327","2016-08-15",16.02
"328","2016-08-16",15.71
"329","2016-08-17",15.35
"330","2016-08-18",15.78
"331","2016-08-19",15.78
"332","2016-08-22",15.62
"333","2016-08-23",15.7
"334","2016-08-24",15.59
"335","2016-08-25",15.92
"336","2016-08-26",15.76
"337","2016-08-29",15.95
"338","2016-08-30",16.18
"339","2016-08-31",16.200001
"340","2016-09-01",16.459999
"341","2016-09-02",16.75
"342","2016-09-06",17.48
"343","2016-09-07",17.790001
"344","2016-09-08",18.43
"345","2016-09-09",18.18
"346","2016-09-12",18.809999
"347","2016-09-13",18.32
"348","2016-09-14",18.42
"349","2016-09-15",18.879999
"350","2016-09-16",17.42
"351","2016-09-19",17.620001
"352","2016-09-20",17.76
"353","2016-09-21",17.65
"354","2016-09-22",17.76
"355","2016-09-23",17.51
"356","2016-09-26",17.530001
"357","2016-09-27",17.030001
