"","date","MXIM"
"1","2007-01-03",31.16
"2","2007-01-04",31.82
"3","2007-01-05",31.309999
"4","2007-01-08",31.59
"5","2007-01-09",32.400002
"6","2007-01-10",32.830002
"7","2007-01-11",32.720001
"8","2007-01-12",33.630001
"9","2007-01-16",33.130001
"10","2007-01-17",33.07
"11","2007-01-18",31.52
"12","2007-01-19",31.6
"13","2007-01-22",31.26
"14","2007-01-23",31.08
"15","2007-01-24",31.309999
"16","2007-01-25",31.200001
"17","2007-01-26",31.4
"18","2007-01-29",31.17
"19","2007-01-30",31.07
"20","2007-01-31",30.799999
"21","2007-02-01",32
"22","2007-02-02",32.43
"23","2007-02-05",32.419998
"24","2007-02-06",31.700001
"25","2007-02-07",31.950001
"26","2007-02-08",31.110001
"27","2007-02-09",30.52
"28","2007-02-12",30.18
"29","2007-02-13",30.48
"30","2007-02-14",31.049999
"31","2007-02-15",31
"32","2007-02-16",30.84
"33","2007-02-20",30.99
"34","2007-02-21",31.139999
"35","2007-02-22",33.59
"36","2007-02-23",33.400002
"37","2007-02-26",33.130001
"38","2007-02-27",32.099998
"39","2007-02-28",32.75
"40","2007-03-01",32.66
"41","2007-03-02",31.58
"42","2007-03-05",31.67
"43","2007-03-06",32.23
"44","2007-03-07",31.84
"45","2007-03-08",32.549999
"46","2007-03-09",33.02
"47","2007-03-12",33.02
"48","2007-03-13",32.25
"49","2007-03-14",32.169998
"50","2007-03-15",32.16
"51","2007-03-16",31.9
"52","2007-03-19",31.709999
"53","2007-03-20",31.75
"54","2007-03-21",32.200001
"55","2007-03-22",31.33
"56","2007-03-23",31.42
"57","2007-03-26",31.27
"58","2007-03-27",30.98
"59","2007-03-28",30.450001
"60","2007-03-29",29.74
"61","2007-03-30",29.4
"62","2007-04-02",28.99
"63","2007-04-03",29.16
"64","2007-04-04",29.51
"65","2007-04-05",29.700001
"66","2007-04-09",29.15
"67","2007-04-10",29.129999
"68","2007-04-11",28.860001
"69","2007-04-12",29.110001
"70","2007-04-13",28.99
"71","2007-04-16",29.040001
"72","2007-04-17",29.1
"73","2007-04-18",30.809999
"74","2007-04-19",31.469999
"75","2007-04-20",31.52
"76","2007-04-23",31.4
"77","2007-04-24",32.360001
"78","2007-04-25",32.91
"79","2007-04-26",32.810001
"80","2007-04-27",32.389999
"81","2007-04-30",31.719999
"82","2007-05-01",31.93
"83","2007-05-02",32.34
"84","2007-05-03",32.189999
"85","2007-05-04",32.389999
"86","2007-05-07",32.150002
"87","2007-05-08",31.75
"88","2007-05-09",32.48
"89","2007-05-10",31.66
"90","2007-05-11",32.509998
