"","date","FFG"
"1","2007-01-03",39.5
"2","2007-01-04",39.860001
"3","2007-01-05",38.419998
"4","2007-01-08",38.41
"5","2007-01-09",38.549999
"6","2007-01-10",37.709999
"7","2007-01-11",37.93
"8","2007-01-12",37.860001
"9","2007-01-16",38.349998
"10","2007-01-17",37.619999
"11","2007-01-18",38
"12","2007-01-19",38.5
"13","2007-01-22",38.700001
"14","2007-01-23",38.959999
"15","2007-01-24",39.450001
"16","2007-01-25",37.41
"17","2007-01-26",38.07
"18","2007-01-29",38.419998
"19","2007-01-30",38.790001
"20","2007-01-31",38.810001
"21","2007-02-01",39.34
"22","2007-02-02",39.240002
"23","2007-02-05",38.990002
"24","2007-02-06",39.41
"25","2007-02-07",40.16
"26","2007-02-08",40.82
"27","2007-02-09",39.200001
"28","2007-02-12",39.869999
"29","2007-02-13",40.52
"30","2007-02-14",40.200001
"31","2007-02-15",39.77
"32","2007-02-16",39.720001
"33","2007-02-20",40.360001
"34","2007-02-21",39.799999
"35","2007-02-22",40.040001
"36","2007-02-23",40.119999
"37","2007-02-26",40.849998
"38","2007-02-27",39.599998
"39","2007-02-28",38.939999
"40","2007-03-01",38.509998
"41","2007-03-02",37.610001
"42","2007-03-05",38.049999
"43","2007-03-06",38.610001
"44","2007-03-07",38.189999
"45","2007-03-08",38.240002
"46","2007-03-09",38.66
"47","2007-03-12",38.790001
"48","2007-03-13",37.029999
"49","2007-03-14",37.32
"50","2007-03-15",37.389999
"51","2007-03-16",36.98
"52","2007-03-19",38.169998
"53","2007-03-20",38.18
"54","2007-03-21",39.299999
"55","2007-03-22",39.43
"56","2007-03-23",39.419998
"57","2007-03-26",39.349998
"58","2007-03-27",39.220001
"59","2007-03-28",39.029999
"60","2007-03-29",38.619999
"61","2007-03-30",39.130001
"62","2007-04-02",38.490002
"63","2007-04-03",38.990002
"64","2007-04-04",39.169998
"65","2007-04-05",39.02
"66","2007-04-09",38.43
"67","2007-04-10",38.369999
"68","2007-04-11",38.099998
"69","2007-04-12",38.209999
"70","2007-04-13",38.459999
"71","2007-04-16",40.02
"72","2007-04-17",39.540001
"73","2007-04-18",39.200001
"74","2007-04-19",38.919998
"75","2007-04-20",39.810001
"76","2007-04-23",39.470001
"77","2007-04-24",39.43
"78","2007-04-25",39.98
"79","2007-04-26",40.400002
"80","2007-04-27",40.200001
"81","2007-04-30",38.740002
"82","2007-05-01",39.52
"83","2007-05-02",39.860001
"84","2007-05-03",40.09
"85","2007-05-04",40.209999
"86","2007-05-07",40.02
"87","2007-05-08",39.25
"88","2007-05-09",39.57
"89","2007-05-10",39.23
"90","2007-05-11",38.77
"91","2007-05-14",39
"92","2007-05-15",38.650002
"93","2007-05-16",39.099998
"94","2007-05-17",38.73
"95","2007-05-18",40.099998
"96","2007-05-21",39.650002
"97","2007-05-22",39.810001
"98","2007-05-23",38.970001
"99","2007-05-24",38.41
"100","2007-05-25",38.84
"101","2007-05-29",38.389999
"102","2007-05-30",37.16
"103","2007-05-31",38.48
"104","2007-06-01",39.380001
"105","2007-06-04",39.52
"106","2007-06-05",39
