"","date","TSLA"
"1","2010-06-29",4.778
"2","2010-06-30",4.766
"3","2010-07-01",4.392
"4","2010-07-02",3.84
"5","2010-07-06",3.222
"6","2010-07-07",3.16
"7","2010-07-08",3.492
"8","2010-07-09",3.48
"9","2010-07-12",3.41
"10","2010-07-13",3.628
"11","2010-07-14",3.968
"12","2010-07-15",3.978
"13","2010-07-16",4.128
"14","2010-07-19",4.382
"15","2010-07-20",4.06
"16","2010-07-21",4.044
"17","2010-07-22",4.2
"18","2010-07-23",4.258
"19","2010-07-26",4.19
"20","2010-07-27",4.11
"21","2010-07-28",4.144
"22","2010-07-29",4.07
"23","2010-07-30",3.988
"24","2010-08-02",4.184
"25","2010-08-03",4.39
"26","2010-08-04",4.252
"27","2010-08-05",4.09
"28","2010-08-06",3.918
"29","2010-08-09",3.92
"30","2010-08-10",3.806
"31","2010-08-11",3.58
"32","2010-08-12",3.52
"33","2010-08-13",3.664
"34","2010-08-16",3.756
"35","2010-08-17",3.83
"36","2010-08-18",3.754
"37","2010-08-19",3.758
"38","2010-08-20",3.82
"39","2010-08-23",4.026
"40","2010-08-24",3.84
"41","2010-08-25",3.98
"42","2010-08-26",3.95
"43","2010-08-27",3.94
"44","2010-08-30",3.974
"45","2010-08-31",3.896
"46","2010-09-01",4.09
"47","2010-09-02",4.212
"48","2010-09-03",4.21
"49","2010-09-07",4.108
"50","2010-09-08",4.18
"51","2010-09-09",4.142
"52","2010-09-10",4.034
"53","2010-09-13",4.144
"54","2010-09-14",4.224
"55","2010-09-15",4.396
"56","2010-09-16",4.188
"57","2010-09-17",4.046
"58","2010-09-20",4.212
"59","2010-09-21",4.154
"60","2010-09-22",3.974
"61","2010-09-23",3.912
"62","2010-09-24",4.02
"63","2010-09-27",4.106
"64","2010-09-28",4.28
"65","2010-09-29",4.396
"66","2010-09-30",4.082
"67","2010-10-01",4.12
"68","2010-10-04",4.198
"69","2010-10-05",4.224
"70","2010-10-06",4.092
"71","2010-10-07",4.086
"72","2010-10-08",4.086
"73","2010-10-11",4.048
"74","2010-10-12",4.048
"75","2010-10-13",4.108
"76","2010-10-14",4.15
"77","2010-10-15",4.108
"78","2010-10-18",4.046
"79","2010-10-19",4.01
"80","2010-10-20",4.13
"81","2010-10-21",4.15
"82","2010-10-22",4.144
"83","2010-10-25",4.17
"84","2010-10-26",4.272
"85","2010-10-27",4.2
"86","2010-10-28",4.238
"87","2010-10-29",4.368
"88","2010-11-01",4.282
"89","2010-11-02",4.25
"90","2010-11-03",4.354
"91","2010-11-04",4.98
"92","2010-11-05",4.888
"93","2010-11-08",4.996
"94","2010-11-09",4.926
"95","2010-11-10",5.872
"96","2010-11-11",5.608
"97","2010-11-12",5.968
"98","2010-11-15",6.16
"99","2010-11-16",5.934
"100","2010-11-17",5.898
"101","2010-11-18",5.978
"102","2010-11-19",6.198
"103","2010-11-22",6.68
"104","2010-11-23",6.914
"105","2010-11-24",7.094
"106","2010-11-26",7.064
"107","2010-11-29",6.866
"108","2010-11-30",7.066
"109","2010-12-01",6.87
"110","2010-12-02",6.47
"111","2010-12-03",6.298
"112","2010-12-06",6.062
"113","2010-12-07",6.312
"114","2010-12-08",6.474
"115","2010-12-09",6.41
"116","2010-12-10",6.304
"117","2010-12-13",6.11
"118","2010-12-14",5.706
"119","2010-12-15",5.92
"120","2010-12-16",6.162
"121","2010-12-17",6.272
"122","2010-12-20",6.34
"123","2010-12-21",6.452
"124","2010-12-22",6.526
"125","2010-12-23",6.018
"126","2010-12-27",5.11
"127","2010-12-28",5.282
"128","2010-12-29",5.546
"129","2010-12-30",5.3
"130","2010-12-31",5.326
"131","2011-01-03",5.324
"132","2011-01-04",5.334
"133","2011-01-05",5.366
"134","2011-01-06",5.576
"135","2011-01-07",5.648
"136","2011-01-10",5.69
"137","2011-01-11",5.392
"138","2011-01-12",5.392
"139","2011-01-13",5.244
"140","2011-01-14",5.15
"141","2011-01-18",5.128
"142","2011-01-19",4.806
"143","2011-01-20",4.524
"144","2011-01-21",4.608
"145","2011-01-24",4.898
"146","2011-01-25",4.936
"147","2011-01-26",4.95
"148","2011-01-27",4.984
"149","2011-01-28",4.802
"150","2011-01-31",4.82
"151","2011-02-01",4.782
"152","2011-02-02",4.788
"153","2011-02-03",4.726
"154","2011-02-04",4.692
"155","2011-02-07",4.614
"156","2011-02-08",4.898
"157","2011-02-09",4.642
"158","2011-02-10",4.644
"159","2011-02-11",4.65
"160","2011-02-14",4.616
"161","2011-02-15",4.568
"162","2011-02-16",4.946
"163","2011-02-17",4.72
"164","2011-02-18",4.636
"165","2011-02-22",4.374
"166","2011-02-23",4.366
