"","date","SMP"
"1","2007-01-03",15.22
"2","2007-01-04",15.25
"3","2007-01-05",14.66
"4","2007-01-08",14.96
"5","2007-01-09",14.99
"6","2007-01-10",15.04
"7","2007-01-11",14.93
"8","2007-01-12",15.04
"9","2007-01-16",15.25
"10","2007-01-17",15.2
"11","2007-01-18",15.31
"12","2007-01-19",15.33
"13","2007-01-22",15.37
"14","2007-01-23",15.3
"15","2007-01-24",15.66
"16","2007-01-25",15.58
"17","2007-01-26",15.79
"18","2007-01-29",15.74
"19","2007-01-30",15.79
"20","2007-01-31",15.82
"21","2007-02-01",15.64
"22","2007-02-02",15.57
"23","2007-02-05",15.8
"24","2007-02-06",15.84
"25","2007-02-07",15.92
"26","2007-02-08",15.78
"27","2007-02-09",15.73
"28","2007-02-12",15.76
"29","2007-02-13",15.77
"30","2007-02-14",15.68
"31","2007-02-15",15.71
"32","2007-02-16",15.72
"33","2007-02-20",15.83
"34","2007-02-21",15.92
"35","2007-02-22",15.9
"36","2007-02-23",15.87
"37","2007-02-26",15.81
"38","2007-02-27",15.43
"39","2007-02-28",15.38
"40","2007-03-01",15.3
"41","2007-03-02",15.32
"42","2007-03-05",15.09
"43","2007-03-06",15.34
"44","2007-03-07",15.37
"45","2007-03-08",15.29
"46","2007-03-09",15.67
"47","2007-03-12",15.69
"48","2007-03-13",15.5
"49","2007-03-14",15.69
"50","2007-03-15",15.98
"51","2007-03-16",16.33
"52","2007-03-19",16.41
"53","2007-03-20",16.719999
"54","2007-03-21",16.879999
"55","2007-03-22",17.15
"56","2007-03-23",16.719999
"57","2007-03-26",17.15
"58","2007-03-27",17.209999
"59","2007-03-28",17.639999
"60","2007-03-29",18.26
"61","2007-03-30",17.07
"62","2007-04-02",17.709999
"63","2007-04-03",17.549999
"64","2007-04-04",17.629999
"65","2007-04-05",17.4
"66","2007-04-09",18.469999
"67","2007-04-10",18.57
"68","2007-04-11",18.889999
"69","2007-04-12",18.780001
"70","2007-04-13",18.75
"71","2007-04-16",18.459999
"72","2007-04-17",17.93
"73","2007-04-18",17.83
"74","2007-04-19",17.74
"75","2007-04-20",18.25
"76","2007-04-23",18.48
"77","2007-04-24",18.07
"78","2007-04-25",18.559999
"79","2007-04-26",18.389999
"80","2007-04-27",18.299999
"81","2007-04-30",18.33
"82","2007-05-01",18.57
"83","2007-05-02",19.32
"84","2007-05-03",19.299999
"85","2007-05-04",19.25
"86","2007-05-07",18.52
"87","2007-05-08",18.83
"88","2007-05-09",18.83
"89","2007-05-10",18.459999
"90","2007-05-11",18.09
"91","2007-05-14",17.09
"92","2007-05-15",16.309999
"93","2007-05-16",16.290001
"94","2007-05-17",15.75
"95","2007-05-18",15.92
"96","2007-05-21",16.01
"97","2007-05-22",15.81
"98","2007-05-23",16.190001
"99","2007-05-24",15.68
"100","2007-05-25",15.75
"101","2007-05-29",16.02
"102","2007-05-30",15.85
"103","2007-05-31",15.55
"104","2007-06-01",15.8
"105","2007-06-04",15.92
"106","2007-06-05",15.81
"107","2007-06-06",14.98
"108","2007-06-07",14.89
"109","2007-06-08",14.44
"110","2007-06-11",14.16
"111","2007-06-12",14.18
"112","2007-06-13",14.39
"113","2007-06-14",14.56
"114","2007-06-15",14.39
"115","2007-06-18",14.64
"116","2007-06-19",14.87
"117","2007-06-20",15.28
"118","2007-06-21",14.79
"119","2007-06-22",14.6
"120","2007-06-25",14.63
"121","2007-06-26",14.55
"122","2007-06-27",15.7
"123","2007-06-28",14.8
"124","2007-06-29",15.03
"125","2007-07-02",16.040001
"126","2007-07-03",16.190001
"127","2007-07-05",16.059999
"128","2007-07-06",15.95
"129","2007-07-09",15.57
"130","2007-07-10",15.39
"131","2007-07-11",15.62
"132","2007-07-12",15.99
"133","2007-07-13",15.97
"134","2007-07-16",15.82
"135","2007-07-17",15.68
"136","2007-07-18",15.23
"137","2007-07-19",15.27
"138","2007-07-20",14.81
"139","2007-07-23",14.74
"140","2007-07-24",14.2
"141","2007-07-25",14.19
"142","2007-07-26",13.02
"143","2007-07-27",12.91
"144","2007-07-30",12.63
"145","2007-07-31",12.45
"146","2007-08-01",12.39
"147","2007-08-02",11.83
"148","2007-08-03",11.42
"149","2007-08-06",8.62
"150","2007-08-07",8.22
"151","2007-08-08",8.09
"152","2007-08-09",7.54
"153","2007-08-10",8.1
"154","2007-08-13",8.28
"155","2007-08-14",8.09
"156","2007-08-15",8.18
"157","2007-08-16",8.26
"158","2007-08-17",8.58
"159","2007-08-20",9.01
"160","2007-08-21",8.87
"161","2007-08-22",9.45
"162","2007-08-23",9.52
"163","2007-08-24",9.86
"164","2007-08-27",9.94
"165","2007-08-28",9.69
"166","2007-08-29",9.98
"167","2007-08-30",9.88
"168","2007-08-31",9.79
"169","2007-09-04",9.55
"170","2007-09-05",9.11
"171","2007-09-06",8.99
"172","2007-09-07",8.66
"173","2007-09-10",8.51
"174","2007-09-11",8.73
"175","2007-09-12",8.57
"176","2007-09-13",8.81
"177","2007-09-14",9.68
"178","2007-09-17",9.5
"179","2007-09-18",10.11
"180","2007-09-19",9.82
"181","2007-09-20",9.48
"182","2007-09-21",9.66
"183","2007-09-24",9.75
"184","2007-09-25",9.32
"185","2007-09-26",9.65
"186","2007-09-27",9.55
"187","2007-09-28",9.4
"188","2007-10-01",9.95
"189","2007-10-02",10.15
"190","2007-10-03",9.66
"191","2007-10-04",9.55
"192","2007-10-05",9.72
"193","2007-10-08",9.43
"194","2007-10-09",9.77
"195","2007-10-10",9.58
"196","2007-10-11",9.5
"197","2007-10-12",9.48
"198","2007-10-15",9.08
"199","2007-10-16",8.93
"200","2007-10-17",9.07
"201","2007-10-18",9.1
"202","2007-10-19",8.67
"203","2007-10-22",8.45
"204","2007-10-23",8.35
"205","2007-10-24",8.04
"206","2007-10-25",8.01
"207","2007-10-26",8.12
"208","2007-10-29",8.66
"209","2007-10-30",8.68
"210","2007-10-31",8.36
"211","2007-11-01",7.9
"212","2007-11-02",8.14
"213","2007-11-05",8.07
"214","2007-11-06",7.9
"215","2007-11-07",7.87
"216","2007-11-08",8.07
"217","2007-11-09",7.94
"218","2007-11-12",7.93
"219","2007-11-13",7.98
"220","2007-11-14",7.88
"221","2007-11-15",7.78
"222","2007-11-16",7.7
"223","2007-11-19",7.57
"224","2007-11-20",7.58
"225","2007-11-21",7.56
"226","2007-11-23",7.69
"227","2007-11-26",7.38
"228","2007-11-27",7.53
"229","2007-11-28",8.01
"230","2007-11-29",7.6
"231","2007-11-30",7.41
"232","2007-12-03",7.5
"233","2007-12-04",7.42
"234","2007-12-05",7.47
"235","2007-12-06",7.9
"236","2007-12-07",8.23
"237","2007-12-10",8.25
"238","2007-12-11",8.02
"239","2007-12-12",8.1
"240","2007-12-13",8.12
