"","date","SBH"
"1","2007-01-03",7.76
"2","2007-01-04",7.75
"3","2007-01-05",7.59
"4","2007-01-08",7.76
"5","2007-01-09",7.57
"6","2007-01-10",7.66
"7","2007-01-11",7.75
"8","2007-01-12",7.7
"9","2007-01-16",7.9
"10","2007-01-17",7.71
"11","2007-01-18",7.68
"12","2007-01-19",8.03
"13","2007-01-22",7.88
"14","2007-01-23",8.12
"15","2007-01-24",8.4
"16","2007-01-25",8.38
"17","2007-01-26",8.38
"18","2007-01-29",8.77
"19","2007-01-30",8.61
"20","2007-01-31",8.8
"21","2007-02-01",8.84
"22","2007-02-02",8.81
"23","2007-02-05",8.89
"24","2007-02-06",9
"25","2007-02-07",9.4
"26","2007-02-08",9.52
"27","2007-02-09",9.45
"28","2007-02-12",9.29
"29","2007-02-13",9.27
"30","2007-02-14",9.5
"31","2007-02-15",9.44
"32","2007-02-16",9.47
"33","2007-02-20",9.25
"34","2007-02-21",9.05
"35","2007-02-22",9.12
"36","2007-02-23",9.15
"37","2007-02-26",9.14
"38","2007-02-27",9.05
"39","2007-02-28",9.05
"40","2007-03-01",8.85
"41","2007-03-02",8.78
"42","2007-03-05",8.52
"43","2007-03-06",9.21
"44","2007-03-07",9.3
"45","2007-03-08",9.52
"46","2007-03-09",9.4
"47","2007-03-12",9.59
"48","2007-03-13",9.5
"49","2007-03-14",9.59
"50","2007-03-15",9.68
"51","2007-03-16",9.41
"52","2007-03-19",9.35
"53","2007-03-20",9.11
"54","2007-03-21",9.29
"55","2007-03-22",9.28
"56","2007-03-23",9.24
"57","2007-03-26",9.03
"58","2007-03-27",9.12
"59","2007-03-28",9
"60","2007-03-29",9.17
"61","2007-03-30",9.19
"62","2007-04-02",9.18
"63","2007-04-03",9.09
"64","2007-04-04",8.78
"65","2007-04-05",9.05
"66","2007-04-09",9.08
"67","2007-04-10",9.14
"68","2007-04-11",9.07
"69","2007-04-12",9.06
"70","2007-04-13",9.04
"71","2007-04-16",8.93
"72","2007-04-17",8.87
"73","2007-04-18",8.92
"74","2007-04-19",8.93
"75","2007-04-20",9.3
"76","2007-04-23",9.25
"77","2007-04-24",9.38
"78","2007-04-25",9.6
"79","2007-04-26",9.66
"80","2007-04-27",9.74
"81","2007-04-30",9.82
"82","2007-05-01",9.76
"83","2007-05-02",9.9
