"","date","SCKT"
"1","2007-01-03",12.3
"2","2007-01-04",13
"3","2007-01-05",12.2
"4","2007-01-08",12.4
"5","2007-01-09",11.8
"6","2007-01-10",11.8
"7","2007-01-11",12.7
"8","2007-01-12",12.4
"9","2007-01-16",13
"10","2007-01-17",13.3
"11","2007-01-18",13.6
"12","2007-01-19",13
"13","2007-01-22",13.4
"14","2007-01-23",13.2
"15","2007-01-24",12.9
"16","2007-01-25",12.4
"17","2007-01-26",12.7
"18","2007-01-29",13.3
"19","2007-01-30",12.8
"20","2007-01-31",13.2
"21","2007-02-01",13.5
"22","2007-02-02",13.2
"23","2007-02-05",13.2
"24","2007-02-06",13.3
"25","2007-02-07",12.6
"26","2007-02-08",12.8
"27","2007-02-09",12.3
"28","2007-02-12",12.8
"29","2007-02-13",12.6
"30","2007-02-14",12.4
"31","2007-02-15",12.5
"32","2007-02-16",12
"33","2007-02-20",12.1
"34","2007-02-21",11.9
"35","2007-02-22",10.3
"36","2007-02-23",10.5
"37","2007-02-26",10
"38","2007-02-27",9.8
"39","2007-02-28",10.2
"40","2007-03-01",9.7
"41","2007-03-02",9.4
"42","2007-03-05",8.9
"43","2007-03-06",9.2
"44","2007-03-07",9.1
"45","2007-03-08",9
"46","2007-03-09",9
"47","2007-03-12",9
"48","2007-03-13",8.5
"49","2007-03-14",8.2
"50","2007-03-15",8.4
"51","2007-03-16",8.5
"52","2007-03-19",8.9
"53","2007-03-20",9.5
"54","2007-03-21",9.8
"55","2007-03-22",9.9
"56","2007-03-23",9.3
"57","2007-03-26",9.5
"58","2007-03-27",9.2
"59","2007-03-28",9.5
"60","2007-03-29",9.4
"61","2007-03-30",9.4
"62","2007-04-02",9.3
"63","2007-04-03",9.9
"64","2007-04-04",9.7
"65","2007-04-05",10
"66","2007-04-09",10
"67","2007-04-10",9.9
"68","2007-04-11",9.7
"69","2007-04-12",9.8
"70","2007-04-13",9.9
"71","2007-04-16",9.9
"72","2007-04-17",9.7
"73","2007-04-18",9.2
"74","2007-04-19",9.6
"75","2007-04-20",9.5
"76","2007-04-23",9.4
"77","2007-04-24",8.9
"78","2007-04-25",9.3
"79","2007-04-26",9.4
"80","2007-04-27",9.8
"81","2007-04-30",9.7
"82","2007-05-01",9.7
"83","2007-05-02",10
"84","2007-05-03",9.9
"85","2007-05-04",9.8
"86","2007-05-07",9.3
"87","2007-05-08",9.6
"88","2007-05-09",9.5
"89","2007-05-10",9.5
"90","2007-05-11",9.9
"91","2007-05-14",8.9
"92","2007-05-15",9.1
"93","2007-05-16",9.1
"94","2007-05-17",9
"95","2007-05-18",8.8
"96","2007-05-21",8.8
"97","2007-05-22",9.3
"98","2007-05-23",9.5
"99","2007-05-24",9.3
"100","2007-05-25",8.6
"101","2007-05-29",8.6
"102","2007-05-30",8.9
"103","2007-05-31",8.8
"104","2007-06-01",8.8
"105","2007-06-04",8.6
"106","2007-06-05",8.5
"107","2007-06-06",9
"108","2007-06-07",8.6
