"","date","OIS"
"1","2007-01-03",17.142857
"2","2007-01-04",16.417143
"3","2007-01-05",16.24
"4","2007-01-08",16.24
"5","2007-01-09",16.142857
"6","2007-01-10",15.765715
"7","2007-01-11",15.474286
"8","2007-01-12",16.125713
"9","2007-01-16",15.628572
"10","2007-01-17",15.862857
"11","2007-01-18",15.485714
"12","2007-01-19",15.782857
"13","2007-01-22",15.588572
"14","2007-01-23",16.217142
"15","2007-01-24",16.457144
"16","2007-01-25",15.925714
"17","2007-01-26",15.914286
"18","2007-01-29",15.845715
"19","2007-01-30",16.537144
"20","2007-01-31",16.468571
"21","2007-02-01",16.502857
"22","2007-02-02",16.571428
"23","2007-02-05",16.405714
"24","2007-02-06",16.548571
"25","2007-02-07",16.48
"26","2007-02-08",17.154285
"27","2007-02-09",16.84
"28","2007-02-12",16.628571
"29","2007-02-13",16.982857
"30","2007-02-14",16.639999
"31","2007-02-15",16.462856
"32","2007-02-16",16.559999
"33","2007-02-20",16.451429
"34","2007-02-21",16.754286
"35","2007-02-22",17.114286
"36","2007-02-23",17
"37","2007-02-26",17.102858
"38","2007-02-27",16.657143
"39","2007-02-28",16.748571
"40","2007-03-01",17.08
"41","2007-03-02",16.765715
"42","2007-03-05",16.554285
"43","2007-03-06",16.731428
"44","2007-03-07",17.131428
"45","2007-03-08",17.125713
"46","2007-03-09",17.125713
"47","2007-03-12",17.040001
"48","2007-03-13",16.799999
"49","2007-03-14",17.051428
"50","2007-03-15",16.908571
"51","2007-03-16",16.748571
"52","2007-03-19",17.559999
"53","2007-03-20",17.382856
"54","2007-03-21",17.931429
"55","2007-03-22",18.211428
"56","2007-03-23",18.102858
"57","2007-03-26",18.120001
"58","2007-03-27",17.965714
"59","2007-03-28",17.817142
"60","2007-03-29",18.582857
"61","2007-03-30",18.337143
"62","2007-04-02",18.559999
"63","2007-04-03",18.365715
"64","2007-04-04",18.302856
"65","2007-04-05",18.382856
"66","2007-04-09",18.754286
"67","2007-04-10",18.891428
"68","2007-04-11",18.662857
"69","2007-04-12",19.268572
"70","2007-04-13",19.468571
