"","date","AMP"
"1","2007-01-03",55.220001
"2","2007-01-04",55.580002
"3","2007-01-05",55.5
"4","2007-01-08",56.189999
"5","2007-01-09",56.529999
"6","2007-01-10",56.759998
"7","2007-01-11",57.810001
"8","2007-01-12",57.98
"9","2007-01-16",58.07
"10","2007-01-17",58.040001
"11","2007-01-18",57.650002
"12","2007-01-19",57.599998
"13","2007-01-22",56.91
"14","2007-01-23",57.599998
"15","2007-01-24",58.860001
"16","2007-01-25",57.450001
"17","2007-01-26",58.48
"18","2007-01-29",57.529999
"19","2007-01-30",58.73
"20","2007-01-31",58.959999
"21","2007-02-01",59.040001
"22","2007-02-02",59.759998
"23","2007-02-05",59.990002
"24","2007-02-06",61.209999
"25","2007-02-07",61.369999
"26","2007-02-08",61.330002
"27","2007-02-09",60.099998
"28","2007-02-12",60.25
"29","2007-02-13",61.119999
"30","2007-02-14",62.560001
"31","2007-02-15",62.240002
"32","2007-02-16",62.360001
"33","2007-02-20",62.900002
"34","2007-02-21",62.740002
"35","2007-02-22",62.919998
"36","2007-02-23",62.630001
"37","2007-02-26",61.34
"38","2007-02-27",58.130001
"39","2007-02-28",58.450001
"40","2007-03-01",58.099998
"41","2007-03-02",57.16
"42","2007-03-05",55.889999
"43","2007-03-06",57.900002
"44","2007-03-07",57.43
"45","2007-03-08",58.23
"46","2007-03-09",58.389999
"47","2007-03-12",58.259998
"48","2007-03-13",54.540001
"49","2007-03-14",55.060001
"50","2007-03-15",55.509998
"51","2007-03-16",55.150002
"52","2007-03-19",57.52
"53","2007-03-20",57.66
"54","2007-03-21",59.259998
"55","2007-03-22",58.41
"56","2007-03-23",58.41
"57","2007-03-26",57.529999
"58","2007-03-27",57.52
"59","2007-03-28",56.630001
"60","2007-03-29",57.299999
"61","2007-03-30",57.139999
"62","2007-04-02",58.09
"63","2007-04-03",58
"64","2007-04-04",59.290001
"65","2007-04-05",59.540001
"66","2007-04-09",59.919998
"67","2007-04-10",59.84
"68","2007-04-11",59.580002
"69","2007-04-12",59.32
"70","2007-04-13",59.799999
"71","2007-04-16",60.48
"72","2007-04-17",59.630001
"73","2007-04-18",60.48
"74","2007-04-19",59.75
"75","2007-04-20",60.889999
"76","2007-04-23",60.57
"77","2007-04-24",59.849998
"78","2007-04-25",61.200001
"79","2007-04-26",61.290001
"80","2007-04-27",60.52
"81","2007-04-30",59.470001
"82","2007-05-01",59.669998
"83","2007-05-02",60.330002
"84","2007-05-03",60.57
"85","2007-05-04",61.330002
"86","2007-05-07",61.259998
"87","2007-05-08",60.75
"88","2007-05-09",60.93
"89","2007-05-10",59.75
"90","2007-05-11",61.02
"91","2007-05-14",60.290001
"92","2007-05-15",61.060001
"93","2007-05-16",61.630001
"94","2007-05-17",61.369999
"95","2007-05-18",61.439999
"96","2007-05-21",62.18
"97","2007-05-22",61.700001
"98","2007-05-23",61.529999
"99","2007-05-24",61.049999
"100","2007-05-25",61.450001
"101","2007-05-29",61.82
"102","2007-05-30",61.75
"103","2007-05-31",62.849998
"104","2007-06-01",63.299999
"105","2007-06-04",64.800003
"106","2007-06-05",64.050003
"107","2007-06-06",63.709999
"108","2007-06-07",63.43
"109","2007-06-08",63.459999
"110","2007-06-11",63.919998
"111","2007-06-12",62.759998
"112","2007-06-13",64.730003
