"","date","THRM"
"1","2007-01-03",9.75
"2","2007-01-04",9.85
"3","2007-01-05",9.73
"4","2007-01-08",9.58
"5","2007-01-09",9.38
"6","2007-01-10",9.29
"7","2007-01-11",9.64
"8","2007-01-12",9.87
"9","2007-01-16",10.01
"10","2007-01-17",10.56
"11","2007-01-18",10.35
"12","2007-01-19",10.37
"13","2007-01-22",10.64
"14","2007-01-23",10.67
"15","2007-01-24",10.8
"16","2007-01-25",10.77
"17","2007-01-26",10.74
"18","2007-01-29",11
"19","2007-01-30",10.95
"20","2007-01-31",10.92
"21","2007-02-01",10.93
"22","2007-02-02",11.11
"23","2007-02-05",11.09
"24","2007-02-06",11.26
"25","2007-02-07",11.58
"26","2007-02-08",11.26
"27","2007-02-09",11.08
"28","2007-02-12",10.62
"29","2007-02-13",11
"30","2007-02-14",11.09
"31","2007-02-15",10.55
"32","2007-02-16",10.69
"33","2007-02-20",10.5
"34","2007-02-21",10.69
"35","2007-02-22",11.19
"36","2007-02-23",11.33
"37","2007-02-26",11.32
"38","2007-02-27",11.33
"39","2007-02-28",11.12
"40","2007-03-01",11.17
"41","2007-03-02",11.11
"42","2007-03-05",11.18
"43","2007-03-06",11.74
"44","2007-03-07",11.49
"45","2007-03-08",11.75
"46","2007-03-09",12.54
"47","2007-03-12",12.5
"48","2007-03-13",12.05
"49","2007-03-14",12.03
"50","2007-03-15",12.25
"51","2007-03-16",12.05
"52","2007-03-19",12.14
"53","2007-03-20",12.07
"54","2007-03-21",12.09
"55","2007-03-22",11.94
"56","2007-03-23",12.21
"57","2007-03-26",11.61
"58","2007-03-27",11.77
"59","2007-03-28",11.51
"60","2007-03-29",12
"61","2007-03-30",12.45
"62","2007-04-02",12.33
"63","2007-04-03",11.89
"64","2007-04-04",12.25
"65","2007-04-05",12.26
"66","2007-04-09",12.16
"67","2007-04-10",11.89
"68","2007-04-11",11.98
"69","2007-04-12",12.23
"70","2007-04-13",12.34
"71","2007-04-16",12.42
"72","2007-04-17",12.08
"73","2007-04-18",11.81
"74","2007-04-19",12.3
"75","2007-04-20",12.19
"76","2007-04-23",12.25
"77","2007-04-24",12.44
"78","2007-04-25",12.2
"79","2007-04-26",13.12
"80","2007-04-27",13
"81","2007-04-30",12.86
"82","2007-05-01",12.93
"83","2007-05-02",14.31
"84","2007-05-03",14.63
"85","2007-05-04",15.24
"86","2007-05-07",15.66
"87","2007-05-08",15.9
"88","2007-05-09",15.75
"89","2007-05-10",15.37
"90","2007-05-11",15.21
"91","2007-05-14",15.27
"92","2007-05-15",15.39
"93","2007-05-16",15.13
"94","2007-05-17",15.34
"95","2007-05-18",15.2
"96","2007-05-21",15.7
"97","2007-05-22",15.59
"98","2007-05-23",15.4
"99","2007-05-24",15.27
"100","2007-05-25",15.65
"101","2007-05-29",15.6
"102","2007-05-30",15.41
"103","2007-05-31",16.530001
"104","2007-06-01",16.67
"105","2007-06-04",15.67
"106","2007-06-05",16.33
"107","2007-06-06",16.02
"108","2007-06-07",15.7
"109","2007-06-08",15.79
"110","2007-06-11",16.120001
"111","2007-06-12",15.77
"112","2007-06-13",15.87
"113","2007-06-14",16.5
"114","2007-06-15",16.6
"115","2007-06-18",17
"116","2007-06-19",16.91
"117","2007-06-20",16.719999
"118","2007-06-21",16.23
"119","2007-06-22",15.77
"120","2007-06-25",15.81
"121","2007-06-26",16.25
"122","2007-06-27",17.43
"123","2007-06-28",16.690001
"124","2007-06-29",17.99
"125","2007-07-02",20.299999
"126","2007-07-03",19.719999
"127","2007-07-05",19.99
"128","2007-07-06",20.23
"129","2007-07-09",20.16
"130","2007-07-10",19.290001
"131","2007-07-11",19.43
"132","2007-07-12",19.549999
"133","2007-07-13",19.42
"134","2007-07-16",19.469999
"135","2007-07-17",19.370001
"136","2007-07-18",19.610001
"137","2007-07-19",19.66
"138","2007-07-20",19.07
"139","2007-07-23",18.639999
"140","2007-07-24",17.6
"141","2007-07-25",17.23
"142","2007-07-26",16.450001
"143","2007-07-27",16.01
"144","2007-07-30",16.639999
"145","2007-07-31",16.07
"146","2007-08-01",16.309999
"147","2007-08-02",17.129999
"148","2007-08-03",16.450001
"149","2007-08-06",16.33
"150","2007-08-07",19.4
"151","2007-08-08",19.540001
"152","2007-08-09",18.860001
"153","2007-08-10",20.01
"154","2007-08-13",19.030001
"155","2007-08-14",19.41
"156","2007-08-15",18.450001
"157","2007-08-16",18.879999
"158","2007-08-17",18.67
"159","2007-08-20",19.41
"160","2007-08-21",19.190001
"161","2007-08-22",19.34
"162","2007-08-23",17.190001
"163","2007-08-24",17.200001
"164","2007-08-27",16.75
"165","2007-08-28",16.1
"166","2007-08-29",15.92
"167","2007-08-30",15.69
"168","2007-08-31",15.8
"169","2007-09-04",16.01
"170","2007-09-05",16
"171","2007-09-06",15.8
"172","2007-09-07",14.92
"173","2007-09-10",15.05
"174","2007-09-11",15.93
"175","2007-09-12",16.120001
"176","2007-09-13",16
"177","2007-09-14",16.139999
"178","2007-09-17",16.030001
"179","2007-09-18",17.620001
"180","2007-09-19",17.98
"181","2007-09-20",16.870001
"182","2007-09-21",16.389999
"183","2007-09-24",16.879999
"184","2007-09-25",16.940001
"185","2007-09-26",17.440001
"186","2007-09-27",17.639999
"187","2007-09-28",17.309999
"188","2007-10-01",18.370001
"189","2007-10-02",18.18
"190","2007-10-03",18.27
"191","2007-10-04",18.040001
"192","2007-10-05",18.940001
"193","2007-10-08",19.17
"194","2007-10-09",19.41
"195","2007-10-10",19.68
"196","2007-10-11",19.719999
"197","2007-10-12",19.459999
"198","2007-10-15",19.25
"199","2007-10-16",18.84
"200","2007-10-17",18.77
"201","2007-10-18",19.700001
"202","2007-10-19",17.940001
"203","2007-10-22",17.559999
"204","2007-10-23",19.110001
"205","2007-10-24",18.690001
"206","2007-10-25",19.07
"207","2007-10-26",19.57
"208","2007-10-29",18.959999
"209","2007-10-30",20
"210","2007-10-31",19.639999
"211","2007-11-01",18.709999
"212","2007-11-02",19.049999
"213","2007-11-05",18.959999
"214","2007-11-06",19.08
"215","2007-11-07",17.83
"216","2007-11-08",17.889999
"217","2007-11-09",16.540001
"218","2007-11-12",17.059999
"219","2007-11-13",16.83
"220","2007-11-14",17.280001
"221","2007-11-15",17.15
"222","2007-11-16",17.440001
"223","2007-11-19",17.02
"224","2007-11-20",17.190001
"225","2007-11-21",16.83
"226","2007-11-23",17.4
"227","2007-11-26",17
"228","2007-11-27",17.530001
"229","2007-11-28",18.93
"230","2007-11-29",18.639999
"231","2007-11-30",18.280001
"232","2007-12-03",17.9
"233","2007-12-04",17.32
"234","2007-12-05",18.1
"235","2007-12-06",19
"236","2007-12-07",19.120001
"237","2007-12-10",18.9
"238","2007-12-11",18.440001
"239","2007-12-12",18.67
"240","2007-12-13",18.82
"241","2007-12-14",18.68
"242","2007-12-17",18
"243","2007-12-18",17.23
"244","2007-12-19",17.309999
"245","2007-12-20",18.290001
"246","2007-12-21",19.09
"247","2007-12-24",19.940001
"248","2007-12-26",21.33
"249","2007-12-27",19.68
"250","2007-12-28",20.23
"251","2007-12-31",21.139999
"252","2008-01-02",20.51
"253","2008-01-03",19.82
"254","2008-01-04",16.379999
"255","2008-01-07",16.049999
"256","2008-01-08",15.56
"257","2008-01-09",15.79
"258","2008-01-10",17.780001
"259","2008-01-11",17.5
"260","2008-01-14",17.889999
"261","2008-01-15",17.5
"262","2008-01-16",17.65
"263","2008-01-17",16.440001
"264","2008-01-18",15.94
"265","2008-01-22",16.049999
"266","2008-01-23",16.35
"267","2008-01-24",15.91
"268","2008-01-25",16.190001
"269","2008-01-28",16.360001
"270","2008-01-29",16.32
"271","2008-01-30",16
"272","2008-01-31",17.120001
"273","2008-02-01",17.870001
"274","2008-02-04",16.959999
"275","2008-02-05",16
