"","date","WK"
"1","2014-12-12",13.75
"2","2014-12-15",13.99
"3","2014-12-16",13.9
"4","2014-12-17",13.8
"5","2014-12-18",13.59
"6","2014-12-19",13.58
"7","2014-12-22",13.79
"8","2014-12-23",13.76
"9","2014-12-24",13.65
"10","2014-12-26",13.58
"11","2014-12-29",13.5
"12","2014-12-30",13.75
"13","2014-12-31",13.4
"14","2015-01-02",13.58
"15","2015-01-05",13.98
"16","2015-01-06",13.98
"17","2015-01-07",14.22
"18","2015-01-08",15.01
"19","2015-01-09",15.96
"20","2015-01-12",15.3
"21","2015-01-13",14.86
"22","2015-01-14",14.89
"23","2015-01-15",15
"24","2015-01-16",15.1
"25","2015-01-20",14.9
"26","2015-01-21",14.75
"27","2015-01-22",14.86
"28","2015-01-23",14.33
"29","2015-01-26",13.93
"30","2015-01-27",13.66
"31","2015-01-28",13.18
"32","2015-01-29",13.37
"33","2015-01-30",12.28
"34","2015-02-02",12.79
"35","2015-02-03",12.55
"36","2015-02-04",13.09
"37","2015-02-05",13.4
"38","2015-02-06",13.2
"39","2015-02-09",13.35
"40","2015-02-10",13.29
"41","2015-02-11",13.38
"42","2015-02-12",13.24
"43","2015-02-13",13.22
"44","2015-02-17",13.48
"45","2015-02-18",13.54
"46","2015-02-19",13.48
"47","2015-02-20",13.52
"48","2015-02-23",13.55
"49","2015-02-24",13.48
"50","2015-02-25",13.32
"51","2015-02-26",12.9
"52","2015-02-27",12.8
"53","2015-03-02",13.77
"54","2015-03-03",13.43
"55","2015-03-04",14.02
"56","2015-03-05",14.53
"57","2015-03-06",14.25
"58","2015-03-09",14.5
"59","2015-03-10",14.3
"60","2015-03-11",14.51
"61","2015-03-12",13.62
"62","2015-03-13",13.07
"63","2015-03-16",13.62
"64","2015-03-17",13.5
"65","2015-03-18",13.65
"66","2015-03-19",13.49
"67","2015-03-20",13.71
"68","2015-03-23",14.3
"69","2015-03-24",14.12
"70","2015-03-25",14.43
"71","2015-03-26",14.5
"72","2015-03-27",14.5
"73","2015-03-30",14.04
"74","2015-03-31",14.4
"75","2015-04-01",14.07
"76","2015-04-02",14.2
"77","2015-04-06",14.76
"78","2015-04-07",15
"79","2015-04-08",15
"80","2015-04-09",14.4
"81","2015-04-10",14.6
"82","2015-04-13",14.34
"83","2015-04-14",14.43
"84","2015-04-15",14.68
"85","2015-04-16",14.79
"86","2015-04-17",14.48
"87","2015-04-20",14.68
"88","2015-04-21",14.79
"89","2015-04-22",14.92
"90","2015-04-23",14.79
"91","2015-04-24",14.78
"92","2015-04-27",14.68
"93","2015-04-28",14.79
"94","2015-04-29",14.41
"95","2015-04-30",14.47
"96","2015-05-01",14.36
"97","2015-05-04",14.47
"98","2015-05-05",14.34
"99","2015-05-06",14.49
"100","2015-05-07",14.28
"101","2015-05-08",13.66
"102","2015-05-11",13.69
"103","2015-05-12",13.72
"104","2015-05-13",13.61
"105","2015-05-14",13.65
"106","2015-05-15",13.6
"107","2015-05-18",13.56
"108","2015-05-19",13.43
"109","2015-05-20",13.2
"110","2015-05-21",13.15
"111","2015-05-22",13.14
"112","2015-05-26",13.14
"113","2015-05-27",13.3
"114","2015-05-28",13.17
"115","2015-05-29",13.23
"116","2015-06-01",13.21
"117","2015-06-02",13.44
"118","2015-06-03",14.02
"119","2015-06-04",14.08
"120","2015-06-05",13.98
"121","2015-06-08",13.92
"122","2015-06-09",13.58
"123","2015-06-10",13.31
"124","2015-06-11",13.38
"125","2015-06-12",13.3
"126","2015-06-15",13.22
"127","2015-06-16",13.5
"128","2015-06-17",13.63
"129","2015-06-18",13.92
"130","2015-06-19",13.7
"131","2015-06-22",13.8
"132","2015-06-23",13.96
"133","2015-06-24",14.09
"134","2015-06-25",14.35
"135","2015-06-26",14.5
"136","2015-06-29",14.04
"137","2015-06-30",13.83
"138","2015-07-01",13.51
"139","2015-07-02",13.63
"140","2015-07-06",13.68
"141","2015-07-07",13.79
"142","2015-07-08",13.57
"143","2015-07-09",13.97
"144","2015-07-10",14.4
"145","2015-07-13",14.81
"146","2015-07-14",14.82
"147","2015-07-15",14.9
"148","2015-07-16",14.99
"149","2015-07-17",14.76
"150","2015-07-20",14.71
"151","2015-07-21",15
"152","2015-07-22",15.02
"153","2015-07-23",15
"154","2015-07-24",14.71
"155","2015-07-27",14.4
"156","2015-07-28",14.42
"157","2015-07-29",14.41
"158","2015-07-30",14.22
"159","2015-07-31",14.59
"160","2015-08-03",14.6
"161","2015-08-04",14.67
"162","2015-08-05",14.78
"163","2015-08-06",14.98
"164","2015-08-07",14.6
"165","2015-08-10",14.23
"166","2015-08-11",14.06
"167","2015-08-12",13.97
"168","2015-08-13",13.96
"169","2015-08-14",13.93
"170","2015-08-17",14.03
"171","2015-08-18",13.89
"172","2015-08-19",13.77
"173","2015-08-20",13.7
"174","2015-08-21",13.46
"175","2015-08-24",13.47
"176","2015-08-25",12.98
"177","2015-08-26",13.67
"178","2015-08-27",13.81
"179","2015-08-28",13.87
"180","2015-08-31",14.33
"181","2015-09-01",14.03
"182","2015-09-02",13.98
"183","2015-09-03",13.4
"184","2015-09-04",13.42
"185","2015-09-08",13.76
"186","2015-09-09",14.26
"187","2015-09-10",14.97
"188","2015-09-11",15.08
"189","2015-09-14",14.88
"190","2015-09-15",15.22
"191","2015-09-16",15.09
"192","2015-09-17",15.34
"193","2015-09-18",15.68
"194","2015-09-21",15.87
"195","2015-09-22",15.8
"196","2015-09-23",15.9
"197","2015-09-24",15.99
"198","2015-09-25",15.35
"199","2015-09-28",14.95
"200","2015-09-29",14.79
"201","2015-09-30",15.19
"202","2015-10-01",15.34
"203","2015-10-02",15.26
"204","2015-10-05",15.91
"205","2015-10-06",15.84
"206","2015-10-07",16.629999
"207","2015-10-08",17.110001
"208","2015-10-09",16.860001
"209","2015-10-12",16.73
"210","2015-10-13",16.450001
"211","2015-10-14",16.389999
"212","2015-10-15",16.57
"213","2015-10-16",16.68
"214","2015-10-19",16.860001
"215","2015-10-20",16.9
"216","2015-10-21",16.450001
"217","2015-10-22",16.77
"218","2015-10-23",16.139999
"219","2015-10-26",15.55
"220","2015-10-27",15.11
"221","2015-10-28",16.540001
"222","2015-10-29",16.35
"223","2015-10-30",16.58
"224","2015-11-02",16.98
"225","2015-11-03",16.629999
"226","2015-11-04",16.75
"227","2015-11-05",16.68
"228","2015-11-06",18
"229","2015-11-09",17.98
"230","2015-11-10",17.719999
"231","2015-11-11",17.110001
"232","2015-11-12",17.25
"233","2015-11-13",16.690001
"234","2015-11-16",17.559999
"235","2015-11-17",17.42
"236","2015-11-18",17.49
"237","2015-11-19",17.610001
"238","2015-11-20",17.48
"239","2015-11-23",17.85
"240","2015-11-24",17.719999
"241","2015-11-25",18.040001
"242","2015-11-27",18.34
"243","2015-11-30",18.75
"244","2015-12-01",18.549999
"245","2015-12-02",17.799999
"246","2015-12-03",17.99
"247","2015-12-04",18.049999
"248","2015-12-07",17.93
"249","2015-12-08",18.030001
"250","2015-12-09",18.059999
"251","2015-12-10",18.450001
"252","2015-12-11",18.030001
"253","2015-12-14",17.5
"254","2015-12-15",18.290001
"255","2015-12-16",18.02
"256","2015-12-17",17.49
"257","2015-12-18",17.9
"258","2015-12-21",17.879999
"259","2015-12-22",17.91
"260","2015-12-23",18.32
"261","2015-12-24",18.139999
"262","2015-12-28",18.24
"263","2015-12-29",18.18
"264","2015-12-30",18.18
"265","2015-12-31",17.57
"266","2016-01-04",16.66
"267","2016-01-05",16.690001
"268","2016-01-06",16.610001
"269","2016-01-07",16.07
"270","2016-01-08",15.92
"271","2016-01-11",15.94
"272","2016-01-12",16.120001
"273","2016-01-13",15.45
"274","2016-01-14",15.85
"275","2016-01-15",16.559999
