"","date","DK"
"1","2007-01-03",15.92
"2","2007-01-04",15.33
"3","2007-01-05",15.4
"4","2007-01-08",15.41
"5","2007-01-09",15.21
"6","2007-01-10",14.92
"7","2007-01-11",15.22
"8","2007-01-12",15.5
"9","2007-01-16",15.49
"10","2007-01-17",15.48
"11","2007-01-18",15.23
"12","2007-01-19",15.75
"13","2007-01-22",15.24
"14","2007-01-23",15.91
"15","2007-01-24",16.440001
"16","2007-01-25",16.24
"17","2007-01-26",16.870001
"18","2007-01-29",16.99
"19","2007-01-30",17.200001
"20","2007-01-31",17.02
"21","2007-02-01",16.98
"22","2007-02-02",16.809999
"23","2007-02-05",16.459999
"24","2007-02-06",16.219999
"25","2007-02-07",15.98
"26","2007-02-08",15.79
"27","2007-02-09",15.45
"28","2007-02-12",15.22
"29","2007-02-13",15.42
"30","2007-02-14",16.27
"31","2007-02-15",16.08
"32","2007-02-16",15.94
"33","2007-02-20",16.1
"34","2007-02-21",16.530001
"35","2007-02-22",17
"36","2007-02-23",17.360001
"37","2007-02-26",17.52
"38","2007-02-27",16.85
"39","2007-02-28",16.5
"40","2007-03-01",16.35
"41","2007-03-02",15.96
"42","2007-03-05",16.01
"43","2007-03-06",16.280001
"44","2007-03-07",16.610001
"45","2007-03-08",16.790001
"46","2007-03-09",17.549999
"47","2007-03-12",17.440001
"48","2007-03-13",17.42
"49","2007-03-14",17.48
"50","2007-03-15",17.43
"51","2007-03-16",17.41
"52","2007-03-19",17.58
"53","2007-03-20",17.93
"54","2007-03-21",18.299999
"55","2007-03-22",18.84
"56","2007-03-23",18.77
"57","2007-03-26",18.870001
"58","2007-03-27",18.83
"59","2007-03-28",19.15
"60","2007-03-29",19.18
"61","2007-03-30",19.129999
"62","2007-04-02",19.48
"63","2007-04-03",18.76
"64","2007-04-04",19.4
"65","2007-04-05",19.17
"66","2007-04-09",19.629999
"67","2007-04-10",19.709999
"68","2007-04-11",19.559999
"69","2007-04-12",19.85
"70","2007-04-13",19.91
"71","2007-04-16",19.639999
"72","2007-04-17",19.1
"73","2007-04-18",18.969999
"74","2007-04-19",18.76
"75","2007-04-20",19.139999
"76","2007-04-23",18.940001
"77","2007-04-24",19.32
"78","2007-04-25",19.92
"79","2007-04-26",19.639999
"80","2007-04-27",19.559999
"81","2007-04-30",19.07
"82","2007-05-01",19.49
"83","2007-05-02",21.41
"84","2007-05-03",21.77
"85","2007-05-04",21.620001
"86","2007-05-07",21.370001
"87","2007-05-08",21.360001
"88","2007-05-09",21.190001
"89","2007-05-10",21.1
"90","2007-05-11",21.49
"91","2007-05-14",21.82
"92","2007-05-15",21.51
"93","2007-05-16",21.32
"94","2007-05-17",21.110001
"95","2007-05-18",23.48
"96","2007-05-21",23.26
