"","date","MDCA"
"1","2007-01-03",4.926667
"2","2007-01-04",4.873333
"3","2007-01-05",4.96
"4","2007-01-08",5.066667
"5","2007-01-09",4.94
"6","2007-01-10",5
"7","2007-01-11",5.08
"8","2007-01-12",5.133333
"9","2007-01-16",5.133333
"10","2007-01-17",5.113333
"11","2007-01-18",5.106667
"12","2007-01-19",5.093333
"13","2007-01-22",5.113333
"14","2007-01-23",5.066667
"15","2007-01-24",5.066667
"16","2007-01-25",4.926667
"17","2007-01-26",4.906667
"18","2007-01-29",4.933333
"19","2007-01-30",4.786667
"20","2007-01-31",4.793334
"21","2007-02-01",4.8
"22","2007-02-02",4.906667
"23","2007-02-05",4.913333
"24","2007-02-06",5.053333
"25","2007-02-07",5.013333
"26","2007-02-08",5.026667
"27","2007-02-09",5.066667
"28","2007-02-12",5.066667
"29","2007-02-13",5.053333
"30","2007-02-14",5.08
"31","2007-02-15",5.053333
"32","2007-02-16",5.08
"33","2007-02-20",5.06
"34","2007-02-21",5.12
"35","2007-02-22",5.1
"36","2007-02-23",5.186666
"37","2007-02-26",5.1
"38","2007-02-27",5.226666
"39","2007-02-28",5.12
"40","2007-03-01",5.006667
"41","2007-03-02",4.866667
"42","2007-03-05",4.866667
"43","2007-03-06",4.76
"44","2007-03-07",4.906667
"45","2007-03-08",4.826667
"46","2007-03-09",5.08
"47","2007-03-12",5.233333
"48","2007-03-13",5.333333
"49","2007-03-14",5.12
"50","2007-03-15",5.153333
"51","2007-03-16",5.306667
"52","2007-03-19",5.06
"53","2007-03-20",5.2
"54","2007-03-21",5.106667
"55","2007-03-22",5.24
"56","2007-03-23",5.193333
"57","2007-03-26",5.133333
"58","2007-03-27",5.173333
"59","2007-03-28",5.293334
"60","2007-03-29",5.193333
"61","2007-03-30",5.153333
"62","2007-04-02",5.32
"63","2007-04-03",5.386667
"64","2007-04-04",5.433333
"65","2007-04-05",5.46
"66","2007-04-09",5.466667
"67","2007-04-10",5.353333
"68","2007-04-11",5.473333
"69","2007-04-12",5.493333
"70","2007-04-13",5.553333
"71","2007-04-16",5.593333
"72","2007-04-17",5.62
"73","2007-04-18",5.473333
"74","2007-04-19",5.413333
"75","2007-04-20",5.46
"76","2007-04-23",5.893333
"77","2007-04-24",5.953333
"78","2007-04-25",5.88
"79","2007-04-26",5.866667
"80","2007-04-27",5.733333
"81","2007-04-30",5.76
"82","2007-05-01",5.586667
"83","2007-05-02",5.706666
"84","2007-05-03",5.753334
"85","2007-05-04",5.766667
"86","2007-05-07",5.966667
"87","2007-05-08",6.02
"88","2007-05-09",5.846667
"89","2007-05-10",5.86
"90","2007-05-11",5.86
"91","2007-05-14",5.74
"92","2007-05-15",5.633333
"93","2007-05-16",5.666667
"94","2007-05-17",5.56
"95","2007-05-18",5.76
"96","2007-05-21",5.733333
"97","2007-05-22",5.653333
"98","2007-05-23",5.673333
"99","2007-05-24",5.606667
"100","2007-05-25",5.593333
"101","2007-05-29",5.553333
"102","2007-05-30",5.6
"103","2007-05-31",5.466667
"104","2007-06-01",5.553333
"105","2007-06-04",5.513333
"106","2007-06-05",5.4
"107","2007-06-06",5.4
"108","2007-06-07",5.433333
"109","2007-06-08",5.466667
"110","2007-06-11",5.533333
"111","2007-06-12",5.486667
"112","2007-06-13",5.533333
"113","2007-06-14",5.54
"114","2007-06-15",5.593333
"115","2007-06-18",5.753334
"116","2007-06-19",5.766667
"117","2007-06-20",5.646667
"118","2007-06-21",5.586667
"119","2007-06-22",5.5
"120","2007-06-25",5.446667
"121","2007-06-26",5.466667
"122","2007-06-27",5.426667
"123","2007-06-28",5.693333
"124","2007-06-29",5.833333
"125","2007-07-02",5.993333
"126","2007-07-03",6.006667
"127","2007-07-05",6.033333
"128","2007-07-06",5.893333
"129","2007-07-09",6
"130","2007-07-10",5.96
"131","2007-07-11",6.166667
"132","2007-07-12",6.993333
"133","2007-07-13",7.16
"134","2007-07-16",7.32
"135","2007-07-17",7.186666
"136","2007-07-18",7.293334
"137","2007-07-19",7.28
"138","2007-07-20",7.16
"139","2007-07-23",7.2
"140","2007-07-24",7.133333
"141","2007-07-25",7.2
"142","2007-07-26",7.186666
"143","2007-07-27",7.046667
