"","date","PDS"
"1","2007-01-03",23.049999
"2","2007-01-04",22.049999
"3","2007-01-05",22.27
"4","2007-01-08",22.559999
"5","2007-01-09",22.709999
"6","2007-01-10",22.6
"7","2007-01-11",22.370001
"8","2007-01-12",22.469999
"9","2007-01-16",22.450001
"10","2007-01-17",23.23
"11","2007-01-18",23.58
"12","2007-01-19",22.93
"13","2007-01-22",22.43
"14","2007-01-23",22.98
"15","2007-01-24",22.59
"16","2007-01-25",22.360001
"17","2007-01-26",22.559999
"18","2007-01-29",22.43
"19","2007-01-30",22.57
"20","2007-01-31",22.59
"21","2007-02-01",22.65
"22","2007-02-02",22.799999
"23","2007-02-05",22.549999
"24","2007-02-06",22.370001
"25","2007-02-07",21.889999
"26","2007-02-08",21.780001
"27","2007-02-09",21.809999
"28","2007-02-12",21.110001
"29","2007-02-13",21.530001
"30","2007-02-14",21.9
"31","2007-02-15",22.139999
"32","2007-02-16",22.24
"33","2007-02-20",22.049999
"34","2007-02-21",22.76
"35","2007-02-22",23.08
"36","2007-02-23",23.639999
"37","2007-02-26",23.92
"38","2007-02-27",23.25
"39","2007-02-28",23.41
"40","2007-03-01",23.25
"41","2007-03-02",22.610001
"42","2007-03-05",21.91
"43","2007-03-06",22
"44","2007-03-07",22.27
"45","2007-03-08",22.139999
"46","2007-03-09",21.92
"47","2007-03-12",21.809999
"48","2007-03-13",22.1
"49","2007-03-14",22.18
"50","2007-03-15",22.01
"51","2007-03-16",21.969999
"52","2007-03-19",22
"53","2007-03-20",21.950001
"54","2007-03-21",22.190001
"55","2007-03-22",23.42
"56","2007-03-23",23.08
"57","2007-03-26",23.299999
"58","2007-03-27",23.49
"59","2007-03-28",23.49
"60","2007-03-29",23
"61","2007-03-30",22.85
"62","2007-04-02",23.24
"63","2007-04-03",23.07
"64","2007-04-04",23.41
"65","2007-04-05",23.450001
"66","2007-04-09",23.26
"67","2007-04-10",23.719999
"68","2007-04-11",24.469999
"69","2007-04-12",26.030001
"70","2007-04-13",25.82
"71","2007-04-16",26.120001
"72","2007-04-17",25.57
"73","2007-04-18",25.73
"74","2007-04-19",25
"75","2007-04-20",25.959999
"76","2007-04-23",26.139999
"77","2007-04-24",25.459999
"78","2007-04-25",25.51
"79","2007-04-26",24.780001
"80","2007-04-27",24.51
"81","2007-04-30",24.07
"82","2007-05-01",24.290001
"83","2007-05-02",24.6
"84","2007-05-03",24.43
"85","2007-05-04",25.41
"86","2007-05-07",25.950001
"87","2007-05-08",27.209999
"88","2007-05-09",27.48
"89","2007-05-10",26.290001
"90","2007-05-11",26.639999
"91","2007-05-14",26.370001
"92","2007-05-15",26.370001
"93","2007-05-16",26.610001
"94","2007-05-17",27.450001
"95","2007-05-18",26.35
"96","2007-05-21",26.24
"97","2007-05-22",26.26
"98","2007-05-23",26.43
"99","2007-05-24",26.17
"100","2007-05-25",26.75
"101","2007-05-29",25.860001
"102","2007-05-30",26.049999
"103","2007-05-31",25.67
"104","2007-06-01",25.790001
"105","2007-06-04",26.389999
"106","2007-06-05",26.35
"107","2007-06-06",26.27
"108","2007-06-07",25.77
