"","date","HBP"
"1","2009-01-05",0.45
"2","2009-01-06",0.45
"3","2009-01-07",0.48
"4","2009-01-08",0.45
"5","2009-01-09",0.45
"6","2009-01-12",0.42
"7","2009-01-13",0.42
"8","2009-01-14",0.42
"9","2009-01-15",0.38
"10","2009-01-16",0.3
"11","2009-01-20",0.35
"12","2009-01-21",0.35
"13","2009-01-22",0.32
"14","2009-01-23",0.32
"15","2009-01-26",0.35
"16","2009-01-27",0.32
"17","2009-01-28",0.33
"18","2009-01-29",0.35
"19","2009-01-30",0.35
"20","2009-02-02",0.35
"21","2009-02-03",0.33
"22","2009-02-04",0.31
"23","2009-02-05",0.25
"24","2009-02-06",0.25
"25","2009-02-09",0.21
"26","2009-02-10",0.24
"27","2009-02-11",0.2
"28","2009-02-12",0.21
"29","2009-02-13",0.2
"30","2009-02-17",0.23
"31","2009-02-18",0.21
"32","2009-02-19",0.25
"33","2009-02-20",0.24
"34","2009-02-23",0.23
"35","2009-02-24",0.21
"36","2009-02-25",0.2
"37","2009-02-26",0.18
"38","2009-02-27",0.16
"39","2009-03-02",0.12
"40","2009-03-03",0.11
"41","2009-03-04",0.15
"42","2009-03-05",0.24
"43","2009-03-06",0.25
"44","2009-03-09",0.18
"45","2009-03-10",0.2
"46","2009-03-11",0.2
"47","2009-03-12",0.25
"48","2009-03-13",0.2
"49","2009-03-16",0.28
"50","2009-03-17",0.42
"51","2009-03-18",0.4
"52","2009-03-19",0.42
"53","2009-03-20",0.42
"54","2009-03-23",0.42
"55","2009-03-24",0.41
"56","2009-03-25",0.45
"57","2009-03-26",0.42
"58","2009-03-27",0.34
"59","2009-03-30",0.37
"60","2009-03-31",0.38
"61","2009-04-01",0.32
"62","2009-04-02",0.3
"63","2009-04-03",0.45
"64","2009-04-06",0.37
"65","2009-04-07",0.4
"66","2009-04-08",0.39
"67","2009-04-09",0.37
"68","2009-04-13",0.44
"69","2009-04-14",0.44
"70","2009-04-15",0.45
"71","2009-04-16",0.47
"72","2009-04-17",0.55
"73","2009-04-20",0.6
"74","2009-04-21",0.6
"75","2009-04-22",0.51
"76","2009-04-23",0.48
"77","2009-04-24",0.6
"78","2009-04-27",0.7
"79","2009-04-28",0.7
"80","2009-04-29",0.88
"81","2009-04-30",0.65
"82","2009-05-01",0.75
"83","2009-05-04",0.91
"84","2009-05-05",0.76
"85","2009-05-06",0.78
"86","2009-05-07",0.78
"87","2009-05-08",0.74
"88","2009-05-11",0.64
"89","2009-05-12",0.66
"90","2009-05-13",0.8
"91","2009-05-14",0.8
"92","2009-05-15",0.72
"93","2009-05-18",0.78
"94","2009-05-19",0.78
"95","2009-05-20",0.78
"96","2009-05-21",0.76
"97","2009-05-22",0.8
"98","2009-05-26",0.8
"99","2009-05-27",0.82
"100","2009-05-28",0.8
"101","2009-05-29",0.8
"102","2009-06-01",0.85
"103","2009-06-02",0.84
"104","2009-06-03",0.82
"105","2009-06-04",0.81
"106","2009-06-05",0.88
"107","2009-06-08",0.82
"108","2009-06-09",1
"109","2009-06-10",0.86
"110","2009-06-11",0.88
"111","2009-06-12",0.8
"112","2009-06-15",1.01
"113","2009-06-16",0.97
"114","2009-06-17",1.02
"115","2009-06-18",0.85
"116","2009-06-19",0.97
"117","2009-06-22",0.85
"118","2009-06-23",0.85
"119","2009-06-24",0.84
"120","2009-06-25",0.86
"121","2009-06-26",0.85
"122","2009-06-29",0.9
"123","2009-06-30",0.94
"124","2009-07-01",0.85
"125","2009-07-02",0.85
"126","2009-07-06",0.85
"127","2009-07-07",0.92
"128","2009-07-08",0.83
"129","2009-07-09",0.9
"130","2009-07-10",0.84
"131","2009-07-13",0.84
"132","2009-07-14",0.85
"133","2009-07-15",0.84
"134","2009-07-16",0.84
"135","2009-07-17",0.84
"136","2009-07-20",0.88
"137","2009-07-21",0.84
"138","2009-07-22",0.88
"139","2009-07-23",0.84
"140","2009-07-24",0.9
"141","2009-07-27",0.87
"142","2009-07-28",0.92
"143","2009-07-29",0.88
"144","2009-07-30",0.87
"145","2009-07-31",0.87
"146","2009-08-03",0.93
"147","2009-08-04",0.85
"148","2009-08-05",0.9
"149","2009-08-06",0.88
"150","2009-08-07",0.87
"151","2009-08-10",0.9
"152","2009-08-11",0.87
"153","2009-08-12",0.87
"154","2009-08-13",0.85
"155","2009-08-14",0.87
"156","2009-08-17",0.87
"157","2009-08-18",0.9
"158","2009-08-19",0.87
"159","2009-08-20",0.87
"160","2009-08-21",0.89
"161","2009-08-24",0.83
"162","2009-08-25",0.87
"163","2009-08-26",0.87
"164","2009-08-27",0.94
"165","2009-08-28",0.9
"166","2009-08-31",0.93
"167","2009-09-01",0.95
"168","2009-09-02",0.94
"169","2009-09-03",0.95
"170","2009-09-04",0.95
"171","2009-09-08",0.99
"172","2009-09-09",0.97
"173","2009-09-10",1
"174","2009-09-11",0.99
"175","2009-09-14",0.96
"176","2009-09-15",0.93
"177","2009-09-16",1
"178","2009-09-17",0.9
"179","2009-09-18",0.9
"180","2009-09-21",0.9
"181","2009-09-22",0.9
"182","2009-09-23",0.9
"183","2009-09-24",0.85
"184","2009-09-25",0.84
"185","2009-09-28",0.84
"186","2009-09-29",0.85
"187","2009-09-30",0.82
"188","2009-10-01",0.82
"189","2009-10-02",0.8
"190","2009-10-05",0.8
"191","2009-10-06",0.85
"192","2009-10-07",0.89
"193","2009-10-08",0.77
"194","2009-10-09",0.85
"195","2009-10-12",0.85
"196","2009-10-13",0.8
"197","2009-10-14",0.68
"198","2009-10-15",0.68
"199","2009-10-16",0.72
"200","2009-10-19",0.71
"201","2009-10-20",0.68
"202","2009-10-21",0.68
"203","2009-10-22",0.68
"204","2009-10-23",0.7
"205","2009-10-26",0.7
"206","2009-10-27",0.62
"207","2009-10-28",0.6
"208","2009-10-29",0.65
"209","2009-10-30",0.66
"210","2009-11-02",0.6
"211","2009-11-03",0.65
"212","2009-11-04",0.65
"213","2009-11-05",0.7
"214","2009-11-06",0.65
"215","2009-11-09",0.66
"216","2009-11-10",0.66
"217","2009-11-11",0.71
"218","2009-11-12",0.7
"219","2009-11-13",0.65
"220","2009-11-16",0.72
"221","2009-11-17",0.79
"222","2009-11-18",0.75
"223","2009-11-19",0.65
"224","2009-11-20",0.65
"225","2009-11-23",0.64
"226","2009-11-24",0.67
"227","2009-11-25",0.75
"228","2009-11-27",0.7
"229","2009-11-30",0.75
"230","2009-12-01",0.71
"231","2009-12-02",0.71
"232","2009-12-03",0.7
"233","2009-12-04",0.7
"234","2009-12-07",0.75
"235","2009-12-08",0.7
"236","2009-12-09",0.7
"237","2009-12-10",0.69
"238","2009-12-11",0.7
"239","2009-12-14",0.68
"240","2009-12-15",0.68
"241","2009-12-16",0.66
