"","date","RPLA"
"1","2019-04-18",9.685
"2","2019-04-22",9.685
"3","2019-04-23",9.8
"4","2019-04-24",9.8
"5","2019-04-25",9.81
"6","2019-04-26",9.72
"7","2019-04-29",9.72
"8","2019-04-30",9.72
"9","2019-05-01",9.74
"10","2019-05-02",9.74
"11","2019-05-03",9.74
"12","2019-05-06",9.74
"13","2019-05-07",9.74
"14","2019-05-08",9.74
"15","2019-05-09",9.7
"16","2019-05-10",9.7
"17","2019-05-13",9.7
"18","2019-05-14",9.7
"19","2019-05-15",9.7
"20","2019-05-16",9.69
"21","2019-05-17",9.69
"22","2019-05-20",9.69
"23","2019-05-21",9.69
"24","2019-05-22",9.69
"25","2019-05-23",9.69
"26","2019-05-24",9.69
"27","2019-05-28",9.69
"28","2019-05-29",9.69
"29","2019-05-30",9.69
"30","2019-05-31",9.7
"31","2019-06-03",9.74
"32","2019-06-04",9.74
"33","2019-06-05",9.75
"34","2019-06-06",9.74
"35","2019-06-07",9.74
"36","2019-06-10",9.73
"37","2019-06-11",9.8
"38","2019-06-12",9.72
"39","2019-06-13",9.8
"40","2019-06-14",9.78
"41","2019-06-17",9.8
"42","2019-06-18",9.8
"43","2019-06-19",9.8
"44","2019-06-20",9.8
"45","2019-06-21",9.77
"46","2019-06-24",9.77
"47","2019-06-25",9.77
"48","2019-06-26",9.77
"49","2019-06-27",9.76
"50","2019-06-28",9.77
"51","2019-07-01",9.77
"52","2019-07-02",9.78
"53","2019-07-03",9.72
"54","2019-07-05",9.71
"55","2019-07-08",9.71
"56","2019-07-09",9.78
"57","2019-07-10",9.79
"58","2019-07-11",9.79
"59","2019-07-12",9.79
"60","2019-07-15",9.8
"61","2019-07-16",9.85
"62","2019-07-17",9.85
"63","2019-07-18",9.85
"64","2019-07-19",9.85
"65","2019-07-22",9.85
"66","2019-07-23",9.8
"67","2019-07-24",9.84
"68","2019-07-25",9.84
"69","2019-07-26",9.85
"70","2019-07-29",9.85
"71","2019-07-30",9.84
"72","2019-07-31",9.86
"73","2019-08-01",9.87
"74","2019-08-02",9.88
"75","2019-08-05",9.88
"76","2019-08-06",9.87
"77","2019-08-07",9.85
"78","2019-08-08",9.87
"79","2019-08-09",9.871
"80","2019-08-12",9.92
"81","2019-08-13",9.93
"82","2019-08-14",9.8
"83","2019-08-15",9.88
"84","2019-08-16",9.89
"85","2019-08-19",9.9
"86","2019-08-20",9.88
"87","2019-08-21",9.88
"88","2019-08-22",9.89
"89","2019-08-23",9.89
"90","2019-08-26",9.89
"91","2019-08-27",9.94
"92","2019-08-28",9.93
"93","2019-08-29",9.93
"94","2019-08-30",9.93
"95","2019-09-03",9.95
"96","2019-09-04",9.95
"97","2019-09-05",9.95
"98","2019-09-06",9.95
"99","2019-09-09",9.97
"100","2019-09-10",9.95
"101","2019-09-11",9.94
"102","2019-09-12",9.89
"103","2019-09-13",9.89
"104","2019-09-16",9.89
"105","2019-09-17",9.89
"106","2019-09-18",9.93
"107","2019-09-19",9.88
"108","2019-09-20",9.88
"109","2019-09-23",9.88
"110","2019-09-24",9.87
"111","2019-09-25",9.92
"112","2019-09-26",9.93
"113","2019-09-27",9.93
"114","2019-09-30",9.93
"115","2019-10-01",9.91
"116","2019-10-02",9.93
"117","2019-10-03",9.88
"118","2019-10-04",9.91
"119","2019-10-07",9.85
"120","2019-10-08",9.9
"121","2019-10-09",9.9
"122","2019-10-10",9.87
"123","2019-10-11",9.99
"124","2019-10-14",9.9
"125","2019-10-15",9.9
"126","2019-10-16",9.9
"127","2019-10-17",9.9
"128","2019-10-18",9.9
"129","2019-10-21",9.9
"130","2019-10-22",9.9
"131","2019-10-23",9.95
"132","2019-10-24",9.95
"133","2019-10-25",9.95
"134","2019-10-28",9.95
"135","2019-10-29",9.95
"136","2019-10-30",9.95
"137","2019-10-31",9.95
"138","2019-11-01",9.95
"139","2019-11-04",9.95
"140","2019-11-05",9.95
"141","2019-11-06",9.91
"142","2019-11-07",9.91
"143","2019-11-08",9.9
"144","2019-11-11",9.9
"145","2019-11-12",9.9
"146","2019-11-13",9.915
"147","2019-11-14",9.95
"148","2019-11-15",9.95
"149","2019-11-18",9.95
"150","2019-11-19",9.95
"151","2019-11-20",9.97
"152","2019-11-21",9.97
"153","2019-11-22",9.97
"154","2019-11-25",9.9
"155","2019-11-26",9.92
"156","2019-11-27",9.92
"157","2019-11-29",9.92
"158","2019-12-02",9.92
"159","2019-12-03",9.92
"160","2019-12-04",9.945
"161","2019-12-05",9.97
"162","2019-12-06",9.97
"163","2019-12-09",9.97
"164","2019-12-10",9.97
"165","2019-12-11",9.97
"166","2019-12-12",9.97
"167","2019-12-13",9.97
"168","2019-12-16",10
"169","2019-12-17",10
"170","2019-12-18",10
"171","2019-12-19",10.03
"172","2019-12-20",10.05
"173","2019-12-23",10.04
"174","2019-12-24",10.04
"175","2019-12-26",10.04
"176","2019-12-27",10.03
"177","2019-12-30",10.03
"178","2019-12-31",10.03
"179","2020-01-02",10.05
"180","2020-01-03",10.045
"181","2020-01-06",10.04
"182","2020-01-07",10.05
"183","2020-01-08",10.05
"184","2020-01-09",10.05
"185","2020-01-10",10.07
"186","2020-01-13",10.13
"187","2020-01-14",10.09
"188","2020-01-15",10.09
"189","2020-01-16",10.07
"190","2020-01-17",10.08
"191","2020-01-21",10.104
"192","2020-01-22",10.104
"193","2020-01-23",10.09
"194","2020-01-24",10.09
"195","2020-01-27",10.09
"196","2020-01-28",10.08
"197","2020-01-29",10.08
"198","2020-01-30",10.07
"199","2020-01-31",10.08
"200","2020-02-03",10.1
"201","2020-02-04",10.1
"202","2020-02-05",10.1
"203","2020-02-06",10.09
"204","2020-02-07",10.08
"205","2020-02-10",10.08
"206","2020-02-11",10.08
"207","2020-02-12",10.13
"208","2020-02-13",10.08
"209","2020-02-14",10.08
"210","2020-02-18",10.14
"211","2020-02-19",10.14
"212","2020-02-20",10.06
"213","2020-02-21",10.15
"214","2020-02-24",10.12
"215","2020-02-25",10.15
"216","2020-02-26",10.14
"217","2020-02-27",10.14
"218","2020-02-28",10.11
"219","2020-03-02",10.05
"220","2020-03-03",10.089
"221","2020-03-04",10.089
"222","2020-03-05",10.05
"223","2020-03-06",10.06
"224","2020-03-09",9.97
"225","2020-03-10",9.98
"226","2020-03-11",9.96
"227","2020-03-12",9.9
"228","2020-03-13",9.9
"229","2020-03-16",9.62
"230","2020-03-17",9.555
"231","2020-03-18",9.51
"232","2020-03-19",9.5
"233","2020-03-20",9.5
"234","2020-03-23",9.6
"235","2020-03-24",9.6
"236","2020-03-25",9.74
"237","2020-03-26",9.74
"238","2020-03-27",9.89
"239","2020-03-30",9.89
"240","2020-03-31",9.89
"241","2020-04-01",9.82
"242","2020-04-02",10.25
"243","2020-04-03",9.84
"244","2020-04-06",9.81
"245","2020-04-07",9.95
"246","2020-04-08",9.91
"247","2020-04-09",9.9
"248","2020-04-13",9.9
"249","2020-04-14",9.96
"250","2020-04-15",9.95
"251","2020-04-16",9.93
"252","2020-04-17",9.92
"253","2020-04-20",9.92
"254","2020-04-21",9.93
"255","2020-04-22",9.96
"256","2020-04-23",9.96
"257","2020-04-24",9.97
"258","2020-04-27",10
"259","2020-04-28",9.96
"260","2020-04-29",10
"261","2020-04-30",10.036
"262","2020-05-01",9.97
"263","2020-05-04",9.97
"264","2020-05-05",9.97
"265","2020-05-06",9.97
"266","2020-05-07",9.99
"267","2020-05-08",9.98
"268","2020-05-11",9.96
"269","2020-05-12",9.96
"270","2020-05-13",9.96
"271","2020-05-14",9.96
"272","2020-05-15",9.96
"273","2020-05-18",9.96
"274","2020-05-19",9.96
"275","2020-05-20",9.96
"276","2020-05-21",9.97
"277","2020-05-22",9.97
"278","2020-05-26",9.99
"279","2020-05-27",9.99
"280","2020-05-28",9.99
"281","2020-05-29",9.99
"282","2020-06-01",9.99
"283","2020-06-02",10
"284","2020-06-03",10.05
"285","2020-06-04",10.05
"286","2020-06-05",10.05
"287","2020-06-08",10.03
"288","2020-06-09",10.03
"289","2020-06-10",10.04
"290","2020-06-11",10
"291","2020-06-12",10
"292","2020-06-15",10.05
"293","2020-06-16",10.05
"294","2020-06-17",10.09
"295","2020-06-18",10.06
"296","2020-06-19",10.13
"297","2020-06-22",10.2
"298","2020-06-23",10.2
"299","2020-06-24",10.16
"300","2020-06-25",10.2
"301","2020-06-26",10.15
"302","2020-06-29",10.23
