"","date","WVVIP"
"1","2016-08-30",4.35
"2","2016-08-31",4.35
"3","2016-09-01",4.35
"4","2016-09-02",4.35
"5","2016-09-06",4.35
"6","2016-09-07",4.35
"7","2016-09-08",4.35
"8","2016-09-09",4.35
"9","2016-09-12",4.35
"10","2016-09-13",4.35
"11","2016-09-14",4.35
"12","2016-09-15",4.35
"13","2016-09-16",4.35
"14","2016-09-19",4.35
"15","2016-09-20",4.35
"16","2016-09-21",4.4
"17","2016-09-22",4.4
"18","2016-09-23",4.4
"19","2016-09-26",4.4
"20","2016-09-27",4.4
"21","2016-09-28",4.4
"22","2016-09-29",4.4
"23","2016-09-30",4.4
"24","2016-10-03",4.4
"25","2016-10-04",4.4
"26","2016-10-05",4.4
"27","2016-10-06",4.4
"28","2016-10-07",4.4
"29","2016-10-10",4.4
"30","2016-10-11",4.4
"31","2016-10-12",4.4
"32","2016-10-13",4.4
"33","2016-10-14",4.4
"34","2016-10-17",4.4
"35","2016-10-18",4.4
"36","2016-10-19",4.4
"37","2016-10-20",4.4
"38","2016-10-21",4.4
"39","2016-10-24",4.4
"40","2016-10-25",4.4
"41","2016-10-26",4.4
"42","2016-10-27",4.4
"43","2016-10-28",4.4
"44","2016-10-31",4.4
"45","2016-11-01",4.4
"46","2016-11-02",4.4
"47","2016-11-03",4.4
"48","2016-11-04",4.4
"49","2016-11-07",4.4
"50","2016-11-08",4.4
"51","2016-11-09",4.4
"52","2016-11-10",4.4
"53","2016-11-11",4.4
"54","2016-11-14",4.4
"55","2016-11-15",4.4
"56","2016-11-16",4.4
"57","2016-11-17",4.4
"58","2016-11-18",4.4
"59","2016-11-21",4.4
"60","2016-11-22",4.4
"61","2016-11-23",4.4
"62","2016-11-25",4.4
"63","2016-11-28",4.45
"64","2016-11-29",4.45
"65","2016-11-30",4.45
"66","2016-12-01",4.45
"67","2016-12-02",4.45
"68","2016-12-05",4.9
"69","2016-12-06",4.9
"70","2016-12-07",4.9
"71","2016-12-08",4.9
"72","2016-12-09",4.9
"73","2016-12-12",4.9
"74","2016-12-13",4.9
"75","2016-12-14",4.9
"76","2016-12-15",4.9
"77","2016-12-16",4.9
