"","date","XPEL"
"1","2019-07-01",5.409
"2","2019-07-02",5.51
"3","2019-07-03",5.45
"4","2019-07-05",5.32
"5","2019-07-08",5.26
"6","2019-07-09",5.14
"7","2019-07-10",5.462
"8","2019-07-11",5.462
"9","2019-07-12",5.39
"10","2019-07-15",5.3
"11","2019-07-16",5.502
"12","2019-07-17",5.522
"13","2019-07-18",5.61
"14","2019-07-19",6.01
"15","2019-07-22",6.5
"16","2019-07-23",7
"17","2019-07-24",7.38
"18","2019-07-25",6.88
"19","2019-07-26",6.57
"20","2019-07-29",6.271
"21","2019-07-30",6.37
"22","2019-07-31",6.465
"23","2019-08-01",7
"24","2019-08-02",6.716
"25","2019-08-05",6.8
"26","2019-08-06",6.673
"27","2019-08-07",6.95
"28","2019-08-08",6.85
"29","2019-08-09",6.795
"30","2019-08-12",7.15
"31","2019-08-13",7.1
"32","2019-08-14",7.08
"33","2019-08-15",7.14
"34","2019-08-16",7.18
"35","2019-08-19",7.17
"36","2019-08-20",6.86
"37","2019-08-21",8.45
"38","2019-08-22",8.79
"39","2019-08-23",8.55
"40","2019-08-26",8.79
"41","2019-08-27",8.78
"42","2019-08-28",9.94
"43","2019-08-29",10.27
"44","2019-08-30",10.52
"45","2019-09-03",10.23
"46","2019-09-04",11.08
"47","2019-09-05",11.6
"48","2019-09-06",11.74
"49","2019-09-09",12.72
"50","2019-09-10",11.1
"51","2019-09-11",10.68
"52","2019-09-12",10.09
"53","2019-09-13",10.88
"54","2019-09-16",11.55
"55","2019-09-17",11.87
"56","2019-09-18",11.24
"57","2019-09-19",11.89
"58","2019-09-20",11.61
"59","2019-09-23",11.07
"60","2019-09-24",11.3
"61","2019-09-25",11.14
"62","2019-09-26",11.73
"63","2019-09-27",11.5
"64","2019-09-30",11.8
"65","2019-10-01",11.67
"66","2019-10-02",11.1
"67","2019-10-03",10.71
"68","2019-10-04",10.74
"69","2019-10-07",10.65
"70","2019-10-08",10.33
"71","2019-10-09",10.46
"72","2019-10-10",9.9
"73","2019-10-11",9.9
"74","2019-10-14",9.34
"75","2019-10-15",9.52
"76","2019-10-16",9.58
"77","2019-10-17",10.03
"78","2019-10-18",10.2
"79","2019-10-21",10.17
"80","2019-10-22",10.3
"81","2019-10-23",11.04
"82","2019-10-24",11.2
"83","2019-10-25",10.85
"84","2019-10-28",10.77
"85","2019-10-29",10.57
"86","2019-10-30",11.08
"87","2019-10-31",10.9
"88","2019-11-01",10.75
"89","2019-11-04",10.81
"90","2019-11-05",10.93
"91","2019-11-06",10.76
"92","2019-11-07",10.8
"93","2019-11-08",10.81
"94","2019-11-11",14.14
"95","2019-11-12",13.76
"96","2019-11-13",13.93
"97","2019-11-14",13.89
"98","2019-11-15",14.8
"99","2019-11-18",15.65
"100","2019-11-19",14.48
"101","2019-11-20",14.27
"102","2019-11-21",15.84
"103","2019-11-22",15.97
"104","2019-11-25",15.7
"105","2019-11-26",15.92
"106","2019-11-27",15.9
"107","2019-11-29",15.7
"108","2019-12-02",15.63
"109","2019-12-03",16
"110","2019-12-04",16
"111","2019-12-05",15.57
"112","2019-12-06",15.98
"113","2019-12-09",15.42
"114","2019-12-10",15.06
"115","2019-12-11",15.61
"116","2019-12-12",15.98
"117","2019-12-13",15.7
"118","2019-12-16",15.46
"119","2019-12-17",14.91
"120","2019-12-18",14.57
"121","2019-12-19",14.4
"122","2019-12-20",14.54
"123","2019-12-23",14.83
"124","2019-12-24",14.75
"125","2019-12-26",14.65
"126","2019-12-27",14.64
"127","2019-12-30",14.55
"128","2019-12-31",14.65
"129","2020-01-02",14.35
"130","2020-01-03",15.52
"131","2020-01-06",15.3
"132","2020-01-07",14.34
"133","2020-01-08",14.37
"134","2020-01-09",14.4
"135","2020-01-10",14.25
"136","2020-01-13",14.68
"137","2020-01-14",14.68
"138","2020-01-15",14.89
"139","2020-01-16",14.7
"140","2020-01-17",14.92
"141","2020-01-21",15.39
"142","2020-01-22",16.35
"143","2020-01-23",17.049999
"144","2020-01-24",16.85
"145","2020-01-27",15.85
"146","2020-01-28",16.24
"147","2020-01-29",16.26
"148","2020-01-30",16.42
"149","2020-01-31",16.6
"150","2020-02-03",17.68
"151","2020-02-04",16.459999
"152","2020-02-05",16.860001
"153","2020-02-06",16.809999
"154","2020-02-07",16.610001
"155","2020-02-10",17.280001
"156","2020-02-11",15.8
"157","2020-02-12",16
"158","2020-02-13",16.030001
"159","2020-02-14",15.66
"160","2020-02-18",14.97
"161","2020-02-19",14.85
"162","2020-02-20",15.21
"163","2020-02-21",14.51
"164","2020-02-24",13.42
"165","2020-02-25",13.12
"166","2020-02-26",13.07
"167","2020-02-27",12.49
"168","2020-02-28",12.91
"169","2020-03-02",12.47
"170","2020-03-03",12.07
"171","2020-03-04",12.81
"172","2020-03-05",12.09
"173","2020-03-06",11.8
"174","2020-03-09",9.99
"175","2020-03-10",10.48
"176","2020-03-11",9.65
"177","2020-03-12",8.87
"178","2020-03-13",9.21
"179","2020-03-16",10.14
"180","2020-03-17",10.66
"181","2020-03-18",9.36
"182","2020-03-19",10.69
"183","2020-03-20",9.66
"184","2020-03-23",8.63
"185","2020-03-24",9.34
"186","2020-03-25",9.91
"187","2020-03-26",10.55
"188","2020-03-27",10.48
"189","2020-03-30",10.01
"190","2020-03-31",10.02
"191","2020-04-01",9.55
"192","2020-04-02",9.58
"193","2020-04-03",9.3
"194","2020-04-06",10.11
"195","2020-04-07",10.89
"196","2020-04-08",12.22
"197","2020-04-09",12
"198","2020-04-13",11.61
"199","2020-04-14",11.7
"200","2020-04-15",11.13
"201","2020-04-16",11.39
"202","2020-04-17",11.86
"203","2020-04-20",10.99
"204","2020-04-21",10.05
"205","2020-04-22",10.67
"206","2020-04-23",10.96
"207","2020-04-24",10.92
"208","2020-04-27",11.8
"209","2020-04-28",12.58
"210","2020-04-29",12.93
"211","2020-04-30",12.48
"212","2020-05-01",12.04
"213","2020-05-04",12.54
"214","2020-05-05",12.35
"215","2020-05-06",12.25
"216","2020-05-07",12.18
"217","2020-05-08",12.9
"218","2020-05-11",13.23
"219","2020-05-12",13.01
"220","2020-05-13",11.74
"221","2020-05-14",12.68
"222","2020-05-15",12.94
"223","2020-05-18",13.8
"224","2020-05-19",14.19
"225","2020-05-20",13.54
"226","2020-05-21",14.36
"227","2020-05-22",14.1
"228","2020-05-26",15.5
"229","2020-05-27",16.08
"230","2020-05-28",15.1
"231","2020-05-29",14.93
"232","2020-06-01",15.42
"233","2020-06-02",15.53
"234","2020-06-03",15.75
"235","2020-06-04",15.73
"236","2020-06-05",16.42
"237","2020-06-08",16.709999
"238","2020-06-09",16.120001
"239","2020-06-10",16.690001
