"","date","RLAY"
"1","2020-07-16",35.049999
"2","2020-07-17",43.98
"3","2020-07-20",42.869999
"4","2020-07-21",41.279999
"5","2020-07-22",40.040001
"6","2020-07-23",36.200001
"7","2020-07-24",33.200001
"8","2020-07-27",34.549999
"9","2020-07-28",33.880001
"10","2020-07-29",34.400002
"11","2020-07-30",35
"12","2020-07-31",35.459999
"13","2020-08-03",36.650002
"14","2020-08-04",36.59
"15","2020-08-05",37.84
"16","2020-08-06",41.02
"17","2020-08-07",40.689999
"18","2020-08-10",41.099998
"19","2020-08-11",41.200001
"20","2020-08-12",38.880001
"21","2020-08-13",36.400002
"22","2020-08-14",32.810001
"23","2020-08-17",33.740002
"24","2020-08-18",34.490002
"25","2020-08-19",36.529999
"26","2020-08-20",36.93
"27","2020-08-21",37.369999
"28","2020-08-24",38.919998
"29","2020-08-25",37.849998
"30","2020-08-26",36.310001
"31","2020-08-27",36.330002
"32","2020-08-28",39.209999
"33","2020-08-31",40.189999
"34","2020-09-01",38.23
"35","2020-09-02",36.98
"36","2020-09-03",36.93
"37","2020-09-04",35.330002
"38","2020-09-08",35.169998
"39","2020-09-09",36.790001
"40","2020-09-10",37.299999
"41","2020-09-11",35.150002
"42","2020-09-14",36.93
"43","2020-09-15",37.849998
"44","2020-09-16",38.919998
"45","2020-09-17",40.18
"46","2020-09-18",44.200001
"47","2020-09-21",45.099998
"48","2020-09-22",44.68
"49","2020-09-23",42.16
"50","2020-09-24",40.189999
"51","2020-09-25",39.400002
"52","2020-09-28",38.009998
"53","2020-09-29",39.98
"54","2020-09-30",42.59
"55","2020-10-01",42.599998
"56","2020-10-02",41.07
"57","2020-10-05",45.150002
"58","2020-10-06",43.080002
"59","2020-10-07",43.68
"60","2020-10-08",42.98
"61","2020-10-09",42.150002
"62","2020-10-12",42.389999
"63","2020-10-13",41.360001
"64","2020-10-14",37.740002
"65","2020-10-15",37.52
"66","2020-10-16",40.57
"67","2020-10-19",40.720001
"68","2020-10-20",38.990002
"69","2020-10-21",38.279999
"70","2020-10-22",40.27
"71","2020-10-23",39.880001
"72","2020-10-26",37.560001
"73","2020-10-27",38.919998
"74","2020-10-28",37.900002
"75","2020-10-29",36.959999
"76","2020-10-30",36.939999
"77","2020-11-02",35.709999
"78","2020-11-03",35.509998
"79","2020-11-04",38.540001
"80","2020-11-05",41.119999
"81","2020-11-06",43.669998
"82","2020-11-09",41.900002
"83","2020-11-10",43.75
"84","2020-11-11",47.349998
"85","2020-11-12",47.689999
"86","2020-11-13",47.610001
"87","2020-11-16",49.619999
"88","2020-11-17",53.740002
"89","2020-11-18",50.25
"90","2020-11-19",52.5
"91","2020-11-20",52.970001
"92","2020-11-23",53.73
"93","2020-11-24",54
"94","2020-11-25",54.029999
"95","2020-11-27",52.18
