"","date","ALNA"
"1","2017-11-02",9.98
"2","2017-11-03",9.79
"3","2017-11-06",10.48
"4","2017-11-07",11
"5","2017-11-08",11.58
"6","2017-11-09",12
"7","2017-11-10",12.06
"8","2017-11-13",12.5
"9","2017-11-14",11.93
"10","2017-11-15",12.1
"11","2017-11-16",12.29
"12","2017-11-17",12.61
"13","2017-11-20",12.85
"14","2017-11-21",12.99
"15","2017-11-22",12.67
"16","2017-11-24",13.13
"17","2017-11-27",14.38
"18","2017-11-28",14.1
"19","2017-11-29",14
"20","2017-11-30",13.85
"21","2017-12-01",14
"22","2017-12-04",14.77
"23","2017-12-05",14.01
"24","2017-12-06",14.62
"25","2017-12-07",14.85
"26","2017-12-08",14.63
"27","2017-12-11",14.89
"28","2017-12-12",14.25
"29","2017-12-13",13.93
"30","2017-12-14",12.38
"31","2017-12-15",10.5
"32","2017-12-18",10.25
"33","2017-12-19",9.96
"34","2017-12-20",10.32
"35","2017-12-21",10.83
"36","2017-12-22",10.82
"37","2017-12-26",10.34
"38","2017-12-27",10.67
"39","2017-12-28",10.61
"40","2017-12-29",10.06
"41","2018-01-02",10.98
"42","2018-01-03",10.73
"43","2018-01-04",10.65
"44","2018-01-05",10.52
"45","2018-01-08",10.2
"46","2018-01-09",10.04
"47","2018-01-10",10.14
"48","2018-01-11",10.18
"49","2018-01-12",10.24
"50","2018-01-16",10.05
"51","2018-01-17",9.73
"52","2018-01-18",9.72
"53","2018-01-19",9.65
"54","2018-01-22",9.43
"55","2018-01-23",9.25
"56","2018-01-24",8.98
"57","2018-01-25",8.73
"58","2018-01-26",8.91
"59","2018-01-29",9.14
"60","2018-01-30",8.99
"61","2018-01-31",8.34
"62","2018-02-01",8.23
"63","2018-02-02",8.69
"64","2018-02-05",8.29
"65","2018-02-06",7.94
"66","2018-02-07",7.91
"67","2018-02-08",7.36
"68","2018-02-09",6.91
"69","2018-02-12",6.55
"70","2018-02-13",6.3
"71","2018-02-14",6.38
"72","2018-02-15",7.26
"73","2018-02-16",7.31
"74","2018-02-20",7.09
"75","2018-02-21",7.28
"76","2018-02-22",7.08
"77","2018-02-23",7
"78","2018-02-26",7.48
"79","2018-02-27",7.22
"80","2018-02-28",6.81
"81","2018-03-01",6.3
"82","2018-03-02",6.3
"83","2018-03-05",6.47
"84","2018-03-06",6.28
"85","2018-03-07",7.04
"86","2018-03-08",7.15
"87","2018-03-09",7.09
"88","2018-03-12",6.64
"89","2018-03-13",7.6
"90","2018-03-14",7.47
"91","2018-03-15",6.96
"92","2018-03-16",7.67
"93","2018-03-19",7.82
"94","2018-03-20",8.16
"95","2018-03-21",8.54
"96","2018-03-22",8.76
"97","2018-03-23",8.94
"98","2018-03-26",9.25
"99","2018-03-27",9.96
"100","2018-03-28",10.38
"101","2018-03-29",11.02
"102","2018-04-02",13.07
"103","2018-04-03",16.49
"104","2018-04-04",16.6
"105","2018-04-05",15.74
"106","2018-04-06",12.67
"107","2018-04-09",12.5
"108","2018-04-10",13.06
"109","2018-04-11",13.15
"110","2018-04-12",13.58
"111","2018-04-13",13.42
"112","2018-04-16",13.68
"113","2018-04-17",13.87
"114","2018-04-18",13.92
"115","2018-04-19",13.91
"116","2018-04-20",13.88
"117","2018-04-23",13.68
"118","2018-04-24",13.93
"119","2018-04-25",14.73
"120","2018-04-26",14.7
"121","2018-04-27",14.92
"122","2018-04-30",14.33
"123","2018-05-01",15.09
"124","2018-05-02",15.07
"125","2018-05-03",15.94
"126","2018-05-04",15.6
"127","2018-05-07",15.52
"128","2018-05-08",15.89
"129","2018-05-09",16.27
"130","2018-05-10",15.26
"131","2018-05-11",15.23
"132","2018-05-14",16.200001
"133","2018-05-15",16.5
"134","2018-05-16",16.17
"135","2018-05-17",16
"136","2018-05-18",16
"137","2018-05-21",15.99
"138","2018-05-22",14.76
"139","2018-05-23",15.26
