"","date","GCI"
"1","2014-02-04",10.5
"2","2014-02-05",12.29
"3","2014-02-06",13.89
"4","2014-02-07",14
"5","2014-02-10",14.17
"6","2014-02-11",13.8
"7","2014-02-12",13.65
"8","2014-02-13",12.67
"9","2014-02-14",12.8
"10","2014-02-18",12.32
"11","2014-02-19",12.13
"12","2014-02-20",12.2
"13","2014-02-21",12.05
"14","2014-02-24",11.93
"15","2014-02-25",12.59
"16","2014-02-26",13.1
"17","2014-02-27",13.3
"18","2014-02-28",14.4
"19","2014-03-03",14.71
"20","2014-03-04",14.95
"21","2014-03-05",14.74
"22","2014-03-06",14.55
"23","2014-03-07",14.57
"24","2014-03-10",14.98
"25","2014-03-11",14.03
"26","2014-03-12",14.05
"27","2014-03-13",14.18
"28","2014-03-14",13.69
"29","2014-03-17",14.2
"30","2014-03-18",14.8
"31","2014-03-19",14.84
"32","2014-03-20",14.95
"33","2014-03-21",15.08
"34","2014-03-24",15.01
"35","2014-03-25",14.94
"36","2014-03-26",14.86
"37","2014-03-27",14.9
"38","2014-03-28",14.99
"39","2014-03-31",15.02
"40","2014-04-01",15.7
"41","2014-04-02",15.65
"42","2014-04-03",15.56
"43","2014-04-04",15.29
"44","2014-04-07",15.1
"45","2014-04-08",15.21
"46","2014-04-09",15.28
"47","2014-04-10",15.28
"48","2014-04-11",14.93
"49","2014-04-14",14.76
"50","2014-04-15",14.93
"51","2014-04-16",15
"52","2014-04-17",14.82
"53","2014-04-21",14.9
"54","2014-04-22",14.9
"55","2014-04-23",14.69
"56","2014-04-24",14.73
"57","2014-04-25",14.42
"58","2014-04-28",14.33
"59","2014-04-29",13.98
"60","2014-04-30",14.27
"61","2014-05-01",13.92
"62","2014-05-02",13.97
"63","2014-05-05",14.04
"64","2014-05-06",13.96
"65","2014-05-07",13.65
"66","2014-05-08",13.62
"67","2014-05-09",13.5
"68","2014-05-12",13.77
"69","2014-05-13",13.95
"70","2014-05-14",13.9
"71","2014-05-15",13.72
"72","2014-05-16",13.64
"73","2014-05-19",13.51
"74","2014-05-20",13.5
"75","2014-05-21",13.59
"76","2014-05-22",13.6
"77","2014-05-23",13.6
"78","2014-05-27",13.76
"79","2014-05-28",13.97
"80","2014-05-29",13.97
"81","2014-05-30",13.97
"82","2014-06-02",13.97
"83","2014-06-03",14.05
"84","2014-06-04",14.02
"85","2014-06-05",14.47
"86","2014-06-06",14.6
"87","2014-06-09",14.63
"88","2014-06-10",14.59
"89","2014-06-11",14.5
"90","2014-06-12",14.41
"91","2014-06-13",14.24
"92","2014-06-16",14.1
"93","2014-06-17",14.03
"94","2014-06-18",13.96
"95","2014-06-19",13.81
"96","2014-06-20",13.79
"97","2014-06-23",13.41
"98","2014-06-24",13.16
"99","2014-06-25",13.54
"100","2014-06-26",13.63
"101","2014-06-27",13.66
"102","2014-06-30",14.11
"103","2014-07-01",14.15
"104","2014-07-02",14.15
"105","2014-07-03",14.22
"106","2014-07-07",14.25
"107","2014-07-08",14.29
"108","2014-07-09",14.3
"109","2014-07-10",14.26
"110","2014-07-11",14.49
"111","2014-07-14",14.98
"112","2014-07-15",14.61
"113","2014-07-16",14.52
"114","2014-07-17",14.49
"115","2014-07-18",14.7
"116","2014-07-21",14.69
"117","2014-07-22",14.46
"118","2014-07-23",14.55
"119","2014-07-24",14.4
"120","2014-07-25",14.31
"121","2014-07-28",14.23
"122","2014-07-29",14.35
"123","2014-07-30",14.16
"124","2014-07-31",15.06
"125","2014-08-01",14.75
"126","2014-08-04",15.32
"127","2014-08-05",15.47
"128","2014-08-06",15.41
"129","2014-08-07",14.98
"130","2014-08-08",14.7
"131","2014-08-11",15.27
"132","2014-08-12",15.05
"133","2014-08-13",15
"134","2014-08-14",15.03
"135","2014-08-15",15.36
"136","2014-08-18",16.450001
